job,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
learned_vol_interaction_2021-12-31_20260910,learned_vol_interaction,2021-12-31,20260910,2651,4,0.6511835799721001,3.1687163743604474e-13,0.010424801903553818,
learned_order_extension_2021-12-31_20260910,learned_order_extension,2021-12-31,20260910,2651,4,0.650626089550094,5.498512886323303e-13,0.010424064835186962,
learned_order_offset_2021-12-31_20260910,learned_order_offset,2021-12-31,20260910,2651,3,0.6506275740053494,4.445228907190568e-18,0.20953547586852928,0.6492496692623801
learned_market_2021-12-31_20260911,learned_market,2021-12-31,20260911,2651,4,0.667290564664765,7.416842612641087e-17,0.010094214887450239,
learned_vol_interaction_2021-12-31_20260911,learned_vol_interaction,2021-12-31,20260911,2651,4,0.6667880882582764,1.1285460413401616e-14,0.01009404454959639,
learned_order_extension_2021-12-31_20260911,learned_order_extension,2021-12-31,20260911,2651,4,0.6665922313017497,2.936691688437687e-14,0.010093975652689973,
learned_order_offset_2021-12-31_20260911,learned_order_offset,2021-12-31,20260911,2651,3,0.6665930136176248,2.710505431213761e-18,0.22794006887631646,0.6651642074620804
learned_market_2021-12-31_20260912,learned_market,2021-12-31,20260912,2651,3,0.6746728019891252,2.1497444666410126e-11,0.010074096366090203,
learned_vol_interaction_2021-12-31_20260912,learned_vol_interaction,2021-12-31,20260912,2651,3,0.6743516821766856,3.382275536034651e-11,0.010073991567336226,
learned_order_extension_2021-12-31_20260912,learned_order_extension,2021-12-31,20260912,2651,3,0.6740895209313931,9.818669629516746e-11,0.010073940231117875,
learned_order_offset_2021-12-31_20260912,learned_order_offset,2021-12-31,20260912,2651,3,0.6740896139444063,2.710505431213761e-19,0.23994339256074992,0.6726539391739399
learned_market_2022-12-31_20260910,learned_market,2022-12-31,20260910,2893,4,0.6441649834689159,5.614550708035737e-13,0.010437211922421282,
learned_vol_interaction_2022-12-31_20260910,learned_vol_interaction,2022-12-31,20260910,2893,4,0.6426742551146718,4.2044768274601685e-12,0.010438868021323973,
learned_order_extension_2022-12-31_20260910,learned_order_extension,2022-12-31,20260910,2893,4,0.6426388925759428,4.296941491857553e-12,0.010438556163770964,
learned_order_offset_2022-12-31_20260910,learned_order_offset,2022-12-31,20260910,2893,2,0.6426390836802315,5.417112965882057e-12,0.2014317417134798,0.6410499786362939
learned_market_2022-12-31_20260911,learned_market,2022-12-31,20260911,2893,3,0.674611941503941,7.477016336805697e-11,0.01013967998110094,
learned_vol_interaction_2022-12-31_20260911,learned_vol_interaction,2022-12-31,20260911,2893,3,0.6745404317532694,2.6088420085248337e-10,0.010139661886609357,
learned_order_extension_2022-12-31_20260911,learned_order_extension,2022-12-31,20260911,2893,3,0.6737674981681873,5.058625429351163e-10,0.010139506131561477,
learned_order_offset_2022-12-31_20260911,learned_order_offset,2022-12-31,20260911,2893,3,0.6737685385551068,3.686287386450715e-18,0.23830385134609108,0.6726624412596569
learned_market_2022-12-31_20260912,learned_market,2022-12-31,20260912,2893,3,0.6604363965545809,9.047231648746934e-10,0.010260416958865608,
learned_vol_interaction_2022-12-31_20260912,learned_vol_interaction,2022-12-31,20260912,2893,4,0.6604150517751171,2.190088388420719e-17,0.0102604320701175,
learned_order_extension_2022-12-31_20260912,learned_order_extension,2022-12-31,20260912,2893,4,0.6596387779879022,7.686993402922226e-17,0.01025983832395147,
learned_order_offset_2022-12-31_20260912,learned_order_offset,2022-12-31,20260912,2893,3,0.6596396648695236,5.421010862427522e-19,0.22648870578275937,0.6572944961513824
learned_market_2023-12-31_20260910,learned_market,2023-12-31,20260910,3135,4,0.65930338865025,6.136584296267955e-17,0.010257638550321897,
learned_vol_interaction_2023-12-31_20260910,learned_vol_interaction,2023-12-31,20260910,3135,4,0.6592611811640994,9.204876444401933e-17,0.010257754448619394,
learned_order_extension_2023-12-31_20260910,learned_order_extension,2023-12-31,20260910,3135,4,0.659080388481459,1.1020915083315153e-16,0.010257910710705965,
learned_order_offset_2023-12-31_20260910,learned_order_offset,2023-12-31,20260910,3135,3,0.6590804743116292,6.288372600415926e-18,0.2206459323727922,0.6574613302567516
learned_market_2023-12-31_20260911,learned_market,2023-12-31,20260911,3135,4,0.6541359296664434,2.5196858488563123e-16,0.010954756050975288,
learned_vol_interaction_2023-12-31_20260911,learned_vol_interaction,2023-12-31,20260911,3135,4,0.6539853030767419,3.4910225751860757e-15,0.010954704091381563,
learned_order_extension_2023-12-31_20260911,learned_order_extension,2023-12-31,20260911,3135,4,0.6539789617192223,3.6093632423128685e-15,0.010954702109497843,
learned_order_offset_2023-12-31_20260911,learned_order_offset,2023-12-31,20260911,3135,2,0.6539789672570097,1.287774682896814e-15,0.22244216679283188,0.6525194357641371
learned_market_2023-12-31_20260912,learned_market,2023-12-31,20260912,3135,3,0.6761889039741212,2.099208437286726e-11,0.010021590706615464,
learned_vol_interaction_2023-12-31_20260912,learned_vol_interaction,2023-12-31,20260912,3135,3,0.6756800134461801,2.271165655716445e-11,0.010021548519451461,
learned_order_extension_2023-12-31_20260912,learned_order_extension,2023-12-31,20260912,3135,3,0.675274676463107,5.925650703626772e-11,0.010021576234509326,
learned_order_offset_2023-12-31_20260912,learned_order_offset,2023-12-31,20260912,3135,2,0.6752747565824394,4.878105645117481e-11,0.2420693228734578,0.674360537536082
learned_market_2024-12-31_20260910,learned_market,2024-12-31,20260910,3377,3,0.6676365501591839,3.1796212266854e-10,0.01018675795089756,
learned_vol_interaction_2024-12-31_20260910,learned_vol_interaction,2024-12-31,20260910,3377,3,0.6675391951284996,8.808372104081828e-10,0.010186878768043155,
learned_order_extension_2024-12-31_20260910,learned_order_extension,2024-12-31,20260910,3377,3,0.6675304183575261,8.950281136350068e-10,0.010186844327535074,
learned_order_offset_2024-12-31_20260910,learned_order_offset,2024-12-31,20260910,3377,2,0.6675304230544084,2.942708603919167e-13,0.23137504986978163,0.6661731450511414
learned_market_2024-12-31_20260911,learned_market,2024-12-31,20260911,3377,4,0.663715193800881,4.54009659728305e-17,0.010118423981442033,
learned_vol_interaction_2024-12-31_20260911,learned_vol_interaction,2024-12-31,20260911,3377,4,0.6634673201845557,5.670377362099188e-17,0.010118255780592602,
learned_order_extension_2024-12-31_20260911,learned_order_extension,2024-12-31,20260911,3377,4,0.6629192873819634,8.654101740779296e-16,0.010118048714979571,
learned_order_offset_2024-12-31_20260911,learned_order_offset,2024-12-31,20260911,3377,3,0.6629210221894072,8.239936510889834e-18,0.22631980709012062,0.6617058999355863
learned_market_2024-12-31_20260912,learned_market,2024-12-31,20260912,3377,3,0.6783336434321268,2.314836338021195e-12,0.01016980135364775,
learned_vol_interaction_2024-12-31_20260912,learned_vol_interaction,2024-12-31,20260912,3377,3,0.6782179326358616,2.2486631968358234e-12,0.010169750139495962,
learned_order_extension_2024-12-31_20260912,learned_order_extension,2024-12-31,20260912,3377,3,0.6774965516735045,2.656580131658176e-11,0.010169662487288263,
learned_order_offset_2024-12-31_20260912,learned_order_offset,2024-12-31,20260912,3377,3,0.677496740490311,8.673617379884035e-19,0.2449446932129711,0.6761262824329207
learned_market_2025-12-31_20260910,learned_market,2025-12-31,20260910,3620,3,0.6655620930765984,5.6799146679401e-10,0.010184768081666148,
learned_vol_interaction_2025-12-31_20260910,learned_vol_interaction,2025-12-31,20260910,3620,4,0.6652232172326663,6.418476861114186e-17,0.01018477662142146,
learned_order_extension_2025-12-31_20260910,learned_order_extension,2025-12-31,20260910,3620,4,0.6652231162230196,5.323432666903827e-17,0.010184768724013875,
learned_order_offset_2025-12-31_20260910,learned_order_offset,2025-12-31,20260910,3620,2,0.6652231162561975,8.086792954026256e-17,0.2309493534165193,0.6637848011783886
learned_market_2025-12-31_20260911,learned_market,2025-12-31,20260911,3620,4,0.6659191396908718,5.324163455108485e-17,0.01049223952235819,
learned_vol_interaction_2025-12-31_20260911,learned_vol_interaction,2025-12-31,20260911,3620,3,0.6656782221872154,8.692397305415378e-10,0.010491666923128815,
learned_order_extension_2025-12-31_20260911,learned_order_extension,2025-12-31,20260911,3620,4,0.6656147059665821,2.350008208862331e-17,0.010491452022060607,
learned_order_offset_2025-12-31_20260911,learned_order_offset,2025-12-31,20260911,3620,2,0.6656147411365133,6.058901210609369e-15,0.2305546756211512,0.663819361170329
learned_market_2025-12-31_20260912,learned_market,2025-12-31,20260912,3620,3,0.6788253637889818,2.55150371317181e-12,0.010269630224123093,
learned_vol_interaction_2025-12-31_20260912,learned_vol_interaction,2025-12-31,20260912,3620,3,0.678194654781498,1.2076095624782152e-10,0.010269356434768038,
learned_order_extension_2025-12-31_20260912,learned_order_extension,2025-12-31,20260912,3620,3,0.6781930844299554,1.207274555933141e-10,0.010269357686194708,
learned_order_offset_2025-12-31_20260912,learned_order_offset,2025-12-31,20260912,3620,2,0.6781930845801144,4.0462492839794806e-14,0.24488053780167443,0.6769337391855547
