window,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,learned_market,147,0.4557823129251701,0.54421768707483,67,0.47485768500948766,0.6258503401360545,0.4217687074829932,37,30,55,25,0.4538899430740038,0.2659381572213168,0.7262646101265459,0.524049015277645,0.07940270660448237,0.1022803077946518,0.0
extension_2021_2023,learned_order_extension,147,0.4421768707482993,0.5578231292517006,65,0.46309297912713476,0.6394557823129252,0.4217687074829932,37,28,57,25,0.45445920303605314,0.26607324363308177,0.7264672877370262,0.5241523112751016,0.07562939556669258,0.10238360379210842,0.0
extension_2021_2023,learned_order_offset,147,0.4421768707482993,0.5578231292517006,65,0.46309297912713476,0.6394557823129252,0.4217687074829932,37,28,57,25,0.45426944971537003,0.2660280352208219,0.7263704221296597,0.524125827568217,0.07549534445496732,0.1023571200852238,0.0
extension_2021_2023,learned_vol_interaction,147,0.4421768707482993,0.5578231292517006,65,0.46309297912713476,0.6394557823129252,0.4217687074829932,37,28,57,25,0.45597722960151804,0.26578299644786296,0.7260362085917854,0.5236813942832398,0.07822806156971976,0.10191268680024657,0.0
extension_2021_2023,native_mse,147,0.46258503401360546,0.5374149659863946,68,0.48946869070208726,0.673469387755102,0.4217687074829932,41,27,58,21,0.45920303605313095,,,,,,
extension_2021_2023,training_frequency,147,0.4217687074829932,0.5782312925170068,62,0.5,1.0,0.4217687074829932,62,0,85,0,0.5294117647058824,0.2538922646549057,0.70093852846223,0.5231003641162889,0.00674579305592304,0.10133165663329569,0.0
recent_2024_2026,learned_market,125,0.488,0.512,61,0.48908577298407807,0.48,0.528,31,30,29,35,0.5028248587570622,0.25581800569347823,0.7052504348003882,0.4987120918998505,0.07964559143643991,-0.02928790810014953,0.0
recent_2024_2026,learned_order_extension,125,0.48,0.52,60,0.48240883410374935,0.456,0.528,29,31,28,37,0.4956343091936312,0.25646160711561333,0.7065069672412573,0.4980268387272317,0.07806929183844682,-0.029973161272768334,0.0
recent_2024_2026,learned_order_offset,125,0.472,0.528,59,0.47393425783256293,0.464,0.528,29,30,29,37,0.4953775038520801,0.2564697487598113,0.7065228068649254,0.4979603870695723,0.07796958171569443,-0.030039612930427728,0.0
recent_2024_2026,learned_vol_interaction,125,0.48,0.52,60,0.4815100154083205,0.472,0.528,30,30,29,36,0.4943502824858757,0.25696472403903914,0.7076305047920608,0.49944300693785115,0.08105843473908554,-0.028556993062148872,0.0
recent_2024_2026,native_mse,125,0.504,0.496,63,0.5042372881355932,0.496,0.528,33,30,29,33,0.4915254237288136,,,,,,
recent_2024_2026,training_frequency,125,0.528,0.472,66,0.5,1.0,0.528,66,0,59,0,0.42501284026707753,0.25002075146461744,0.6931888336398168,0.5081832134886433,0.003324448761732256,-0.019816786511356765,0.0
pooled_2021_2026,learned_market,272,0.47058823529411764,0.5294117647058824,128,0.47395833333333337,0.5588235294117647,0.47058823529411764,68,60,84,60,0.4691840277777778,0.26128735229124395,0.7166073604362161,0.5124052085782909,0.0805107618260235,0.04181697328417322,0.0
pooled_2021_2026,learned_order_extension,272,0.45955882352941174,0.5404411764705882,125,0.4626736111111111,0.5551470588235294,0.47058823529411764,66,59,85,62,0.4647352430555556,0.2616561312629216,0.7172943463327207,0.5121461198468525,0.07785668175348605,0.0415578845527349,0.0
pooled_2021_2026,learned_order_offset,272,0.45588235294117646,0.5441176470588235,124,0.4592013888888889,0.5588235294117647,0.47058823529411764,66,58,86,62,0.4647352430555556,0.26163544033984276,0.7172492754087341,0.512101268515531,0.07774370298353668,0.04151303322141331,0.0
pooled_2021_2026,learned_vol_interaction,272,0.45955882352941174,0.5404411764705882,125,0.4631076388888889,0.5625,0.47058823529411764,67,58,86,61,0.4668511284722222,0.261730481554102,0.7175777050073532,0.5125424295105427,0.08045328599328856,0.0419541942164251,0.0
pooled_2021_2026,native_mse,272,0.48161764705882354,0.5183823529411765,131,0.48697916666666663,0.5919117647058824,0.47058823529411764,74,57,87,54,0.4658203125,,,,,,
pooled_2021_2026,training_frequency,272,0.47058823529411764,0.5294117647058824,128,0.5,1.0,0.47058823529411764,128,0,144,0,0.4396158854166667,0.25211307660789817,0.69737708782693,0.5162450559234371,0.00921621435403991,0.04565682062931942,0.0
