cutoff,end,train_n,test_n,neural_fits,epochs,optimizer_steps,presentations,head_fits,projections
2020-12-31,2021-12-31,2408,50,3,60,1140,144480,12,6
2021-12-31,2022-12-31,2651,49,3,60,1260,159060,12,6
2022-12-31,2023-12-31,2893,48,3,60,1380,173580,12,6
2023-12-31,2024-12-31,3135,47,3,60,1500,188100,12,6
2024-12-31,2025-12-31,3377,48,3,60,1620,202620,12,6
2025-12-31,2026-08-31,3620,30,3,60,1740,217200,12,6
