job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
learned_market_2024-12-31_20260910,L-BFGS-B,True,77,5.874273112382866e-08,1.887379141862766e-15,3.9737604977385654e-09,
learned_vol_interaction_2024-12-31_20260910,L-BFGS-B,True,76,6.3618975143509e-08,1.4432899320127035e-15,1.1382467092837818e-08,
learned_order_extension_2024-12-31_20260910,L-BFGS-B,True,77,7.346556135656712e-08,1.6653345369377348e-15,8.092472962247833e-09,
learned_order_offset_2024-12-31_20260910,brentq,True,9,,0.0,1.4772254600114998e-18,1.271814251135872e-12
learned_market_2024-12-31_20260911,L-BFGS-B,True,81,8.253716365924646e-08,1.2212453270876722e-15,1.0463323389035654e-08,
learned_vol_interaction_2024-12-31_20260911,L-BFGS-B,True,80,9.994888772180133e-08,2.55351295663786e-15,1.2723331248168726e-08,
learned_order_extension_2024-12-31_20260911,L-BFGS-B,True,79,5.83806379905738e-08,9.992007221626409e-16,1.0372740023140668e-08,
learned_order_offset_2024-12-31_20260911,brentq,True,11,,0.0,5.9631119486702744e-18,6.938893903907228e-17
learned_market_2024-12-31_20260912,L-BFGS-B,True,74,5.7847069911964866e-08,2.7755575615628914e-15,3.505983735318033e-09,
learned_vol_interaction_2024-12-31_20260912,L-BFGS-B,True,74,1.6336606734057568e-07,9.103828801926284e-15,2.877566090942439e-08,
learned_order_extension_2024-12-31_20260912,L-BFGS-B,True,77,1.2420005079949448e-07,7.882583474838611e-15,9.277976055096745e-09,
learned_order_offset_2024-12-31_20260912,brentq,True,11,,0.0,7.15573433840433e-18,1.3877787807814457e-17
learned_market_2025-12-31_20260910,L-BFGS-B,True,73,1.2496349133250817e-07,5.440092820663267e-15,1.8025709344550618e-08,
learned_vol_interaction_2025-12-31_20260910,L-BFGS-B,True,73,9.19449166802977e-08,2.6645352591003757e-15,9.785529203566387e-09,
learned_order_extension_2025-12-31_20260910,L-BFGS-B,True,77,8.248180444203612e-08,1.3322676295501878e-15,7.380804252173946e-09,
learned_order_offset_2025-12-31_20260910,brentq,True,8,,0.0,2.0159384144652348e-19,3.6244878626190413e-16
learned_market_2025-12-31_20260911,L-BFGS-B,True,73,1.0656475679660105e-07,4.6629367034256575e-15,1.1267800077317466e-08,
learned_vol_interaction_2025-12-31_20260911,L-BFGS-B,True,77,1.141771305279704e-07,4.9960036108132044e-15,7.878153610810928e-09,
learned_order_extension_2025-12-31_20260911,L-BFGS-B,True,78,1.46994897698427e-07,5.329070518200751e-15,1.8467300215191558e-08,
learned_order_offset_2025-12-31_20260911,brentq,True,9,,0.0,2.2163802911034924e-16,2.7210872444172196e-14
learned_market_2025-12-31_20260912,L-BFGS-B,True,78,7.951421665541858e-08,2.6645352591003757e-15,9.676491737661136e-09,
learned_vol_interaction_2025-12-31_20260912,L-BFGS-B,True,71,2.497400507506242e-07,1.8207657603852567e-14,4.775377347016312e-08,
learned_order_extension_2025-12-31_20260912,L-BFGS-B,True,74,8.114564864492024e-08,1.7763568394002505e-15,8.901773707617683e-09,
learned_order_offset_2025-12-31_20260912,brentq,True,9,,0.0,8.477105736121038e-18,1.6519034404249844e-13
