job,iteration,objective,gradient_inf,last_step,last_backtracks,gamma,gradient,hessian
learned_market_2020-12-31_20260910,0,0.6914074350934947,0.09056689324139051,0.0,0.0,,,
learned_market_2020-12-31_20260910,1,0.6707169704857633,0.0020297914043514204,1.0,0.0,,,
learned_market_2020-12-31_20260910,2,0.6707005864495386,5.347945570427894e-06,1.0,0.0,,,
learned_market_2020-12-31_20260910,3,0.6707005863122161,4.489012210995985e-11,1.0,0.0,,,
learned_vol_interaction_2020-12-31_20260910,0,0.6914074350934947,0.09056689324139051,0.0,0.0,,,
learned_vol_interaction_2020-12-31_20260910,1,0.6701850696775192,0.002194101390041665,1.0,0.0,,,
learned_vol_interaction_2020-12-31_20260910,2,0.670165551451513,6.9856539232153155e-06,1.0,0.0,,,
learned_vol_interaction_2020-12-31_20260910,3,0.6701655512125231,8.97094936313722e-11,1.0,0.0,,,
learned_order_extension_2020-12-31_20260910,0,0.6914074350934947,0.09056689324139051,0.0,0.0,,,
learned_order_extension_2020-12-31_20260910,1,0.6699328977036165,0.0022500294844200646,1.0,0.0,,,
learned_order_extension_2020-12-31_20260910,2,0.6699119276412455,7.598212011065324e-06,1.0,0.0,,,
learned_order_extension_2020-12-31_20260910,3,0.6699119273484924,1.1096758570621618e-10,1.0,0.0,,,
learned_order_offset_2020-12-31_20260910,0,0.6691490873857947,,,,0.0,-0.010980114525214472,0.23829594517670485
learned_order_offset_2020-12-31_20260910,1,0.668895527295957,,,,0.04607763895047534,-4.0801311860196444e-05,0.23632659050735239
learned_order_offset_2020-12-31_20260910,2,0.6688955237737771,,,,0.04625028694481488,-8.264917757344961e-10,0.23631701357712953
learned_order_offset_2020-12-31_20260910,3,0.6688955237737773,,,,0.04625029044220071,-5.421010862427522e-19,0.2363170133829667
learned_market_2020-12-31_20260911,0,0.6914074350934947,0.10787691330305352,0.0,0.0,,,
learned_market_2020-12-31_20260911,1,0.6489505999371274,0.007525486169484796,1.0,0.0,,,
learned_market_2020-12-31_20260911,2,0.6486430382686088,0.0002646322992451945,1.0,0.0,,,
