cutoff,encoder_cutoff,state,new_n,eligible
2020-12-31,2020-12-31,negative_low,0,False
2020-12-31,2020-12-31,negative_high,0,False
2020-12-31,2020-12-31,nonnegative_low,0,False
2020-12-31,2020-12-31,nonnegative_high,0,False
2021-03-31,2020-12-31,negative_low,0,False
2021-03-31,2020-12-31,negative_high,4,False
2021-03-31,2020-12-31,nonnegative_low,12,False
2021-03-31,2020-12-31,nonnegative_high,42,True
2021-06-30,2020-12-31,negative_low,11,False
2021-06-30,2020-12-31,negative_high,37,True
2021-06-30,2020-12-31,nonnegative_low,17,False
2021-06-30,2020-12-31,nonnegative_high,53,True
2021-09-30,2020-12-31,negative_low,13,False
2021-09-30,2020-12-31,negative_high,79,True
2021-09-30,2020-12-31,nonnegative_low,25,True
2021-09-30,2020-12-31,nonnegative_high,65,True
2021-12-31,2021-12-31,negative_low,0,False
2021-12-31,2021-12-31,negative_high,0,False
2021-12-31,2021-12-31,nonnegative_low,0,False
2021-12-31,2021-12-31,nonnegative_high,0,False
2022-03-31,2021-12-31,negative_low,19,False
2022-03-31,2021-12-31,negative_high,33,True
2022-03-31,2021-12-31,nonnegative_low,6,False
2022-03-31,2021-12-31,nonnegative_high,0,False
2022-06-30,2021-12-31,negative_low,20,True
2022-06-30,2021-12-31,negative_high,84,True
2022-06-30,2021-12-31,nonnegative_low,7,False
2022-06-30,2021-12-31,nonnegative_high,6,False
2022-09-30,2021-12-31,negative_low,38,True
2022-09-30,2021-12-31,negative_high,85,True
2022-09-30,2021-12-31,nonnegative_low,33,True
2022-09-30,2021-12-31,nonnegative_high,26,True
2022-12-31,2022-12-31,negative_low,0,False
2022-12-31,2022-12-31,negative_high,0,False
2022-12-31,2022-12-31,nonnegative_low,0,False
2022-12-31,2022-12-31,nonnegative_high,0,False
2023-03-31,2022-12-31,negative_low,4,False
2023-03-31,2022-12-31,negative_high,0,False
2023-03-31,2022-12-31,nonnegative_low,55,True
2023-03-31,2022-12-31,nonnegative_high,0,False
2023-06-30,2022-12-31,negative_low,46,True
2023-06-30,2022-12-31,negative_high,0,False
2023-06-30,2022-12-31,nonnegative_low,72,True
2023-06-30,2022-12-31,nonnegative_high,0,False
2023-09-30,2022-12-31,negative_low,103,True
2023-09-30,2022-12-31,negative_high,2,False
2023-09-30,2022-12-31,nonnegative_low,77,True
2023-09-30,2022-12-31,nonnegative_high,0,False
2023-12-31,2023-12-31,negative_low,0,False
2023-12-31,2023-12-31,negative_high,0,False
2023-12-31,2023-12-31,nonnegative_low,0,False
2023-12-31,2023-12-31,nonnegative_high,0,False
2024-03-31,2023-12-31,negative_low,19,False
2024-03-31,2023-12-31,negative_high,24,True
2024-03-31,2023-12-31,nonnegative_low,7,False
2024-03-31,2023-12-31,nonnegative_high,8,False
2024-06-30,2023-12-31,negative_low,27,True
2024-06-30,2023-12-31,negative_high,24,True
2024-06-30,2023-12-31,nonnegative_low,58,True
2024-06-30,2023-12-31,nonnegative_high,8,False
2024-09-30,2023-12-31,negative_low,89,True
2024-09-30,2023-12-31,negative_high,24,True
2024-09-30,2023-12-31,nonnegative_low,60,True
2024-09-30,2023-12-31,nonnegative_high,8,False
2024-12-31,2024-12-31,negative_low,0,False
2024-12-31,2024-12-31,negative_high,0,False
2024-12-31,2024-12-31,nonnegative_low,0,False
2024-12-31,2024-12-31,nonnegative_high,0,False
2025-03-31,2024-12-31,negative_low,23,True
2025-03-31,2024-12-31,negative_high,19,False
2025-03-31,2024-12-31,nonnegative_low,15,False
2025-03-31,2024-12-31,nonnegative_high,0,False
2025-06-30,2024-12-31,negative_low,60,True
2025-06-30,2024-12-31,negative_high,36,True
2025-06-30,2024-12-31,nonnegative_low,18,False
2025-06-30,2024-12-31,nonnegative_high,3,False
2025-09-30,2024-12-31,negative_low,62,True
2025-09-30,2024-12-31,negative_high,36,True
2025-09-30,2024-12-31,nonnegative_low,69,True
2025-09-30,2024-12-31,nonnegative_high,16,False
2025-12-31,2025-12-31,negative_low,0,False
2025-12-31,2025-12-31,negative_high,0,False
2025-12-31,2025-12-31,nonnegative_low,0,False
2025-12-31,2025-12-31,nonnegative_high,0,False
2026-03-31,2025-12-31,negative_low,6,False
2026-03-31,2025-12-31,negative_high,1,False
2026-03-31,2025-12-31,nonnegative_low,44,True
2026-03-31,2025-12-31,nonnegative_high,5,False
2026-06-30,2025-12-31,negative_low,6,False
2026-06-30,2025-12-31,negative_high,19,False
2026-06-30,2025-12-31,nonnegative_low,55,True
2026-06-30,2025-12-31,nonnegative_high,36,True
