encoder_cutoff,row_index,date,state,trend60,volatility20,range20,volume_change20,order60,market5_outside_any,market5_outside_fraction,market5_mean_squared_raw_z,outside_trend60,outside_volatility20,outside_range20,outside_volume_change20,outside_order60,decoded25_outside_any,decoded25_outside_fraction,decoded25_mean_squared_raw_z
2020-12-31,1196,2016-01-04,nonnegative_high,0.26158374230934106,0.02052149890332094,0.019357539287441126,-0.2704501033153761,-0.05197740112994351,0.0,0.0,0.9472864738278689,0,0,0,0,0,0.3333333333333333,0.013333333333333334,1.0915153385251912
2020-12-31,1197,2016-01-05,nonnegative_high,0.0628166383967218,0.02051733894790771,0.020847799123654375,0.35314527274818275,-0.05197740112994351,0.0,0.0,1.1509222853245527,0,0,0,0,0,0.6666666666666666,0.05333333333333334,0.962520281687533
2020-12-31,1198,2016-01-06,nonnegative_high,0.1885523666135084,0.020678935194727372,0.02124358096715584,0.1488317439570288,-0.062146892655367235,0.0,0.0,1.1028868669093792,0,0,0,0,0,0.3333333333333333,0.04,1.0563510842143824
2020-12-31,1199,2016-01-07,negative_high,-0.2078784262758644,0.025732519346276343,0.023546368941265605,-0.943743839491983,-0.062146892655367235,1.0,0.2,3.287874070913117,0,0,0,1,0,0.3333333333333333,0.04,1.2309093500595452
2020-12-31,1200,2016-01-08,negative_high,-0.2286482179063286,0.026309847227248117,0.025410346506964564,0.4362416362959074,-0.096045197740113,0.0,0.0,2.9776132303132545,0,0,0,0,0,1.0,0.08,1.3293212083596355
2020-12-31,1201,2016-01-11,negative_high,-0.6082776770349315,0.028304548820545228,0.026977037614746634,0.4593097503631718,-0.11977401129943503,1.0,0.2,3.944255655304417,0,1,0,0,0,1.0,0.12,1.6274279866633827
2020-12-31,1202,2016-01-12,negative_high,-0.56427293044686,0.02738702518994987,0.026089127999795993,-0.1685676698152072,-0.1536723163841808,0.0,0.0,3.5105586277286074,0,0,0,0,0,0.3333333333333333,0.02666666666666667,1.3666452360577264
2020-12-31,1203,2016-01-13,negative_high,-0.7484351055232467,0.02749457809650929,0.027155178206778353,-0.0470672201354887,-0.14576271186440679,0.0,0.0,3.741150561292872,0,0,0,0,0,0.3333333333333333,0.013333333333333334,1.1179718938939056
2020-12-31,1204,2016-01-14,negative_high,-0.45106185973028484,0.028172545136454764,0.02912822188755948,0.18923120098661528,-0.1536723163841808,0.0,0.0,4.253307944333745,0,0,0,0,0,0.3333333333333333,0.04,0.9894670770143547
2020-12-31,1205,2016-01-15,negative_high,-0.7246487530927768,0.028057717597503994,0.03017174666313327,-0.3562340280068703,-0.17966101694915254,0.0,0.0,4.842063157509213,0,0,0,0,0,0.6666666666666666,0.04,0.9666674907576995
2020-12-31,1206,2016-01-18,negative_high,-0.7826188126707498,0.02807242556377818,0.03097444469417727,-0.5395906372145021,-0.2135593220338983,0.0,0.0,5.498673852826277,0,0,0,0,0,0.3333333333333333,0.013333333333333334,1.1189824761615346
2020-12-31,1207,2016-01-19,negative_high,-0.6295294538482337,0.028292442502857677,0.03114419750271269,-0.5325785761232353,-0.2135593220338983,1.0,0.4,5.509874823095972,0,1,1,0,0,0.3333333333333333,0.013333333333333334,1.0609402978267477
2020-12-31,1208,2016-01-20,negative_high,-0.7224989992460022,0.028186709386003938,0.03176168397929073,-0.3221165833483788,-0.207909604519774,1.0,0.4,5.433826506696953,0,1,1,0,0,0.3333333333333333,0.013333333333333334,0.9660792968553126
2020-12-31,1209,2016-01-21,negative_high,-0.7783643815947442,0.028451415977471133,0.03287247988757809,-0.6215635730031579,-0.17401129943502824,1.0,0.4,5.910054718684987,0,1,1,0,0,0.0,0.0,0.9189991972308947
2020-12-31,1210,2016-01-22,negative_high,-0.7304562542685495,0.02884285325601969,0.03308384866057912,-0.49239977009445823,-0.207909604519774,1.0,0.4,6.107433141633654,0,1,1,0,0,0.0,0.0,0.9510202463015482
2020-12-31,1211,2016-01-25,negative_high,-0.7026535111820424,0.028906605281787876,0.03333653926845237,-0.3832591495610771,-0.17401129943502824,1.0,0.4,5.834849153897859,0,1,1,0,0,0.0,0.0,1.0429714607923695
2020-12-31,1212,2016-01-26,negative_high,-0.9154003553505289,0.030812099886694835,0.03452341499458367,-0.19321088931165775,-0.207909604519774,1.0,0.4,6.88972595040868,0,1,1,0,0,0.3333333333333333,0.013333333333333334,1.5133451840433112
2020-12-31,1213,2016-01-27,negative_high,-0.9178272191302909,0.030503418873644654,0.035974800269654716,0.26068786007285993,-0.17401129943502824,1.0,0.4,7.053804001910331,0,1,1,0,0,0.0,0.0,1.1847383704256818
2020-12-31,1214,2016-01-28,negative_high,-1.3535010309202813,0.030486758382747312,0.037179188995373424,-0.06257461206325132,-0.17062146892655367,1.0,0.4,7.647029415770332,0,1,1,0,0,0.3333333333333333,0.013333333333333334,1.021386529775106
2020-12-31,1215,2016-01-29,negative_high,-1.2798736846941725,0.03207096565958901,0.038481698160309906,0.10634435957750199,-0.20451977401129942,1.0,0.4,8.71753929558194,0,1,1,0,0,0.6666666666666666,0.06666666666666667,1.1894214252619848
2020-12-31,1216,2016-02-01,negative_high,-1.510624226347101,0.02893945439084677,0.036194531965586176,-0.28459723750992794,-0.23728813559322032,1.0,0.6,7.640625741471292,1,1,1,0,0,0.6666666666666666,0.04,0.8381471465317425
2020-12-31,1217,2016-02-02,negative_high,-1.4561854966306067,0.0295600022326434,0.03535773100919522,-0.6041641798436288,-0.23728813559322032,1.0,0.4,7.81285054148583,0,1,1,0,0,0.0,0.0,0.7867313129630856
2020-12-31,1218,2016-02-03,negative_high,-1.4700066899381699,0.028999230010549444,0.03504836595298646,-0.6345300467030199,-0.23728813559322032,1.0,0.4,7.632637177225371,0,1,1,0,0,0.0,0.0,0.7698856608094738
2020-12-31,1219,2016-02-04,negative_high,-1.396889188040465,0.025481971397699973,0.03279904150737867,0.7328717227113479,-0.23728813559322032,1.0,0.2,6.2935104622482845,0,0,1,0,0,0.0,0.0,1.0813084648387694
2020-12-31,1220,2016-02-05,negative_high,-1.3807246779211937,0.024822246688692345,0.03050919643335903,-0.8836626530179004,-0.2711864406779661,1.0,0.2,6.168079738505075,0,0,0,0,1,0.3333333333333333,0.02666666666666667,1.1950121788955868
2020-12-31,1221,2016-02-15,negative_high,-1.3419382366078507,0.02254353631687165,0.029503682952925558,-0.8733622802190091,-0.23728813559322032,0.0,0.0,5.173318944247663,0,0,0,0,0,0.3333333333333333,0.05333333333333334,1.5341050761645907
2020-12-31,1222,2016-02-16,negative_high,-1.1800097761400514,0.023643821425464003,0.02977939677017667,-0.13013183105748283,-0.23728813559322032,0.0,0.0,4.437930302152443,0,0,0,0,0,0.0,0.0,1.333317989698399
2020-12-31,1223,2016-02-17,negative_high,-1.1218334224772157,0.023474673460752694,0.028833507936665326,0.061275359780406546,-0.23841807909604518,0.0,0.0,4.15316330984507,0,0,0,0,0,0.0,0.0,0.858515421869852
2020-12-31,1224,2016-02-18,negative_high,-1.077309948878161,0.02292138156676317,0.027089084330299284,-0.07833029228049426,-0.23841807909604518,0.0,0.0,3.681698418336489,0,0,0,0,0,0.3333333333333333,0.013333333333333334,1.0635260051945197
2020-12-31,1225,2016-02-19,negative_high,-1.1746654942930108,0.021880625105233732,0.025803456982654495,-0.3553370943387151,-0.20338983050847456,0.0,0.0,3.2107482033903123,0,0,0,0,0,0.6666666666666666,0.02666666666666667,1.246325437042304
