cutoff,weekly_n,future_price_invariance
2020-12-31,11,True
2021-03-31,13,True
2021-06-30,13,True
2021-09-30,13,True
2021-12-31,11,True
2022-03-31,12,True
2022-06-30,14,True
2022-09-30,12,True
2022-12-31,12,True
2023-03-31,12,True
2023-06-30,12,True
2023-09-30,12,True
2023-12-31,11,True
2024-03-31,11,True
2024-06-30,13,True
2024-09-30,12,True
2024-12-31,12,True
2025-03-31,11,True
2025-06-30,13,True
2025-09-30,12,True
2025-12-31,11,True
2026-03-31,11,True
2026-06-30,8,True
