rule,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,scaled_huber_error,mse_skill_vs_huber_intercept,reassigned_mse,reassignment_mse_relative_change
mse,2018,0.0009424487150258133,0.030699327598920034,0.6530612244897959,0.21093203889644357,0.00379155083387412,49,0.6845238095238095,0.6938775510204082,0.030959823922230734,0.00379155083387412,0.0,0.02408183319279364,0.8970924932839244,0.023774733639708057,0.0009250761211127172,-0.01843346341940766
mse,2019,0.0006540511204060153,0.02557442316858809,0.5652173913043478,0.3622500329221676,0.007319686302999174,46,0.59375,0.43478260869565216,0.07104743442346795,0.007319686302999174,0.0,0.020500639277095792,0.6698477615711166,0.07424130258336259,0.0007104309425042428,0.08620094108733967
mse,2020,0.0011746367494049896,0.03427297403793534,0.5652173913043478,-0.03373137867566068,0.0067285832698688085,46,0.5138888888888888,0.7391304347826086,-0.044446212093575355,0.0067285832698688085,0.0,0.027059115782565517,1.0389335687503065,-0.043314200832974326,0.0012561819239044637,0.069421610162274
huber,2018,0.0009650473603129456,0.031065211415873956,0.5510204081632653,0.04840115268307004,0.002717894068704971,49,0.5833333333333334,0.7142857142857143,0.007723551370719117,0.002717894068704971,0.0,0.02455317917364104,0.9153140747646531,0.00036617234286528966,0.0009618572799170785,-0.003305620560251632
huber,2019,0.0007286733565639307,0.02699395036973897,0.5,0.1726352229207444,0.005205706278110504,46,0.54375,0.3695652173913043,-0.034938956494907414,0.005205706278110503,2.220446049250313e-16,0.021625704039850657,0.724864162613713,-0.03138069237780239,0.0007600924060602407,0.04311815330324009
huber,2020,0.001145851398376969,0.03385042685664346,0.5652173913043478,-0.03019218131661946,0.0041997823336146515,46,0.5138888888888888,0.7391304347826086,-0.018851277438049596,0.0041997823336146515,0.0,0.02663316822253751,1.0126863159679864,-0.017747006959030864,0.0011651362859596373,0.016830182002643745
