cutoff,seed,year,rows,sample_share,mse_loss_share,huber_loss_share
2017-12-31,20260910,2010,113,0.06734207389749702,0.10728428225323933,0.09451328846005308
2017-12-31,20260910,2011,244,0.14541120381406436,0.14671608504377717,0.15623785416584196
2017-12-31,20260910,2012,243,0.14481525625744934,0.1289552908532474,0.13951299751473517
2017-12-31,20260910,2013,238,0.14183551847437426,0.14643161095211724,0.15586310434518758
2017-12-31,20260910,2014,245,0.14600715137067938,0.1624994977088856,0.15247390149358017
2017-12-31,20260910,2015,113,0.06734207389749702,0.15268586558011465,0.13615066235685136
2017-12-31,20260910,2016,244,0.14541120381406436,0.1250172686408954,0.12854755876607413
2017-12-31,20260910,2017,238,0.14183551847437426,0.030410098967723273,0.03670063289767654
2017-12-31,20260911,2010,113,0.06734207389749702,0.11252846123147382,0.09750077307598759
2017-12-31,20260911,2011,244,0.14541120381406436,0.1389799951556819,0.15107679441812008
2017-12-31,20260911,2012,243,0.14481525625744934,0.13135690577157677,0.14483897372501375
2017-12-31,20260911,2013,238,0.14183551847437426,0.16019544102082664,0.16746748854950178
2017-12-31,20260911,2014,245,0.14600715137067938,0.16015388461871946,0.14939169749255676
2017-12-31,20260911,2015,113,0.06734207389749702,0.1494559564079669,0.13276596760802617
2017-12-31,20260911,2016,244,0.14541120381406436,0.11860535179639947,0.12194685236953826
2017-12-31,20260911,2017,238,0.14183551847437426,0.028724003997355023,0.03501145276125573
2017-12-31,20260912,2010,113,0.06734207389749702,0.11760429637662417,0.102466357810771
2017-12-31,20260912,2011,244,0.14541120381406436,0.14388563127495976,0.15318930568370343
2017-12-31,20260912,2012,243,0.14481525625744934,0.12708294235563827,0.13932464606874354
2017-12-31,20260912,2013,238,0.14183551847437426,0.15530709945699575,0.16046224020964825
2017-12-31,20260912,2014,245,0.14600715137067938,0.15698394938777652,0.1498763991989162
2017-12-31,20260912,2015,113,0.06734207389749702,0.14502051596094467,0.12986246734649814
2017-12-31,20260912,2016,244,0.14541120381406436,0.11624302067230875,0.11924353577064657
2017-12-31,20260912,2017,238,0.14183551847437426,0.037872544514752006,0.0455750479110728
2018-12-31,20260910,2010,113,0.058823529411764705,0.1110202037440872,0.09242146444882873
2018-12-31,20260910,2011,244,0.12701717855283706,0.106882508489345,0.11477563107284583
2018-12-31,20260910,2012,243,0.12649661634565332,0.11838997159509675,0.12385347764966288
2018-12-31,20260910,2013,238,0.12389380530973451,0.1288821823693303,0.13378441799159238
2018-12-31,20260910,2014,245,0.12753774076002083,0.13825610300365834,0.133093322830149
2018-12-31,20260910,2015,113,0.058823529411764705,0.12386374692845725,0.11150401521430747
2018-12-31,20260910,2016,244,0.12701717855283706,0.09942403617984431,0.10327789987879149
2018-12-31,20260910,2017,244,0.12701717855283706,0.04225218378175162,0.04957889345353494
2018-12-31,20260910,2018,237,0.12337324310255075,0.13102906390842925,0.1377108774602872
2018-12-31,20260911,2010,113,0.058823529411764705,0.09614637381373572,0.08559527225493672
2018-12-31,20260911,2011,244,0.12701717855283706,0.11984463013912795,0.12572889307839116
2018-12-31,20260911,2012,243,0.12649661634565332,0.09582773363035524,0.10592470648646685
2018-12-31,20260911,2013,238,0.12389380530973451,0.14289261688105298,0.14738617248426852
2018-12-31,20260911,2014,245,0.12753774076002083,0.14567379393958266,0.13778559979084998
2018-12-31,20260911,2015,113,0.058823529411764705,0.12956580973221996,0.11303026460929885
2018-12-31,20260911,2016,244,0.12701717855283706,0.10956004953240109,0.11110936480430389
2018-12-31,20260911,2017,244,0.12701717855283706,0.03599089313077439,0.042866567974277923
2018-12-31,20260911,2018,237,0.12337324310255075,0.12449809920075004,0.13057315851720602
2018-12-31,20260912,2010,113,0.058823529411764705,0.09331763261616373,0.08460096420731923
2018-12-31,20260912,2011,244,0.12701717855283706,0.11274703974867281,0.12052615255720685
2018-12-31,20260912,2012,243,0.12649661634565332,0.11415421547408426,0.12056528195383852
2018-12-31,20260912,2013,238,0.12389380530973451,0.14372796903775456,0.1474764930366425
2018-12-31,20260912,2014,245,0.12753774076002083,0.14031544592766895,0.1325655740080847
2018-12-31,20260912,2015,113,0.058823529411764705,0.125647973531075,0.1116544732103915
2018-12-31,20260912,2016,244,0.12701717855283706,0.11068924960540338,0.11046249397510757
2018-12-31,20260912,2017,244,0.12701717855283706,0.03134175868449226,0.03771600954043708
2018-12-31,20260912,2018,237,0.12337324310255075,0.128058715374685,0.134432557510972
2019-12-31,20260910,2010,113,0.052193995381062355,0.09136648484017176,0.07886485771317665
2019-12-31,20260910,2011,244,0.11270207852193996,0.10252444550916334,0.11095257799050376
2019-12-31,20260910,2012,243,0.11224018475750577,0.10248275268248934,0.11050253711670238
2019-12-31,20260910,2013,238,0.10993071593533488,0.13444724347315137,0.13538068522519187
2019-12-31,20260910,2014,245,0.11316397228637413,0.12378399653772418,0.11895185822926514
2019-12-31,20260910,2015,113,0.052193995381062355,0.10814381921551618,0.09719852439998591
2019-12-31,20260910,2016,244,0.11270207852193996,0.09393059845807024,0.09210754862922747
2019-12-31,20260910,2017,244,0.11270207852193996,0.030181604481871013,0.035595394686802936
2019-12-31,20260910,2018,243,0.11224018475750577,0.11940396608321759,0.1234870067754722
2019-12-31,20260910,2019,238,0.10993071593533488,0.09373508871862511,0.09695900923367175
2019-12-31,20260911,2010,113,0.052193995381062355,0.08232928278678502,0.07395948547197634
2019-12-31,20260911,2011,244,0.11270207852193996,0.114656904452487,0.12170978296144569
2019-12-31,20260911,2012,243,0.11224018475750577,0.09535390859379951,0.10439386050170071
2019-12-31,20260911,2013,238,0.10993071593533488,0.12270055837499208,0.1266363861556864
2019-12-31,20260911,2014,245,0.11316397228637413,0.12962725416796936,0.12122630617621168
2019-12-31,20260911,2015,113,0.052193995381062355,0.11356356865090292,0.10079189809379449
2019-12-31,20260911,2016,244,0.11270207852193996,0.10383233110678244,0.10055000902463411
2019-12-31,20260911,2017,244,0.11270207852193996,0.030660876281005344,0.03625985105708242
2019-12-31,20260911,2018,243,0.11224018475750577,0.11923036984537094,0.12441741608534719
2019-12-31,20260911,2019,238,0.10993071593533488,0.08804494573990546,0.090055004472121
2019-12-31,20260912,2010,113,0.052193995381062355,0.08459018385446308,0.07673381740769848
2019-12-31,20260912,2011,244,0.11270207852193996,0.10892491143885544,0.11584435676608743
2019-12-31,20260912,2012,243,0.11224018475750577,0.10650614014911285,0.1121619657283328
2019-12-31,20260912,2013,238,0.10993071593533488,0.1300162713811311,0.1306511675648232
2019-12-31,20260912,2014,245,0.11316397228637413,0.11383475990990907,0.10895125984512617
2019-12-31,20260912,2015,113,0.052193995381062355,0.11688390280699489,0.10301572355054647
2019-12-31,20260912,2016,244,0.11270207852193996,0.09484075403726444,0.09307737909437609
2019-12-31,20260912,2017,244,0.11270207852193996,0.034097300268664574,0.04056808861205449
2019-12-31,20260912,2018,243,0.11224018475750577,0.116039455853196,0.11999518865547276
2019-12-31,20260912,2019,238,0.10993071593533488,0.09426632030040859,0.09900105277548214
