rule,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,scaled_huber_error,mse_skill_vs_huber_intercept,reassigned_mse,reassignment_mse_relative_change
mse,0.0009241108443090148,0.030399191507489386,0.5957446808510638,0.1237952411233704,0.006587837813449706,141,0.5819722335647203,0.624113475177305,0.0112088643707694,0.006102895770451835,0.14180474637322815,0.023884812476534102,0.86923030755814,0.009834721166852689,0.0009630703673001677,0.04215892847820024
huber,0.0009469181516497569,0.03077203522111849,0.5390070921985816,0.019804275690928137,0.004566747110196026,141,0.5261331155573704,0.6099290780141844,-0.013194770176945259,0.004142743581128709,0.17707135285997733,0.024276694351618916,0.8849483097746536,-0.014602827609414781,0.0009623512521195124,0.01629824123961221
