cutoff,state,seed,n,linear_region_fraction,standardized_mse,scaled_huber_loss,top_one_percent_n,top_one_percent_mse_share,top_one_percent_huber_share,mean_absolute_mse_derivative,mean_absolute_huber_derivative,top_one_percent_mse_derivative_share,top_one_percent_huber_derivative_share
2017-12-31,zero_standardized_prediction,,1678,0.265792610250298,1.0,0.7918605414306051,17,0.14508672547398033,0.08268403660688081,1.502301393750572,1.1710350729009653,0.05032634248504246,0.017302826699046432
2017-12-31,frozen_mse_model,20260910.0,1678,0.25148986889153757,0.9035683661087247,0.7377728471605339,17,0.13802716302684387,0.08110034335646649,1.4382750144411713,1.144977099727409,0.048644896826937255,0.01769661325954427
2017-12-31,frozen_mse_model,20260911.0,1678,0.2550655542312277,0.9383147323467886,0.755192423418823,17,0.14265095657956547,0.08292495671453207,1.452395648049888,1.142733034667248,0.05009338025991159,0.017731365340996515
2017-12-31,frozen_mse_model,20260912.0,1678,0.24195470798569726,0.86478270626124,0.7158708144708137,17,0.14044691676189267,0.08237809924970405,1.42080605874997,1.1541031887844122,0.048636606693313,0.017556677012782792
2018-12-31,zero_standardized_prediction,,1921,0.2670484122852681,1.0,0.7994839004757017,20,0.14025051353697568,0.08110112460918263,1.51625470546459,1.1863317273709084,0.04962905460935289,0.017551994781001213
2018-12-31,frozen_mse_model,20260910.0,1921,0.24778761061946902,0.8408978721728949,0.7075233836635009,20,0.1343101082300117,0.08066975314048541,1.41332881351093,1.1565315488885057,0.047750375001046286,0.018004254451477752
2018-12-31,frozen_mse_model,20260911.0,1921,0.2483081728266528,0.8820400527831567,0.7303375070921632,20,0.1355855189489791,0.0808859839978569,1.4391120493272513,1.1614703271294764,0.0482834620749991,0.017927697161934576
2018-12-31,frozen_mse_model,20260912.0,1921,0.25663716814159293,0.906809090676529,0.7447582142202469,20,0.13202356688216296,0.07923072073669635,1.451529607171429,1.160863676421403,0.04782470428983932,0.017937065919350556
2019-12-31,zero_standardized_prediction,,2165,0.2678983833718245,0.9999999999999998,0.7999742086632836,22,0.13559828975561303,0.0787271898869727,1.5178757324778904,1.1874123620036736,0.048186674760433604,0.01711564262377205
2019-12-31,frozen_mse_model,20260910.0,2165,0.2660508083140878,0.9083641070928613,0.7506893905453866,22,0.1294633070453882,0.07740260281570752,1.459267934278705,1.1673502670878781,0.04678165945285809,0.01740979225181775
2019-12-31,frozen_mse_model,20260911.0,2165,0.2517321016166282,0.8828610896200946,0.7311986409536269,22,0.1313877916046685,0.07869876958224516,1.4368212514843357,1.1573950800390556,0.04712214279324388,0.017559540372694627
2019-12-31,frozen_mse_model,20260912.0,2165,0.26558891454965355,0.9001538542475229,0.7473722779072973,22,0.12381679260891791,0.07521976245882858,1.4543898153492447,1.1671300460084737,0.04564032787462338,0.01741307723557343
