rule,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,scaled_huber_error,mse_skill_vs_huber_intercept,reassigned_mse,reassignment_mse_relative_change
mse,20260910,0.0009339421362610295,0.030560466885521064,0.574468085106383,0.1529417186393175,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292274337,0.008755176563622381,0.18183620241988685,0.023922639826440096,0.8816696837752808,-0.0006993008034614778,0.0009983531353339405,0.06896679844725262
mse,20260911,0.0009748452506210802,0.031222511920424984,0.5531914893617021,0.013042073858408627,0.0070216694815943,141,0.5457329522253982,0.5673758865248227,-0.04307654039611486,0.006893030109812152,0.03630504500575349,0.024393319347200813,0.9067686072236569,-0.044526125133985905,0.0009857524647905944,0.011188662162086915
mse,20260912,0.0009515623200011166,0.03084740378056339,0.5815602836879432,0.1028182419489403,0.008507052451696476,141,0.5623723968966925,0.6666666666666666,-0.018163992783166272,0.008234382331034441,0.06307714159982658,0.024088842974981352,0.8879022003191451,-0.019578956045620544,0.0009931226757321499,0.04367591576239005
huber,20260910,0.00097357534883447,0.031202168976442485,0.5602836879432624,0.05094923045578627,0.008128320067772326,141,0.5503266639444672,0.5886524822695035,-0.04171775574657555,0.007515127229372158,0.1451870712083373,0.024637690887244084,0.9081751536399533,-0.0431654521537117,0.001043066111689658,0.07137687179362118
huber,20260911,0.0009569415501784542,0.030934471874891515,0.524822695035461,0.0017536956693587182,0.005183232611858771,141,0.5221518987341772,0.524822695035461,-0.023919725603115838,0.0047966288504401955,0.14361149023250097,0.024355640474969412,0.8894207030397006,-0.02534268772483661,0.0009450198933914554,-0.012458082507521673
huber,20260912,0.0009604702673250095,0.03099145474683319,0.475177304964539,-0.0346615761909607,0.004382319712062568,141,0.46396488362596977,0.5886524822695035,-0.027695424434207583,0.004145641667271185,0.10509815235814879,0.024448022036754342,0.8958008892792813,-0.02912363372158544,0.000949200462666087,-0.011733631994991334
