history,cutoff,method,row_index,date,state,family,component,fit_eligible,validation_accepted,gate_reason,year,probability,annual_probability,actual_up,case,changed_probability
weekly_state_validated,2025-12-31,learned_market,3630,2026-01-09,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.5247528297004517,0.5247528297004517,0,stable_wrong,False
weekly_state_validated,2025-12-31,learned_market,3635,2026-01-16,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.5358343724082923,0.5358343724082923,0,stable_wrong,False
weekly_state_validated,2025-12-31,learned_market,3640,2026-01-23,negative_low,state,negative_low,False,False,annual_reset,2026,0.4292369877583089,0.4292369877583089,0,stable_correct,False
weekly_state_validated,2025-12-31,learned_market,3645,2026-01-30,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.4591640849676522,0.4591640849676522,1,stable_wrong,False
weekly_state_validated,2025-12-31,learned_market,3650,2026-02-06,negative_low,state,negative_low,False,False,annual_reset,2026,0.5097015271695778,0.5097015271695778,1,stable_correct,False
weekly_state_validated,2025-12-31,learned_market,3655,2026-02-13,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.4571590483811076,0.4571590483811076,0,stable_correct,False
weekly_state_validated,2025-12-31,learned_market,3659,2026-02-27,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.5114368929840101,0.5114368929840101,0,stable_wrong,False
weekly_state_validated,2025-12-31,learned_market,3664,2026-03-06,nonnegative_high,state,nonnegative_high,False,False,annual_reset,2026,0.5049060459412255,0.5049060459412255,1,stable_correct,False
weekly_state_validated,2025-12-31,learned_market,3669,2026-03-13,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.45966722009852146,0.45966722009852146,0,stable_correct,False
weekly_state_validated,2025-12-31,learned_market,3674,2026-03-20,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.4489633359737127,0.4489633359737127,0,stable_correct,False
weekly_state_validated,2025-12-31,learned_market,3679,2026-03-27,negative_high,state,negative_high,False,False,annual_reset,2026,0.4655463624095211,0.4655463624095211,0,stable_correct,False
weekly_state_ungated,2025-12-31,learned_market,3630,2026-01-09,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.5247528297004517,0.5247528297004517,0,stable_wrong,False
weekly_state_ungated,2025-12-31,learned_market,3635,2026-01-16,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.5358343724082923,0.5358343724082923,0,stable_wrong,False
weekly_state_ungated,2025-12-31,learned_market,3640,2026-01-23,negative_low,state,negative_low,False,False,annual_reset,2026,0.4292369877583089,0.4292369877583089,0,stable_correct,False
weekly_state_ungated,2025-12-31,learned_market,3645,2026-01-30,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.4591640849676522,0.4591640849676522,1,stable_wrong,False
weekly_state_ungated,2025-12-31,learned_market,3650,2026-02-06,negative_low,state,negative_low,False,False,annual_reset,2026,0.5097015271695778,0.5097015271695778,1,stable_correct,False
weekly_state_ungated,2025-12-31,learned_market,3655,2026-02-13,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.4571590483811076,0.4571590483811076,0,stable_correct,False
weekly_state_ungated,2025-12-31,learned_market,3659,2026-02-27,nonnegative_low,state,nonnegative_low,False,False,annual_reset,2026,0.5114368929840101,0.5114368929840101,0,stable_wrong,False
weekly_state_ungated,2025-12-31,learned_market,3664,2026-03-06,nonnegative_high,state,nonnegative_high,False,False,annual_reset,2026,0.5049060459412255,0.5049060459412255,1,stable_correct,False
