period,history,method,n,fit_eligible_weeks,validation_accepted_weeks,changed_probability_weeks,regressions,recoveries
extension_2021_2023,weekly_global_ungated,learned_market,147,62,24,62,3,5
extension_2021_2023,weekly_global_ungated,learned_order_extension,147,62,24,62,3,8
extension_2021_2023,weekly_global_ungated,learned_order_offset,147,62,24,62,3,8
extension_2021_2023,weekly_global_ungated,learned_vol_interaction,147,62,24,62,4,3
extension_2021_2023,weekly_global_validated,learned_market,147,62,24,24,3,3
extension_2021_2023,weekly_global_validated,learned_order_extension,147,62,24,24,3,2
extension_2021_2023,weekly_global_validated,learned_order_offset,147,62,24,24,3,2
extension_2021_2023,weekly_global_validated,learned_vol_interaction,147,62,24,24,3,1
extension_2021_2023,weekly_state_ungated,learned_market,147,42,12,42,0,4
extension_2021_2023,weekly_state_ungated,learned_order_extension,147,42,12,42,2,4
extension_2021_2023,weekly_state_ungated,learned_order_offset,147,42,12,42,2,4
extension_2021_2023,weekly_state_ungated,learned_vol_interaction,147,42,12,42,3,3
extension_2021_2023,weekly_state_validated,learned_market,147,42,12,12,0,2
extension_2021_2023,weekly_state_validated,learned_order_extension,147,42,12,12,0,1
extension_2021_2023,weekly_state_validated,learned_order_offset,147,42,12,12,0,1
extension_2021_2023,weekly_state_validated,learned_vol_interaction,147,42,12,12,0,1
recent_2024_2026,weekly_global_ungated,learned_market,125,91,21,91,8,8
recent_2024_2026,weekly_global_ungated,learned_order_extension,125,91,12,91,11,6
recent_2024_2026,weekly_global_ungated,learned_order_offset,125,91,12,91,10,6
recent_2024_2026,weekly_global_ungated,learned_vol_interaction,125,91,33,91,6,7
recent_2024_2026,weekly_global_validated,learned_market,125,91,21,21,5,2
recent_2024_2026,weekly_global_validated,learned_order_extension,125,91,12,12,1,0
recent_2024_2026,weekly_global_validated,learned_order_offset,125,91,12,12,0,0
recent_2024_2026,weekly_global_validated,learned_vol_interaction,125,91,33,33,4,2
recent_2024_2026,weekly_state_ungated,learned_market,125,62,6,62,3,2
recent_2024_2026,weekly_state_ungated,learned_order_extension,125,62,3,62,6,2
recent_2024_2026,weekly_state_ungated,learned_order_offset,125,62,3,62,6,2
recent_2024_2026,weekly_state_ungated,learned_vol_interaction,125,62,6,62,2,4
recent_2024_2026,weekly_state_validated,learned_market,125,62,6,6,1,0
recent_2024_2026,weekly_state_validated,learned_order_extension,125,62,3,3,0,1
recent_2024_2026,weekly_state_validated,learned_order_offset,125,62,3,3,0,1
recent_2024_2026,weekly_state_validated,learned_vol_interaction,125,62,6,6,0,1
pooled_2021_2026,weekly_global_ungated,learned_market,272,153,45,153,11,13
pooled_2021_2026,weekly_global_ungated,learned_order_extension,272,153,36,153,14,14
pooled_2021_2026,weekly_global_ungated,learned_order_offset,272,153,36,153,13,14
pooled_2021_2026,weekly_global_ungated,learned_vol_interaction,272,153,57,153,10,10
pooled_2021_2026,weekly_global_validated,learned_market,272,153,45,45,8,5
pooled_2021_2026,weekly_global_validated,learned_order_extension,272,153,36,36,4,2
pooled_2021_2026,weekly_global_validated,learned_order_offset,272,153,36,36,3,2
pooled_2021_2026,weekly_global_validated,learned_vol_interaction,272,153,57,57,7,3
pooled_2021_2026,weekly_state_ungated,learned_market,272,104,18,104,3,6
pooled_2021_2026,weekly_state_ungated,learned_order_extension,272,104,15,104,8,6
pooled_2021_2026,weekly_state_ungated,learned_order_offset,272,104,15,104,8,6
pooled_2021_2026,weekly_state_ungated,learned_vol_interaction,272,104,18,104,5,7
pooled_2021_2026,weekly_state_validated,learned_market,272,104,18,18,1,2
pooled_2021_2026,weekly_state_validated,learned_order_extension,272,104,15,15,0,2
pooled_2021_2026,weekly_state_validated,learned_order_offset,272,104,15,15,0,2
pooled_2021_2026,weekly_state_validated,learned_vol_interaction,272,104,18,18,0,2
year_2021,weekly_global_ungated,learned_market,50,0,0,0,0,0
year_2021,weekly_global_ungated,learned_order_extension,50,0,0,0,0,0
year_2021,weekly_global_ungated,learned_order_offset,50,0,0,0,0,0
year_2021,weekly_global_ungated,learned_vol_interaction,50,0,0,0,0,0
year_2021,weekly_global_validated,learned_market,50,0,0,0,0,0
year_2021,weekly_global_validated,learned_order_extension,50,0,0,0,0,0
year_2021,weekly_global_validated,learned_order_offset,50,0,0,0,0,0
year_2021,weekly_global_validated,learned_vol_interaction,50,0,0,0,0,0
year_2021,weekly_state_ungated,learned_market,50,0,0,0,0,0
year_2021,weekly_state_ungated,learned_order_extension,50,0,0,0,0,0
year_2021,weekly_state_ungated,learned_order_offset,50,0,0,0,0,0
year_2021,weekly_state_ungated,learned_vol_interaction,50,0,0,0,0,0
year_2021,weekly_state_validated,learned_market,50,0,0,0,0,0
year_2021,weekly_state_validated,learned_order_extension,50,0,0,0,0,0
year_2021,weekly_state_validated,learned_order_offset,50,0,0,0,0,0
year_2021,weekly_state_validated,learned_vol_interaction,50,0,0,0,0,0
year_2022,weekly_global_ungated,learned_market,49,26,12,26,3,2
year_2022,weekly_global_ungated,learned_order_extension,49,26,12,26,3,2
year_2022,weekly_global_ungated,learned_order_offset,49,26,12,26,3,2
year_2022,weekly_global_ungated,learned_vol_interaction,49,26,12,26,3,0
year_2022,weekly_global_validated,learned_market,49,26,12,12,3,1
year_2022,weekly_global_validated,learned_order_extension,49,26,12,12,3,1
year_2022,weekly_global_validated,learned_order_offset,49,26,12,12,3,1
year_2022,weekly_global_validated,learned_vol_interaction,49,26,12,12,3,0
year_2022,weekly_state_ungated,learned_market,49,15,0,15,0,1
year_2022,weekly_state_ungated,learned_order_extension,49,15,0,15,2,1
year_2022,weekly_state_ungated,learned_order_offset,49,15,0,15,2,1
year_2022,weekly_state_ungated,learned_vol_interaction,49,15,0,15,2,0
year_2022,weekly_state_validated,learned_market,49,15,0,0,0,0
year_2022,weekly_state_validated,learned_order_extension,49,15,0,0,0,0
year_2022,weekly_state_validated,learned_order_offset,49,15,0,0,0,0
year_2022,weekly_state_validated,learned_vol_interaction,49,15,0,0,0,0
year_2023,weekly_global_ungated,learned_market,48,36,12,36,0,3
year_2023,weekly_global_ungated,learned_order_extension,48,36,12,36,0,6
year_2023,weekly_global_ungated,learned_order_offset,48,36,12,36,0,6
year_2023,weekly_global_ungated,learned_vol_interaction,48,36,12,36,1,3
year_2023,weekly_global_validated,learned_market,48,36,12,12,0,2
year_2023,weekly_global_validated,learned_order_extension,48,36,12,12,0,1
year_2023,weekly_global_validated,learned_order_offset,48,36,12,12,0,1
year_2023,weekly_global_validated,learned_vol_interaction,48,36,12,12,0,1
year_2023,weekly_state_ungated,learned_market,48,27,12,27,0,3
year_2023,weekly_state_ungated,learned_order_extension,48,27,12,27,0,3
year_2023,weekly_state_ungated,learned_order_offset,48,27,12,27,0,3
year_2023,weekly_state_ungated,learned_vol_interaction,48,27,12,27,1,3
year_2023,weekly_state_validated,learned_market,48,27,12,12,0,2
year_2023,weekly_state_validated,learned_order_extension,48,27,12,12,0,1
year_2023,weekly_state_validated,learned_order_offset,48,27,12,12,0,1
year_2023,weekly_state_validated,learned_vol_interaction,48,27,12,12,0,1
year_2024,weekly_global_ungated,learned_market,47,36,13,36,4,3
year_2024,weekly_global_ungated,learned_order_extension,47,36,12,36,3,2
year_2024,weekly_global_ungated,learned_order_offset,47,36,12,36,2,2
year_2024,weekly_global_ungated,learned_vol_interaction,47,36,25,36,3,3
year_2024,weekly_global_validated,learned_market,47,36,13,13,2,1
year_2024,weekly_global_validated,learned_order_extension,47,36,12,12,1,0
year_2024,weekly_global_validated,learned_order_offset,47,36,12,12,0,0
year_2024,weekly_global_validated,learned_vol_interaction,47,36,25,25,3,2
year_2024,weekly_state_ungated,learned_market,47,25,4,25,2,1
year_2024,weekly_state_ungated,learned_order_extension,47,25,3,25,2,2
year_2024,weekly_state_ungated,learned_order_offset,47,25,3,25,2,2
year_2024,weekly_state_ungated,learned_vol_interaction,47,25,4,25,2,3
year_2024,weekly_state_validated,learned_market,47,25,4,4,0,0
year_2024,weekly_state_validated,learned_order_extension,47,25,3,3,0,1
year_2024,weekly_state_validated,learned_order_offset,47,25,3,3,0,1
year_2024,weekly_state_validated,learned_vol_interaction,47,25,4,4,0,1
year_2025,weekly_global_ungated,learned_market,48,36,0,36,0,0
year_2025,weekly_global_ungated,learned_order_extension,48,36,0,36,2,0
year_2025,weekly_global_ungated,learned_order_offset,48,36,0,36,2,0
year_2025,weekly_global_ungated,learned_vol_interaction,48,36,0,36,1,0
year_2025,weekly_global_validated,learned_market,48,36,0,0,0,0
year_2025,weekly_global_validated,learned_order_extension,48,36,0,0,0,0
year_2025,weekly_global_validated,learned_order_offset,48,36,0,0,0,0
year_2025,weekly_global_validated,learned_vol_interaction,48,36,0,0,0,0
year_2025,weekly_state_ungated,learned_market,48,27,0,27,0,0
year_2025,weekly_state_ungated,learned_order_extension,48,27,0,27,1,0
year_2025,weekly_state_ungated,learned_order_offset,48,27,0,27,1,0
year_2025,weekly_state_ungated,learned_vol_interaction,48,27,0,27,0,0
year_2025,weekly_state_validated,learned_market,48,27,0,0,0,0
year_2025,weekly_state_validated,learned_order_extension,48,27,0,0,0,0
year_2025,weekly_state_validated,learned_order_offset,48,27,0,0,0,0
year_2025,weekly_state_validated,learned_vol_interaction,48,27,0,0,0,0
