period,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,annual_net_quarter_head,learned_market,147,0.4421768707482993,0.5578231292517006,65,0.46091081593927896,0.6258503401360545,0.4217687074829932,36,29,56,26,0.4459203036053131,0.27537589341751856,0.7458659443595895,0.5369810368039053,0.09595850092527392,0.11521232932091208,0.0
extension_2021_2023,annual_net_quarter_head,learned_order_extension,147,0.4421768707482993,0.5578231292517006,65,0.4674573055028463,0.6666666666666666,0.4217687074829932,39,26,59,23,0.47229601518026565,0.2707258508942985,0.7365368942195606,0.5374833837679147,0.09816527276246335,0.11571467628492149,0.0
extension_2021_2023,annual_net_quarter_head,learned_order_offset,147,0.43537414965986393,0.564625850340136,64,0.4615749525616698,0.673469387755102,0.4217687074829932,39,25,60,23,0.4715370018975332,0.2707475415103204,0.7365739100205506,0.5376218162705062,0.09777139651580666,0.11585310878751298,0.0
extension_2021_2023,annual_net_quarter_head,learned_vol_interaction,147,0.4557823129251701,0.54421768707483,67,0.481404174573055,0.6666666666666666,0.4217687074829932,40,27,58,22,0.45654648956356736,0.27566203513195864,0.7467189285090232,0.5396851081260023,0.10039339000609608,0.11791640064300912,0.0
extension_2021_2023,annual_net_quarter_head,native_mse,147,0.4965986394557823,0.5034013605442177,73,0.5101518026565465,0.5850340136054422,0.4217687074829932,37,36,49,25,0.4810246679316888,,,,,,
extension_2021_2023,annual_net_quarter_head,training_frequency,147,0.4217687074829932,0.5782312925170068,62,0.5,1.0,0.4217687074829932,62,0,85,0,0.4980075901328273,0.25589051685560005,0.704963294404203,0.5304870837535175,0.020312045296309606,0.10871837627052428,0.0
extension_2021_2023,annual_quarter_half,learned_market,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.4817836812144213,0.26916410449296796,0.7337650013127958,0.5350976207127758,0.09544353439761952,0.11332891322978256,0.0
extension_2021_2023,annual_quarter_half,learned_order_extension,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.48956356736242884,0.26885186295680813,0.7334688928954857,0.5338108251966337,0.09911304511383033,0.11204211771364048,0.0
extension_2021_2023,annual_quarter_half,learned_order_offset,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.48842504743833015,0.2687849947586761,0.733285687903412,0.5338929371172275,0.0984733353960693,0.1121242296342343,0.0
extension_2021_2023,annual_quarter_half,learned_vol_interaction,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.4846299810246679,0.2694183088782162,0.734407720980171,0.5351634986517808,0.0969645801857895,0.11339479116878759,0.0
