cutoff,method,family,component,reason,accepted
2020-12-31,learned_market,state,negative_low,annual_reset,False
2020-12-31,learned_market,state,negative_high,annual_reset,False
2020-12-31,learned_market,state,nonnegative_low,annual_reset,False
2020-12-31,learned_market,state,nonnegative_high,annual_reset,False
2020-12-31,learned_market,global,all,annual_reset,False
2020-12-31,learned_vol_interaction,state,negative_low,annual_reset,False
2020-12-31,learned_vol_interaction,state,negative_high,annual_reset,False
2020-12-31,learned_vol_interaction,state,nonnegative_low,annual_reset,False
2020-12-31,learned_vol_interaction,state,nonnegative_high,annual_reset,False
2020-12-31,learned_vol_interaction,global,all,annual_reset,False
2020-12-31,learned_order_extension,state,negative_low,annual_reset,False
2020-12-31,learned_order_extension,state,negative_high,annual_reset,False
2020-12-31,learned_order_extension,state,nonnegative_low,annual_reset,False
2020-12-31,learned_order_extension,state,nonnegative_high,annual_reset,False
2020-12-31,learned_order_extension,global,all,annual_reset,False
2020-12-31,learned_order_offset,state,negative_low,annual_reset,False
2020-12-31,learned_order_offset,state,negative_high,annual_reset,False
2020-12-31,learned_order_offset,state,nonnegative_low,annual_reset,False
2020-12-31,learned_order_offset,state,nonnegative_high,annual_reset,False
2020-12-31,learned_order_offset,global,all,annual_reset,False
2021-03-31,learned_market,state,negative_low,insufficient_history,False
2021-03-31,learned_market,state,negative_high,insufficient_history,False
2021-03-31,learned_market,state,nonnegative_low,insufficient_history,False
2021-03-31,learned_market,state,nonnegative_high,insufficient_history,False
2021-03-31,learned_market,global,all,insufficient_history,False
2021-03-31,learned_vol_interaction,state,negative_low,insufficient_history,False
2021-03-31,learned_vol_interaction,state,negative_high,insufficient_history,False
2021-03-31,learned_vol_interaction,state,nonnegative_low,insufficient_history,False
2021-03-31,learned_vol_interaction,state,nonnegative_high,insufficient_history,False
2021-03-31,learned_vol_interaction,global,all,insufficient_history,False
2021-03-31,learned_order_extension,state,negative_low,insufficient_history,False
2021-03-31,learned_order_extension,state,negative_high,insufficient_history,False
2021-03-31,learned_order_extension,state,nonnegative_low,insufficient_history,False
2021-03-31,learned_order_extension,state,nonnegative_high,insufficient_history,False
2021-03-31,learned_order_extension,global,all,insufficient_history,False
2021-03-31,learned_order_offset,state,negative_low,insufficient_history,False
2021-03-31,learned_order_offset,state,negative_high,insufficient_history,False
2021-03-31,learned_order_offset,state,nonnegative_low,insufficient_history,False
2021-03-31,learned_order_offset,state,nonnegative_high,insufficient_history,False
2021-03-31,learned_order_offset,global,all,insufficient_history,False
2021-06-30,learned_market,state,negative_low,insufficient_history,False
2021-06-30,learned_market,state,negative_high,insufficient_history,False
2021-06-30,learned_market,state,nonnegative_low,insufficient_history,False
2021-06-30,learned_market,state,nonnegative_high,insufficient_history,False
2021-06-30,learned_market,global,all,insufficient_history,False
