history,cutoff,method,seed,row_index,date,state,family,component,fit_eligible,validation_accepted,gate_reason,offset,annual_probability,probability,actual_up
weekly_state_validated,2020-12-31,learned_market,20260910,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.5528369602637446,0.5528369602637446,0
weekly_state_validated,2020-12-31,learned_market,20260910,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.49674166213102977,0.49674166213102977,1
weekly_state_validated,2020-12-31,learned_market,20260910,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.3933637003220593,0.3933637003220593,0
weekly_state_validated,2020-12-31,learned_market,20260910,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.4313547922375263,0.4313547922375263,1
weekly_state_validated,2020-12-31,learned_market,20260910,2438,2021-02-05,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.40357928349119826,0.40357928349119826,1
weekly_state_validated,2020-12-31,learned_market,20260910,2443,2021-02-19,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.49513830982070434,0.49513830982070434,0
weekly_state_validated,2020-12-31,learned_market,20260910,2448,2021-02-26,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.43315180971386896,0.43315180971386896,0
weekly_state_validated,2020-12-31,learned_market,20260910,2453,2021-03-05,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.40131415281599914,0.40131415281599914,0
weekly_state_validated,2020-12-31,learned_market,20260910,2458,2021-03-12,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.47295990993929365,0.47295990993929365,0
weekly_state_validated,2020-12-31,learned_market,20260910,2463,2021-03-19,negative_high,state,negative_high,False,False,annual_reset,0.0,0.6783048076904669,0.6783048076904669,1
weekly_state_validated,2020-12-31,learned_market,20260910,2468,2021-03-26,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.6020041018019381,0.6020041018019381,1
weekly_state_ungated,2020-12-31,learned_market,20260910,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.5528369602637446,0.5528369602637446,0
weekly_state_ungated,2020-12-31,learned_market,20260910,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.49674166213102977,0.49674166213102977,1
weekly_state_ungated,2020-12-31,learned_market,20260910,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.3933637003220593,0.3933637003220593,0
weekly_state_ungated,2020-12-31,learned_market,20260910,2433,2021-01-29,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.4313547922375263,0.4313547922375263,1
weekly_state_ungated,2020-12-31,learned_market,20260910,2438,2021-02-05,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.40357928349119826,0.40357928349119826,1
weekly_state_ungated,2020-12-31,learned_market,20260910,2443,2021-02-19,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.49513830982070434,0.49513830982070434,0
weekly_state_ungated,2020-12-31,learned_market,20260910,2448,2021-02-26,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.43315180971386896,0.43315180971386896,0
weekly_state_ungated,2020-12-31,learned_market,20260910,2453,2021-03-05,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.40131415281599914,0.40131415281599914,0
weekly_state_ungated,2020-12-31,learned_market,20260910,2458,2021-03-12,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.47295990993929365,0.47295990993929365,0
weekly_state_ungated,2020-12-31,learned_market,20260910,2463,2021-03-19,negative_high,state,negative_high,False,False,annual_reset,0.0,0.6783048076904669,0.6783048076904669,1
weekly_state_ungated,2020-12-31,learned_market,20260910,2468,2021-03-26,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.6020041018019381,0.6020041018019381,1
weekly_global_validated,2020-12-31,learned_market,20260910,2418,2021-01-08,nonnegative_low,global,all,False,False,annual_reset,0.0,0.5528369602637446,0.5528369602637446,0
weekly_global_validated,2020-12-31,learned_market,20260910,2423,2021-01-15,nonnegative_high,global,all,False,False,annual_reset,0.0,0.49674166213102977,0.49674166213102977,1
weekly_global_validated,2020-12-31,learned_market,20260910,2428,2021-01-22,nonnegative_high,global,all,False,False,annual_reset,0.0,0.3933637003220593,0.3933637003220593,0
weekly_global_validated,2020-12-31,learned_market,20260910,2433,2021-01-29,nonnegative_high,global,all,False,False,annual_reset,0.0,0.4313547922375263,0.4313547922375263,1
weekly_global_validated,2020-12-31,learned_market,20260910,2438,2021-02-05,nonnegative_high,global,all,False,False,annual_reset,0.0,0.40357928349119826,0.40357928349119826,1
weekly_global_validated,2020-12-31,learned_market,20260910,2443,2021-02-19,nonnegative_high,global,all,False,False,annual_reset,0.0,0.49513830982070434,0.49513830982070434,0
weekly_global_validated,2020-12-31,learned_market,20260910,2448,2021-02-26,nonnegative_high,global,all,False,False,annual_reset,0.0,0.43315180971386896,0.43315180971386896,0
weekly_global_validated,2020-12-31,learned_market,20260910,2453,2021-03-05,nonnegative_high,global,all,False,False,annual_reset,0.0,0.40131415281599914,0.40131415281599914,0
weekly_global_validated,2020-12-31,learned_market,20260910,2458,2021-03-12,nonnegative_high,global,all,False,False,annual_reset,0.0,0.47295990993929365,0.47295990993929365,0
weekly_global_validated,2020-12-31,learned_market,20260910,2463,2021-03-19,negative_high,global,all,False,False,annual_reset,0.0,0.6783048076904669,0.6783048076904669,1
weekly_global_validated,2020-12-31,learned_market,20260910,2468,2021-03-26,nonnegative_high,global,all,False,False,annual_reset,0.0,0.6020041018019381,0.6020041018019381,1
weekly_global_ungated,2020-12-31,learned_market,20260910,2418,2021-01-08,nonnegative_low,global,all,False,False,annual_reset,0.0,0.5528369602637446,0.5528369602637446,0
weekly_global_ungated,2020-12-31,learned_market,20260910,2423,2021-01-15,nonnegative_high,global,all,False,False,annual_reset,0.0,0.49674166213102977,0.49674166213102977,1
weekly_global_ungated,2020-12-31,learned_market,20260910,2428,2021-01-22,nonnegative_high,global,all,False,False,annual_reset,0.0,0.3933637003220593,0.3933637003220593,0
weekly_global_ungated,2020-12-31,learned_market,20260910,2433,2021-01-29,nonnegative_high,global,all,False,False,annual_reset,0.0,0.4313547922375263,0.4313547922375263,1
weekly_global_ungated,2020-12-31,learned_market,20260910,2438,2021-02-05,nonnegative_high,global,all,False,False,annual_reset,0.0,0.40357928349119826,0.40357928349119826,1
weekly_global_ungated,2020-12-31,learned_market,20260910,2443,2021-02-19,nonnegative_high,global,all,False,False,annual_reset,0.0,0.49513830982070434,0.49513830982070434,0
weekly_global_ungated,2020-12-31,learned_market,20260910,2448,2021-02-26,nonnegative_high,global,all,False,False,annual_reset,0.0,0.43315180971386896,0.43315180971386896,0
weekly_global_ungated,2020-12-31,learned_market,20260910,2453,2021-03-05,nonnegative_high,global,all,False,False,annual_reset,0.0,0.40131415281599914,0.40131415281599914,0
weekly_global_ungated,2020-12-31,learned_market,20260910,2458,2021-03-12,nonnegative_high,global,all,False,False,annual_reset,0.0,0.47295990993929365,0.47295990993929365,0
weekly_global_ungated,2020-12-31,learned_market,20260910,2463,2021-03-19,negative_high,global,all,False,False,annual_reset,0.0,0.6783048076904669,0.6783048076904669,1
weekly_global_ungated,2020-12-31,learned_market,20260910,2468,2021-03-26,nonnegative_high,global,all,False,False,annual_reset,0.0,0.6020041018019381,0.6020041018019381,1
weekly_state_validated,2020-12-31,learned_market,20260911,2418,2021-01-08,nonnegative_low,state,nonnegative_low,False,False,annual_reset,0.0,0.47359422145655633,0.47359422145655633,0
weekly_state_validated,2020-12-31,learned_market,20260911,2423,2021-01-15,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.29529449998072343,0.29529449998072343,1
weekly_state_validated,2020-12-31,learned_market,20260911,2428,2021-01-22,nonnegative_high,state,nonnegative_high,False,False,annual_reset,0.0,0.47394332492431446,0.47394332492431446,0
