cutoff,fit_cutoff,mode,method,seed,family,component,fit_eligible,offset,status,n,up_n,lambda_sum,objective,gradient,hessian,kkt_violation,up_rate,annual_mean_probability,annual_log_loss,corrected_log_loss
2021-09-30,2021-06-24,insufficient_history,learned_market,20260911,state,negative_low,False,0.0,insufficient_history,2,1,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260911,state,negative_high,False,0.0,insufficient_history,8,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260911,state,nonnegative_low,False,0.0,insufficient_history,2,0,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260911,state,nonnegative_high,False,0.0,insufficient_history,10,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260911,global,all,False,0.0,insufficient_history,22,9,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260912,state,negative_low,False,0.0,insufficient_history,2,1,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260912,state,negative_high,False,0.0,insufficient_history,8,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260912,state,nonnegative_low,False,0.0,insufficient_history,2,0,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260912,state,nonnegative_high,False,0.0,insufficient_history,10,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_market,20260912,global,all,False,0.0,insufficient_history,22,9,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260910,state,negative_low,False,0.0,insufficient_history,2,1,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260910,state,negative_high,False,0.0,insufficient_history,8,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260910,state,nonnegative_low,False,0.0,insufficient_history,2,0,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260910,state,nonnegative_high,False,0.0,insufficient_history,10,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260910,global,all,False,0.0,insufficient_history,22,9,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260911,state,negative_low,False,0.0,insufficient_history,2,1,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260911,state,negative_high,False,0.0,insufficient_history,8,4,20.0,,,,,,,,
2021-09-30,2021-06-24,insufficient_history,learned_vol_interaction,20260911,state,nonnegative_low,False,0.0,insufficient_history,2,0,20.0,,,,,,,,
