cutoff,method,seed,family,component,coefficient_gap
2022-06-30,learned_market,20260910,state,negative_low,3.191891195797325e-16
2022-06-30,learned_market,20260910,state,negative_high,1.6653345369377348e-16
2022-06-30,learned_market,20260910,global,all,5.551115123125783e-17
2022-06-30,learned_market,20260911,state,negative_low,4.718447854656915e-16
2022-06-30,learned_market,20260911,state,negative_high,9.71445146547012e-17
2022-06-30,learned_market,20260911,global,all,0.0
2022-06-30,learned_market,20260912,state,negative_low,0.0
2022-06-30,learned_market,20260912,state,negative_high,1.3877787807814457e-16
2022-06-30,learned_market,20260912,global,all,2.7755575615628914e-17
2022-06-30,learned_vol_interaction,20260910,state,negative_low,4.718447854656915e-16
2022-06-30,learned_vol_interaction,20260910,state,negative_high,3.191891195797325e-16
2022-06-30,learned_vol_interaction,20260910,global,all,1.1102230246251565e-16
2022-06-30,learned_vol_interaction,20260911,state,negative_low,4.718447854656915e-16
2022-06-30,learned_vol_interaction,20260911,state,negative_high,6.938893903907228e-17
2022-06-30,learned_vol_interaction,20260911,global,all,5.551115123125783e-17
2022-06-30,learned_vol_interaction,20260912,state,negative_low,1.3877787807814457e-17
2022-06-30,learned_vol_interaction,20260912,state,negative_high,1.249000902703301e-16
2022-06-30,learned_vol_interaction,20260912,global,all,5.551115123125783e-17
2022-06-30,learned_order_extension,20260910,state,negative_low,3.608224830031759e-16
2022-06-30,learned_order_extension,20260910,state,negative_high,2.636779683484747e-16
2022-06-30,learned_order_extension,20260910,global,all,0.0
2022-06-30,learned_order_extension,20260911,state,negative_low,3.0531133177191805e-16
2022-06-30,learned_order_extension,20260911,state,negative_high,2.7755575615628914e-17
2022-06-30,learned_order_extension,20260911,global,all,1.1102230246251565e-16
2022-06-30,learned_order_extension,20260912,state,negative_low,0.0
2022-06-30,learned_order_extension,20260912,state,negative_high,1.249000902703301e-16
2022-06-30,learned_order_extension,20260912,global,all,0.0
2022-06-30,learned_order_offset,20260910,state,negative_low,3.0531133177191805e-16
2022-06-30,learned_order_offset,20260910,state,negative_high,2.7755575615628914e-16
2022-06-30,learned_order_offset,20260910,global,all,0.0
2022-06-30,learned_order_offset,20260911,state,negative_low,2.7755575615628914e-16
2022-06-30,learned_order_offset,20260911,state,negative_high,1.3877787807814457e-17
2022-06-30,learned_order_offset,20260911,global,all,0.0
2022-06-30,learned_order_offset,20260912,state,negative_low,6.938893903907228e-18
