date,csi300,chips980017
2016-08-18,3364.49,3800.0767
2016-08-19,3365.02,3786.2193
2016-08-22,3336.79,3745.6648
2016-08-23,3341.83,3719.699
2016-08-24,3329.86,3745.1863
2016-08-25,3308.97,3721.7111
2016-08-26,3307.09,3733.3376
2016-08-29,3307.78,3735.1044
2016-08-30,3311.99,3747.6025
2016-08-31,3327.79,3723.0747
2016-09-01,3301.58,3691.8558
2016-09-02,3314.11,3662.7875
2016-09-05,3319.68,3681.518
2016-09-06,3342.63,3759.7679
2016-09-07,3340.82,3733.3736
2016-09-08,3339.56,3745.2322
2016-09-09,3318.04,3713.3046
2016-09-12,3262.6,3600.6795
2016-09-13,3260.33,3697.1968
2016-09-14,3238.73,3675.1917
2016-09-19,3263.12,3700.416
2016-09-20,3257.4,3700.3724
2016-09-21,3266.64,3701.8863
2016-09-22,3291.12,3730.7794
2016-09-23,3275.67,3718.5891
2016-09-26,3220.28,3626.519
2016-09-27,3240.75,3634.487
2016-09-28,3230.89,3654.9857
2016-09-29,3244.39,3656.08
2016-09-30,3253.28,3672.344
2016-10-10,3293.87,3800.0613
2016-10-11,3306.56,3809.0337
2016-10-12,3300.01,3823.9437
2016-10-13,3302.65,3811.5504
2016-10-14,3305.85,3783.309
2016-10-17,3277.88,3735.5573
2016-10-18,3321.33,3801.3454
2016-10-19,3316.24,3791.5272
2016-10-20,3318.6,3846.1956
2016-10-21,3327.74,3814.0983
2016-10-24,3367.58,3846.9713
2016-10-25,3367.45,3874.0196
2016-10-26,3354.8,3858.2415
2016-10-27,3345.7,3819.833
2016-10-28,3340.13,3771.9189
2016-10-31,3336.28,3772.8484
2016-11-01,3359.05,3815.2356
2016-11-02,3333.35,3771.5416
2016-11-03,3365.08,3802.3096
2016-11-04,3354.17,3784.1154
2016-11-07,3356.59,3776.9141
2016-11-08,3371.12,3805.9351
2016-11-09,3353.05,3788.525
2016-11-10,3390.61,3832.876
2016-11-11,3417.22,3853.413
2016-11-14,3430.25,3873.0342
2016-11-15,3429.87,3905.3483
2016-11-16,3429.59,3884.9548
2016-11-17,3436.53,3841.3727
2016-11-18,3417.46,3840.7249
2016-11-21,3441.11,3856.1919
2016-11-22,3468.36,3871.4204
2016-11-23,3474.73,3839.9534
2016-11-24,3488.74,3804.1667
2016-11-25,3521.3,3813.9093
2016-11-28,3535.08,3782.0848
2016-11-29,3564.04,3754.984
2016-11-30,3538.0,3768.8652
2016-12-01,3565.04,3762.1168
2016-12-02,3528.95,3665.2437
2016-12-05,3469.41,3648.989
2016-12-06,3459.15,3654.1565
2016-12-07,3475.75,3689.7167
2016-12-08,3470.14,3664.1145
2016-12-09,3493.7,3640.0375
2016-12-12,3409.18,3441.3269
2016-12-13,3405.04,3459.5605
2016-12-14,3378.95,3424.5394
2016-12-15,3340.43,3460.5512
2016-12-16,3346.03,3485.7612
2016-12-19,3328.98,3461.8607
2016-12-20,3309.06,3461.0979
2016-12-21,3338.54,3491.6679
2016-12-22,3335.67,3483.0515
2016-12-23,3307.6,3463.5951
2016-12-26,3322.4,3491.3119
2016-12-27,3316.39,3480.3124
2016-12-28,3301.89,3471.3283
2016-12-29,3297.76,3446.6513
2016-12-30,3310.08,3452.1001
2017-01-03,3342.23,3483.7024
2017-01-04,3368.31,3518.6865
2017-01-05,3367.79,3528.7533
2017-01-06,3347.67,3476.8254
