Offsets frozen for 2020-12-31: annual_reset; validation labels not used.
Offsets frozen for 2021-03-31: insufficient_history; validation labels not used.
Offsets frozen for 2021-06-30: insufficient_history; validation labels not used.
Offsets frozen for 2021-09-30: insufficient_history; validation labels not used.
Offsets frozen for 2021-12-31: annual_reset; validation labels not used.
Offsets frozen for 2022-03-31: insufficient_history; validation labels not used.
Offsets frozen for 2022-06-30: ready; validation labels not used.
Offsets frozen for 2022-09-30: ready; validation labels not used.
Offsets frozen for 2022-12-31: annual_reset; validation labels not used.
Offsets frozen for 2023-03-31: ready; validation labels not used.
Offsets frozen for 2023-06-30: ready; validation labels not used.
Offsets frozen for 2023-09-30: ready; validation labels not used.
Offsets frozen for 2023-12-31: annual_reset; validation labels not used.
Offsets frozen for 2024-03-31: ready; validation labels not used.
Offsets frozen for 2024-06-30: ready; validation labels not used.
Offsets frozen for 2024-09-30: ready; validation labels not used.
Offsets frozen for 2024-12-31: annual_reset; validation labels not used.
Offsets frozen for 2025-03-31: ready; validation labels not used.
Offsets frozen for 2025-06-30: ready; validation labels not used.
Offsets frozen for 2025-09-30: ready; validation labels not used.
Offsets frozen for 2025-12-31: annual_reset; validation labels not used.
Offsets frozen for 2026-03-31: ready; validation labels not used.
Offsets frozen for 2026-06-30: ready; validation labels not used.
All training-only calibration parameters frozen.

EXIT_CODE=0
