window,method,date,net_return
development_full,ridge_target,2021-01-08,0.0
development_full,ridge_target,2021-01-15,0.0
development_full,ridge_target,2021-01-22,0.0
development_full,ridge_target,2021-01-29,0.026841121181291117
development_full,ridge_target,2021-02-05,0.050737903504088244
development_full,ridge_target,2021-02-19,-0.06849180106853148
development_full,ridge_target,2021-02-26,-0.016599712390406807
development_full,ridge_target,2021-03-05,-0.03465609014696813
development_full,ridge_target,2021-03-12,-0.021055018256022073
development_full,ridge_target,2021-03-19,0.008757287756569143
development_full,ridge_target,2021-03-26,0.025014547944880228
development_full,ridge_target,2021-04-02,-0.02928568118270436
development_full,ridge_target,2021-04-09,-0.012048983684040837
development_full,ridge_target,2021-04-16,0.03829325408091555
development_full,ridge_target,2021-04-23,-0.011207018591743667
development_full,ridge_target,2021-04-30,-0.019094688946418747
development_full,ridge_target,2021-05-07,0.022767442976422858
development_full,ridge_target,2021-05-14,0.004594051973389579
development_full,ridge_target,2021-05-21,0.03488550851267114
development_full,ridge_target,2021-05-28,-0.006240974186172421
development_full,ridge_target,2021-06-04,-0.01255087617717665
development_full,ridge_target,2021-06-11,-0.025001149742457707
development_full,ridge_target,2021-06-18,0.03253087111273567
development_full,ridge_target,2021-06-25,-0.0342297962734196
development_full,ridge_target,2021-07-02,0.006819373327184186
development_full,ridge_target,2021-07-09,-0.0010000000000000009
development_full,ridge_target,2021-07-16,0.0
development_full,ridge_target,2021-07-23,-0.05472031906475039
development_full,ridge_target,2021-07-30,0.01990481394504906
development_full,ridge_target,2021-08-06,0.00933692687096399
development_full,ridge_target,2021-08-13,-0.03204873660837304
development_full,ridge_target,2021-08-20,0.014504796210752735
development_full,ridge_target,2021-08-27,-0.0012316820816045126
development_full,ridge_target,2021-09-03,0.03423010662953985
development_full,ridge_target,2021-09-10,-0.04714416679815536
development_full,ridge_target,2021-09-17,0.02098630607894414
development_full,ridge_target,2021-09-24,0.01446154162004576
development_full,ridge_target,2021-10-08,-0.0038006269617850696
development_full,ridge_target,2021-10-15,0.003735898962114792
development_full,ridge_target,2021-10-22,-0.012704163209131814
development_full,ridge_target,2021-10-29,-0.0075807737801165676
development_full,ridge_target,2021-11-05,0.011001518234303953
development_full,ridge_target,2021-11-12,0.00020022842385514217
development_full,ridge_target,2021-11-19,-0.015398160310005848
development_full,ridge_target,2021-11-26,0.01855182873064587
development_full,ridge_target,2021-12-03,0.03678431100962842
development_full,ridge_target,2021-12-10,-0.03046156989559956
development_full,ridge_target,2021-12-17,-0.003408328723376264
development_full,ridge_target,2021-12-24,0.008098573650661356
development_full,ridge_target,2021-12-31,-0.029397052832000115
development_full,ridge_target,2022-01-07,-0.01734538872830238
development_full,ridge_target,2022-01-14,0.005324863177661676
development_full,ridge_target,2022-01-21,-0.0010000000000000009
development_full,ridge_target,2022-01-28,-0.01374114923101466
development_full,ridge_target,2022-02-11,0.014549877495403374
development_full,ridge_target,2022-02-18,-0.0010000000000000009
development_full,ridge_target,2022-02-25,-0.023156998426728692
development_full,ridge_target,2022-03-04,-0.04803787994227493
development_full,ridge_target,2022-03-11,0.007530336734814069
development_full,ridge_target,2022-03-18,-0.03534931100384575
development_full,ridge_target,2022-03-25,0.03148341907170038
development_full,ridge_target,2022-04-01,-0.01292373727056495
development_full,ridge_target,2022-04-08,-0.01209860625768644
