window,method,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
development_full,ridge_target,0,2021-01-11,2026-08-31,-0.04788539112598622,-0.008671015901407952,0.040609036384634055,-0.40806310602789153,0.794289897510981,48,1366
development_full,ridge_target,5,2021-01-11,2026-08-31,-0.07046969236290468,-0.012885628490966972,0.016380951897079315,-0.41454034118367034,0.794289897510981,48,1366
development_full,ridge_target,10,2021-01-11,2026-08-31,-0.09252919120364023,-0.017084418200827955,-0.007849921444397848,-0.42094988754111307,0.794289897510981,48,1366
development_full,ridge_target,20,2021-01-11,2026-08-31,-0.13512128188850203,-0.02543473495489712,-0.05630142082967786,-0.4335686035508768,0.794289897510981,48,1366
development_full,training_mean,0,2021-01-11,2026-08-31,-0.1711862128104904,-0.03277415065574596,-0.07801062709316563,-0.4666020496211638,1.0,2,1366
development_full,training_mean,5,2021-01-11,2026-08-31,-0.17201481939423235,-0.032945839784627284,-0.07892757856497594,-0.46660204962116236,1.0,2,1366
development_full,training_mean,10,2021-01-11,2026-08-31,-0.17284301157108228,-0.033117584323650195,-0.07984422904247555,-0.46660204962116425,1.0,2,1366
development_full,training_mean,20,2021-01-11,2026-08-31,-0.17449815270409885,-0.033461239814696175,-0.08167660213886653,-0.4666020496211635,1.0,2,1366
development_full,ridge_target_matched,0,2021-01-11,2026-08-31,-0.022790713642192983,-0.004083298964730697,0.04841999812383339,-0.2870714581206445,0.7064421669106882,66,1366
development_full,ridge_target_matched,5,2021-01-11,2026-08-31,-0.05452013750244711,-0.00990056499900005,0.008621934387762686,-0.29487263737141,0.7064421669106882,66,1366
development_full,ridge_target_matched,10,2021-01-11,2026-08-31,-0.08523443407045561,-0.01568673704293344,-0.031184555216023035,-0.3036564126003156,0.7064421669106882,66,1366
development_full,ridge_target_matched,20,2021-01-11,2026-08-31,-0.14374462570912383,-0.027166401556654285,-0.1107636257736497,-0.32426693184468314,0.7064421669106882,66,1366
development_full,ridge_cross,0,2021-01-11,2026-08-31,-0.029547298028898883,-0.005308890808403133,0.04149694680020666,-0.3087988394794403,0.6793557833089312,78,1366
development_full,ridge_cross,5,2021-01-11,2026-08-31,-0.06667552867871407,-0.012171729142729237,-0.0050053243221855,-0.32181090861899075,0.6793557833089312,78,1366
