window,method,n,accuracy,balanced_accuracy,actual_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,mean_forecast,forecast_std,mean_actual,mean_return_held,mean_return_unheld
development_full,ridge_target,272,0.5110294117647058,0.5282118055555556,0.47058823529411764,0.7904411764705882,0.026530356945509176,-0.008436941452191205,0.02704831875752397,0.00168064040351126,0.0022627922931145843,-0.0003503511593777765,0.00014015644373315081,-0.0022005114167260105
development_full,training_mean,272,0.47058823529411764,0.5,0.47058823529411764,1.0,0.026519636856028244,-0.007622150292717178,-0.09872972419038846,0.0015309281936226734,0.00034244957973655595,-0.0003503511593777765,-0.0003503511593777765,
development_full,ridge_target_matched,272,0.47058823529411764,0.4826388888888889,0.47058823529411764,0.7058823529411765,0.0266687574609243,-0.01898578061005507,-0.04124653930072285,0.0012173997722756899,0.0023894294430664123,-0.0003503511593777765,0.00024435454324835473,-0.0017776448456804917
development_full,ridge_cross,272,0.5220588235294118,0.5325520833333334,0.47058823529411764,0.6764705882352942,0.026505315369771555,-0.0065341451785461135,0.03071734149139344,0.001090373862662476,0.0026187065738948793,-0.0003503511593777765,0.0002011328624620147,-0.0015034541141337031
development_full,hgb_target,272,0.47794117647058826,0.4900173611111111,0.47058823529411764,0.7058823529411765,0.026721726742594782,-0.023037603963384168,-0.0005002630468465654,0.0014005644862919418,0.003611256564901403,-0.0003503511593777765,-0.0007914134250620219,0.0007081982782644129
development_full,hgb_target_matched,272,0.4632352941176471,0.4665798611111111,0.47058823529411764,0.5588235294117647,0.026979966784389752,-0.04290651775276122,-0.06529738378359784,0.0005192180308688308,0.003957440650633687,-0.0003503511593777765,-0.0018273699954899226,0.0015205393663642749
development_full,hgb_cross,272,0.45955882352941174,0.4717881944444444,0.47058823529411764,0.7095588235294118,0.02704333916661216,-0.04781157127384539,-0.054156107843271864,0.00174185360861771,0.004151771329771857,-0.0003503511593777765,-0.0010512020411274693,0.0013618541593271689
development_full,zero_return_cash,272,0.5294117647058824,0.5,0.47058823529411764,0.0,0.026419142650054128,0.0,,0.0,0.0,-0.0003503511593777765,,-0.0003503511593777765
development_full,buy_hold,272,0.47058823529411764,0.5,0.47058823529411764,1.0,0.02641914266331541,-1.0039145070805944e-09,,1e-09,0.0,-0.0003503511593777765,-0.0003503511593777765,
development_full,round2_frozen,272,0.5110294117647058,0.5282118055555556,0.47058823529411764,0.7904411764705882,0.026530356945509176,-0.008436941452191205,0.027048318757524014,0.0016806404035112567,0.0022627922931145817,-0.0003503511593777765,0.00014015644373315081,-0.0022005114167260105
