window,method,seed,n,accuracy,balanced_accuracy,actual_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,mean_forecast,forecast_std,mean_actual,mean_return_held,mean_return_unheld,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
post_pretrain_common,kronos_ohlc_diagnostic,20260910,103,0.5339805825242718,0.5235562310030395,0.5436893203883495,0.6213592233009708,0.02893860283879415,-0.0999091530234344,-0.007300790982526202,0.0033893371310050775,0.009073054952030883,0.003152720366304803,0.0045438278589751465,0.0008698773014098804,10,2024-07-08,2026-08-31,0.24236785573634756,0.10639268484936837,0.7671368131574705,-0.10512008038521237,0.6264367816091954,44,522
post_pretrain_common,kronos_ohlc_diagnostic,20260911,103,0.5631067961165048,0.5520516717325228,0.5436893203883495,0.6310679611650486,0.02955586261753688,-0.14733165382804292,-0.0557434522048061,0.0031599171487500625,0.009627619252528037,0.003152720366304803,0.0020231408996031677,0.005084895769873389,10,2024-07-08,2026-08-31,0.08518689417256464,0.03882133098990459,0.36153177161181116,-0.12817671728655533,0.6360153256704981,38,522
post_pretrain_common,kronos_ohlc_diagnostic,20260912,103,0.5048543689320388,0.4933510638297872,0.5436893203883495,0.6310679611650486,0.029607419119936168,-0.1513378978625446,-0.11925838802161348,0.0027821250199326687,0.008380506170082885,0.003152720366304803,-0.0010429028766049135,0.010329444334439844,10,2024-07-08,2026-08-31,-0.11214520782756843,-0.053907631802603384,-0.37498950173726175,-0.20388505563751969,0.6417624521072797,38,522
post_pretrain_common,kronos_ohlcv,20260910,103,0.47572815533980584,0.48879179331306993,0.5436893203883495,0.34951456310679613,0.03449068853889724,-0.5624474721563806,-0.03123568137146439,-0.006041279463334462,0.017968642966545274,0.003152720366304803,-0.0002641607039302944,0.004988656463744557,10,2024-07-08,2026-08-31,-0.05087774762823871,-0.0240336510828294,-0.1804529044130741,-0.1554219871368614,0.3486590038314176,36,522
post_pretrain_common,kronos_ohlcv,20260911,103,0.5145631067961165,0.5296352583586627,0.5436893203883495,0.3300970873786408,0.03255542785566247,-0.3920297338029659,0.0667572696783182,-0.0057599635211294945,0.017072475165775754,0.003152720366304803,0.0030824066227610495,0.003187367718195929,10,2024-07-08,2026-08-31,0.06278832899186093,0.02877648037123759,0.32977177559792287,-0.11442110399827676,0.3314176245210728,38,522
post_pretrain_common,kronos_ohlcv,20260912,103,0.5339805825242718,0.5492021276595744,0.5436893203883495,0.3300970873786408,0.033659558830578105,-0.4880534670927865,0.005039953520093334,-0.005259214382241967,0.01776738053376652,0.003152720366304803,0.005281359567151303,0.0021038256876268185,10,2024-07-08,2026-08-31,0.13989571116512534,0.06289980588611299,0.6643531563532878,-0.08826552652958541,0.32567049808429116,42,522
post_release_sensitivity,kronos_ohlc_diagnostic,20260910,48,0.5833333333333334,0.5756521739130435,0.5208333333333334,0.6875,0.02045843691619848,-0.19756813284212837,0.0927693450594016,0.005210245265666148,0.009065604803613524,0.0008511736882373192,0.0014663825206426056,-0.0005022857430543132,10,2025-08-25,2026-08-31,0.023802909223962665,0.023429708073484212,0.24332845443321277,-0.0935731364512491,0.6869918699186992,18,246
post_release_sensitivity,kronos_ohlc_diagnostic,20260911,48,0.6041666666666666,0.5939130434782609,0.5208333333333334,0.75,0.020895599492805905,-0.2492950046496396,0.01905122260036773,0.006221224952437714,0.00804615694630833,0.0008511736882373192,0.0010138325024386366,0.0003631972456333672,10,2025-08-25,2026-08-31,0.0138403033168768,0.01362434265945045,0.16924185044550155,-0.12817671728655544,0.7520325203252033,16,246
post_release_sensitivity,kronos_ohlc_diagnostic,20260912,48,0.6041666666666666,0.5939130434782609,0.5208333333333334,0.75,0.020203101708584914,-0.1678617452304827,0.05598232328123023,0.005506770561555339,0.007275289441102828,0.0008511736882373192,0.001486860052149953,-0.0010558854035005829,10,2025-08-25,2026-08-31,0.030950428369013183,0.030463505582496886,0.2851750572143765,-0.09862065003575615,0.7642276422764228,16,246
post_release_sensitivity,kronos_ohlcv,20260910,48,0.5208333333333334,0.5260869565217392,0.5208333333333334,0.375,0.030004245664136543,-1.5758511187737243,-0.11642516476752042,-0.006015883939561946,0.020387893053142498,0.0008511736882373192,-0.00019016065924699435,0.001475974296727907,10,2025-08-25,2026-08-31,-0.02249725029751737,-0.022152464330645327,-0.16644273183907884,-0.08146825886508702,0.3617886178861789,16,246
post_release_sensitivity,kronos_ohlcv,20260911,48,0.5208333333333334,0.5243478260869565,0.5208333333333334,0.4166666666666667,0.026863533800335716,-1.0648172335196828,0.11143726184428188,-0.006312063091040262,0.02013371089933656,0.0008511736882373192,0.002313532074223995,-0.00019336801603887826,10,2025-08-25,2026-08-31,0.027555992087335168,0.02712317152804422,0.3125390898878384,-0.07984008655275099,0.4024390243902439,16,246
post_release_sensitivity,kronos_ohlcv,20260912,48,0.5,0.5060869565217392,0.5208333333333334,0.3541666666666667,0.02941096614524124,-1.4749926575319505,-0.07926161131569122,-0.004472027059941032,0.020657640247753094,0.0008511736882373192,0.0013805185978940887,0.0005608877700384454,10,2025-08-25,2026-08-31,0.0007363658222134806,0.000724949008578335,0.056419924441516896,-0.07573259436630153,0.34146341463414637,20,246
