cutoff,previous_cutoff,quarterly_cutoff,method,state,mode,extra_month,accepted,previous_accepted,quarterly_accepted,transition,reason,training_n,validation_n,future_n,future_brier_vs_annual,future_brier_vs_quarter,future_recoveries_vs_quarter,future_regressions_vs_quarter
2021-02-28,2021-01-31,2020-12-31,learned_order_extension,nonnegative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,0,,,0,0
2021-02-28,2021-01-31,2020-12-31,learned_order_extension,nonnegative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,4,3,0.0,0.0,0,0
2021-02-28,2021-01-31,2020-12-31,learned_order_offset,negative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-02-28,2021-01-31,2020-12-31,learned_order_offset,negative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,1,0.0,0.0,0,0
2021-02-28,2021-01-31,2020-12-31,learned_order_offset,nonnegative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,0,,,0,0
2021-02-28,2021-01-31,2020-12-31,learned_order_offset,nonnegative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,4,3,0.0,0.0,0,0
2021-03-31,2021-02-28,2021-03-31,learned_market,negative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,0,1,0.0,0.0,0,0
2021-03-31,2021-02-28,2021-03-31,learned_market,negative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,1,4,0.0,0.0,0,0
2021-03-31,2021-02-28,2021-03-31,learned_market,nonnegative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,1,0,,,0,0
2021-03-31,2021-02-28,2021-03-31,learned_market,nonnegative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,8,0,,,0,0
2021-03-31,2021-02-28,2021-03-31,learned_vol_interaction,negative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,0,1,0.0,0.0,0,0
2021-03-31,2021-02-28,2021-03-31,learned_vol_interaction,negative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,1,4,0.0,0.0,0,0
2021-03-31,2021-02-28,2021-03-31,learned_vol_interaction,nonnegative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,0,1,0,,,0,0
