cutoff,fit_cutoff,mode,available,train_n,validation_n,train_max_maturity,validation_first,validation_last,validation_max_maturity,purged_between_n
2025-10-31,2025-07-17,ready,232,52,13,2025-07-14,2025-07-18,2025-10-17,2025-10-27,1
2025-11-30,2025-08-14,ready,236,52,13,2025-08-11,2025-08-15,2025-11-14,2025-11-24,1
2025-12-31,2025-09-18,annual_reset,241,52,13,2025-09-15,2025-09-19,2025-12-19,2025-12-29,1
2026-01-31,2025-10-16,q1_guard,244,52,13,2025-10-13,2025-10-17,2026-01-16,2026-01-26,1
2026-02-28,2025-11-06,q1_guard,247,52,13,2025-11-03,2025-11-07,2026-02-06,2026-02-24,1
2026-03-31,2025-12-11,ready,252,52,13,2025-12-08,2025-12-12,2026-03-20,2026-03-30,1
2026-04-30,2026-01-15,ready,256,52,13,2026-01-12,2026-01-16,2026-04-17,2026-04-27,1
2026-05-31,2026-02-05,ready,259,52,13,2026-02-02,2026-02-06,2026-05-15,2026-05-25,1
2026-06-30,2026-03-12,ready,263,52,13,2026-03-09,2026-03-13,2026-06-12,2026-06-29,1
2026-07-31,2026-04-09,ready,267,52,13,2026-04-07,2026-04-10,2026-07-17,2026-07-27,1
