period,history,reference_history,method,relation,n,changed_vs_quarter,monthly_active_weeks,quarterly_active_weeks,monthly_correct,quarterly_correct,recoveries,regressions,brier_difference
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_market,all,147,13,16,12,70,70,0,0,0.00020821744827837413
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_market,both_active,12,9,12,12,7,7,0,0,0.0005772361721276958
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_market,monthly_only,4,4,4,0,3,3,0,0,0.005920282707847162
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_market,neither,131,0,0,0,60,60,0,0,0.0
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,all,147,12,15,12,70,72,0,2,0.00018437910928810296
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,both_active,12,9,12,12,6,6,0,0,0.0005661786541833284
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,monthly_only,3,3,3,0,1,3,0,2,0.006769861738383731
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,neither,132,0,0,0,63,63,0,0,0.0
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,all,147,13,16,12,67,69,0,2,0.00022076747147397571
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,both_active,12,9,12,12,6,6,0,0,0.0005282256179172084
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,monthly_only,4,4,4,0,1,3,0,2,0.0065285277229169825
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,neither,131,0,0,0,60,60,0,0,0.0
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,all,147,13,16,12,67,69,0,2,0.0002184485881970532
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,both_active,12,9,12,12,6,6,0,0,0.0005176650970762225
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,monthly_only,4,4,4,0,1,3,0,2,0.006474990325013037
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
extension_2021_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,neither,131,0,0,0,60,60,0,0,0.0
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_market,all,147,31,39,42,71,72,0,1,0.0009033940501719757
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_market,both_active,35,20,35,35,20,20,0,0,0.0005775959796964023
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_market,monthly_only,4,4,4,0,0,0,0,0,0.007194211230665951
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_market,quarterly_only,7,7,0,7,3,4,0,1,0.011972317309034647
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_market,neither,101,0,0,0,48,48,0,0,0.0
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,all,147,31,39,42,69,71,0,2,0.0009501098522942622
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,both_active,35,20,35,35,17,17,0,0,0.0005985714217499081
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,monthly_only,4,4,4,0,0,0,0,0,0.007359953118019194
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,quarterly_only,7,7,0,7,2,4,0,2,0.012753762293418998
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,neither,101,0,0,0,50,50,0,0,0.0
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_extension,all,147,31,39,42,68,70,0,2,0.0009789526434402047
