cutoff,validation_year,rule,training_n,validation_n,steps,batch_sizes,minimum_batch,maximum_batch,final_batch,loss_scale_min,loss_scale_max
2017-12-31,2018,legacy,1678,49,14,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 14]",14,128,14,1.0,1.0
2017-12-31,2018,balanced,1678,49,14,"[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 119, 119]",119,120,119,0.9928486293206198,1.0011918951132301
2018-12-31,2019,legacy,1921,46,16,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 1]",1,128,1,1.0,1.0
2018-12-31,2019,balanced,1921,46,16,"[121, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",120,121,120,0.9994794377928162,1.0078084331077564
2019-12-31,2020,legacy,2165,46,17,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 117]",117,128,117,1.0,1.0
2019-12-31,2020,balanced,2165,46,17,"[128, 128, 128, 128, 128, 128, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127]",127,128,127,0.997228637413395,1.005080831408776
