rule,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_relative_change
legacy,0.0009241108443090148,0.030399191507489386,0.5957446808510638,0.1237952411233704,0.006587837813449706,141,0.5819722335647203,0.624113475177305,0.0112088643707694,0.006102895770451835,0.14180474637322815,0.0009630703673001677,0.04215892847820024
balanced,0.0009554184861658753,0.030909844486277756,0.5602836879432624,0.0526295490982595,0.00678541182158311,141,0.5590036749693752,0.5177304964539007,-0.022290059417605423,0.006423986876219019,0.10369283550203579,0.0009830228992051726,0.028892483701121074
