rule,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_relative_change
legacy,20260910,0.0009339421362610295,0.030560466885521064,0.574468085106383,0.1529417186393175,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292274337,0.008755176563622381,0.18183620241988685,0.0009983531353339405,0.06896679844725262
legacy,20260911,0.0009748452506210802,0.031222511920424984,0.5531914893617021,0.013042073858408627,0.0070216694815943,141,0.5457329522253982,0.5673758865248227,-0.04307654039611486,0.006893030109812152,0.03630504500575349,0.0009857524647905944,0.011188662162086915
legacy,20260912,0.0009515623200011166,0.03084740378056339,0.5815602836879432,0.1028182419489403,0.008507052451696476,141,0.5623723968966925,0.6666666666666666,-0.018163992783166272,0.008234382331034441,0.06307714159982658,0.0009931226757321499,0.04367591576239005
balanced,20260910,0.0009477232897355852,0.030785114742933557,0.6028368794326241,0.1356051341350006,0.00999891005011953,141,0.5952429563086974,0.574468085106383,-0.014056261422424443,0.009717935979258194,0.05541130338462308,0.0010363472312829376,0.09351246561860749
balanced,20260911,0.000980643548363508,0.03131522869728893,0.5815602836879432,0.0063168842393408345,0.007279665864246893,141,0.5745202123315639,0.5673758865248227,-0.04928067212420695,0.006911200158185729,0.09866953505165066,0.0009784469875927114,-0.0022399176280334387
balanced,20260912,0.0010338606452684382,0.0321537034456132,0.46808510638297873,-0.03784511973857158,0.008734253017335358,141,0.4715189873417721,0.46808510638297873,-0.10622253576272178,0.008207412423975203,0.11699944300496645,0.0010302465036097735,-0.003495772544593101
