rule,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_relative_change
legacy,2018,0.0009424487150258133,0.030699327598920034,0.6530612244897959,0.21093203889644357,0.00379155083387412,49,0.6845238095238095,0.6938775510204082,0.030959823922230734,0.00379155083387412,0.0,0.0009250761211127172,-0.01843346341940766
legacy,2019,0.0006540511204060153,0.02557442316858809,0.5652173913043478,0.3622500329221676,0.007319686302999174,46,0.59375,0.43478260869565216,0.07104743442346795,0.007319686302999174,0.0,0.0007104309425042428,0.08620094108733967
legacy,2020,0.0011746367494049896,0.03427297403793534,0.5652173913043478,-0.03373137867566068,0.0067285832698688085,46,0.5138888888888888,0.7391304347826086,-0.044446212093575355,0.0067285832698688085,0.0,0.0012561819239044637,0.069421610162274
balanced,2018,0.0009435469586943441,0.030717209487424867,0.6326530612244898,0.18474101657640887,0.006034491488469625,49,0.6428571428571428,0.5510204081632653,0.029830592993309257,0.006034491488469625,0.0,0.0009485015872911501,0.005251067316948355
balanced,2019,0.0007592617376896374,0.02755470445658304,0.5,0.0852967137150303,0.0057542175319600436,46,0.5583333333333333,0.32608695652173914,-0.0783838100193821,0.0057542175319600436,-2.220446049250313e-16,0.000745898045266464,-0.017600903298298443
balanced,2020,0.0011642209921661358,0.034120682762309076,0.5434782608695652,0.018220333360758442,0.00738872004575815,46,0.5059523809523809,0.6739130434782609,-0.03518488241040507,0.00738872004575815,0.0,0.0012569204549653394,0.07962359674234021
