cutoff,seed,rule,step,batch_n,loss_scale,raw_gradient_norm,loss
2017-12-31,20260910,legacy,1,128,1.0,1.0462191391641527,1.049576759338379
2017-12-31,20260910,legacy,2,128,1.0,1.0231194594229769,1.0125393867492676
2017-12-31,20260910,legacy,3,128,1.0,0.9524785473288924,1.1938644647598267
2017-12-31,20260910,legacy,4,128,1.0,1.0862625092056148,0.8401333093643188
2017-12-31,20260910,legacy,5,128,1.0,0.5390612564970878,0.9919338226318359
2017-12-31,20260910,legacy,6,128,1.0,0.7978105825375238,1.11600923538208
2017-12-31,20260910,legacy,7,128,1.0,0.7000490080221655,0.8347802758216858
2017-12-31,20260910,legacy,8,128,1.0,0.46071547072602326,0.992804765701294
2017-12-31,20260910,legacy,9,128,1.0,1.1987586107292396,1.3847583532333374
2017-12-31,20260910,legacy,10,128,1.0,0.6683807230244077,0.9252517223358154
2017-12-31,20260910,legacy,11,128,1.0,0.46397591498680224,0.96546471118927
2017-12-31,20260910,legacy,12,128,1.0,0.5442818149304121,0.859207808971405
2017-12-31,20260910,legacy,13,128,1.0,0.6952800348230633,1.00386381149292
2017-12-31,20260910,legacy,14,14,1.0,1.078881507938693,0.255352258682251
2017-12-31,20260910,balanced,1,120,1.0011918951132301,1.1087982927344024,1.0641077756881714
2017-12-31,20260910,balanced,2,120,1.0011918951132301,0.9326548419378247,1.0077046155929565
2017-12-31,20260910,balanced,3,120,1.0011918951132301,0.7638989463145982,1.2267671823501587
2017-12-31,20260910,balanced,4,120,1.0011918951132301,0.7556977451013424,0.8192262649536133
2017-12-31,20260910,balanced,5,120,1.0011918951132301,0.8815665294781447,1.0622482299804688
2017-12-31,20260910,balanced,6,120,1.0011918951132301,0.6629315107766011,0.9560564160346985
2017-12-31,20260910,balanced,7,120,1.0011918951132301,1.025067496043369,1.036588430404663
2017-12-31,20260910,balanced,8,120,1.0011918951132301,0.5839648412641106,0.9060485363006592
2017-12-31,20260910,balanced,9,120,1.0011918951132301,0.7409174264055702,1.049328327178955
