arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse,rule
combined,full,2017-12-31,20260910,1,1678,1678,14,1.1151701545829,,,,legacy
combined,full,2017-12-31,20260910,2,1678,1678,14,1.1061411125583216,0.9999742299069664,1.0242617428657976,0.0009752584437506,legacy
combined,full,2017-12-31,20260910,3,1678,1678,14,1.1050041129677173,,,,legacy
combined,full,2017-12-31,20260910,4,1678,1678,14,1.1024790834613296,,,,legacy
combined,full,2017-12-31,20260910,5,1678,1678,14,1.102389092524941,0.9997599764290812,1.0091180863908988,0.0009699488265299,legacy
combined,full,2017-12-31,20260910,6,1678,1678,14,1.1026367852741827,,,,legacy
combined,full,2017-12-31,20260910,7,1678,1678,14,1.1021696927294544,,,,legacy
combined,full,2017-12-31,20260910,8,1678,1678,14,1.1016235892906234,,,,legacy
combined,full,2017-12-31,20260910,9,1678,1678,14,1.1012570945383966,,,,legacy
combined,full,2017-12-31,20260910,10,1678,1678,14,1.1014251159115542,0.9994768715586791,1.0021083516926816,0.0009757201400937,legacy
combined,full,2017-12-31,20260910,11,1678,1678,14,1.100537679725381,,,,legacy
combined,full,2017-12-31,20260910,12,1678,1678,14,1.1014919107662196,,,,legacy
combined,full,2017-12-31,20260910,13,1678,1678,14,1.1009561727100958,,,,legacy
combined,full,2017-12-31,20260910,14,1678,1678,14,1.0988885194098708,,,,legacy
combined,full,2017-12-31,20260910,15,1678,1678,14,1.0982123949388498,,,,legacy
combined,full,2017-12-31,20260910,16,1678,1678,14,1.0949108884786394,,,,legacy
combined,full,2017-12-31,20260910,17,1678,1678,14,1.0872732254546646,,,,legacy
combined,full,2017-12-31,20260910,18,1678,1678,14,1.0736849724322877,,,,legacy
combined,full,2017-12-31,20260910,19,1678,1678,14,1.0630653373390897,,,,legacy
combined,full,2017-12-31,20260910,20,1678,1678,14,1.0415615958025115,0.903568359751241,1.032010326226363,0.0009637235878387,legacy
combined,full,2017-12-31,20260911,1,1678,1678,14,1.1245790619816058,,,,legacy
combined,full,2017-12-31,20260911,2,1678,1678,14,1.1071189553859833,1.0000168413314547,1.0149777444241583,0.0009761678874586,legacy
combined,full,2017-12-31,20260911,3,1678,1678,14,1.1036027901505117,,,,legacy
combined,full,2017-12-31,20260911,4,1678,1678,14,1.1029146680956945,,,,legacy
combined,full,2017-12-31,20260911,5,1678,1678,14,1.101868225650083,0.9999309954398864,1.0040497200139515,0.0009663450408705,legacy
combined,full,2017-12-31,20260911,6,1678,1678,14,1.1017682391781631,,,,legacy
combined,full,2017-12-31,20260911,7,1678,1678,14,1.1015464122872245,,,,legacy
combined,full,2017-12-31,20260911,8,1678,1678,14,1.101152648445534,,,,legacy
combined,full,2017-12-31,20260911,9,1678,1678,14,1.101418374619126,,,,legacy
combined,full,2017-12-31,20260911,10,1678,1678,14,1.0996646420748213,0.997111664341232,1.0019544941307676,0.0009668812177612,legacy
combined,full,2017-12-31,20260911,11,1678,1678,14,1.0999287521739682,,,,legacy
combined,full,2017-12-31,20260911,12,1678,1678,14,1.0971293138946197,,,,legacy
combined,full,2017-12-31,20260911,13,1678,1678,14,1.0928302946477169,,,,legacy
combined,full,2017-12-31,20260911,14,1678,1678,14,1.0905756178857031,,,,legacy
combined,full,2017-12-31,20260911,15,1678,1678,14,1.083941851810278,,,,legacy
combined,full,2017-12-31,20260911,16,1678,1678,14,1.0742239240241704,,,,legacy
combined,full,2017-12-31,20260911,17,1678,1678,14,1.078091524994274,,,,legacy
combined,full,2017-12-31,20260911,18,1678,1678,14,1.0775931599739763,,,,legacy
combined,full,2017-12-31,20260911,19,1678,1678,14,1.0624699089254328,,,,legacy
combined,full,2017-12-31,20260911,20,1678,1678,14,1.0537274111155532,0.9383147155002416,1.0268789005506878,0.0009701966208437,legacy
combined,full,2017-12-31,20260912,1,1678,1678,14,1.1210810947759218,,,,legacy
combined,full,2017-12-31,20260912,2,1678,1678,14,1.1080973868716744,0.9999953839435054,1.0235735173731226,0.000972558346264,legacy
combined,full,2017-12-31,20260912,3,1678,1678,14,1.1062440077937403,,,,legacy
combined,full,2017-12-31,20260912,4,1678,1678,14,1.1030485116398234,,,,legacy
combined,full,2017-12-31,20260912,5,1678,1678,14,1.1034841869954417,1.0005554054576251,1.0037317486286732,0.0009611761822701,legacy
combined,full,2017-12-31,20260912,6,1678,1678,14,1.101604946392796,,,,legacy
combined,full,2017-12-31,20260912,7,1678,1678,14,1.1021958586712133,,,,legacy
combined,full,2017-12-31,20260912,8,1678,1678,14,1.1015369862282518,,,,legacy
combined,full,2017-12-31,20260912,9,1678,1678,14,1.1020223164444742,,,,legacy
combined,full,2017-12-31,20260912,10,1678,1678,14,1.1009893044385353,0.9996793866867956,1.00119095848911,0.0009771531802475,legacy
combined,full,2017-12-31,20260912,11,1678,1678,14,1.1008570928823678,,,,legacy
combined,full,2017-12-31,20260912,12,1678,1678,14,1.100611967892698,,,,legacy
combined,full,2017-12-31,20260912,13,1678,1678,14,1.100601074451201,,,,legacy
combined,full,2017-12-31,20260912,14,1678,1678,14,1.1003134452401526,,,,legacy
combined,full,2017-12-31,20260912,15,1678,1678,14,1.099474835878902,,,,legacy
combined,full,2017-12-31,20260912,16,1678,1678,14,1.0963462459032245,,,,legacy
combined,full,2017-12-31,20260912,17,1678,1678,14,1.0917660944936387,,,,legacy
combined,full,2017-12-31,20260912,18,1678,1678,14,1.0730705594419725,,,,legacy
combined,full,2017-12-31,20260912,19,1678,1678,14,1.0620047352026984,,,,legacy
combined,full,2017-12-31,20260912,20,1678,1678,14,1.023902440099523,0.8647827020845197,1.058102653194241,0.0009431893232829,legacy
combined,full,2018-12-31,20260910,1,1921,1921,16,1.1152604602389755,,,,legacy
combined,full,2018-12-31,20260910,2,1921,1921,16,1.1067056616788602,0.9999063077195122,1.0241625631060345,0.0007049399604983,legacy
combined,full,2018-12-31,20260910,3,1921,1921,16,1.1043616951225574,,,,legacy
combined,full,2018-12-31,20260910,4,1921,1921,16,1.1037245331984644,,,,legacy
combined,full,2018-12-31,20260910,5,1921,1921,16,1.103017379360575,0.9997562577425348,1.0153399571846202,0.0007032893489871,legacy
combined,full,2018-12-31,20260910,6,1921,1921,16,1.1022870891234453,,,,legacy
combined,full,2018-12-31,20260910,7,1921,1921,16,1.1017564662355486,,,,legacy
combined,full,2018-12-31,20260910,8,1921,1921,16,1.1003823083307147,,,,legacy
combined,full,2018-12-31,20260910,9,1921,1921,16,1.1006427102531695,,,,legacy
combined,full,2018-12-31,20260910,10,1921,1921,16,1.0972475268020412,0.9894077835884768,1.013762893030136,0.000707220504023,legacy
combined,full,2018-12-31,20260910,11,1921,1921,16,1.0933056218818196,,,,legacy
combined,full,2018-12-31,20260910,12,1921,1921,16,1.0823475251372812,,,,legacy
combined,full,2018-12-31,20260910,13,1921,1921,16,1.078125896800129,,,,legacy
combined,full,2018-12-31,20260910,14,1921,1921,16,1.072874035129691,,,,legacy
combined,full,2018-12-31,20260910,15,1921,1921,16,1.0583061018317768,,,,legacy
combined,full,2018-12-31,20260910,16,1921,1921,16,1.0549385719687785,,,,legacy
combined,full,2018-12-31,20260910,17,1921,1921,16,1.0404925791159825,,,,legacy
combined,full,2018-12-31,20260910,18,1921,1921,16,1.0297906197712237,,,,legacy
combined,full,2018-12-31,20260910,19,1921,1921,16,1.0133983959821535,,,,legacy
combined,full,2018-12-31,20260910,20,1921,1921,16,0.9919595592410412,0.8408978672960908,0.9788924054141344,0.0006481165068961,legacy
combined,full,2018-12-31,20260911,1,1921,1921,16,1.122348678564456,,,,legacy
combined,full,2018-12-31,20260911,2,1921,1921,16,1.1048902386430028,1.000191167361534,1.0123427007919423,0.0006980129334597,legacy
combined,full,2018-12-31,20260911,3,1921,1921,16,1.104136445508656,,,,legacy
combined,full,2018-12-31,20260911,4,1921,1921,16,1.1039712931078465,,,,legacy
combined,full,2018-12-31,20260911,5,1921,1921,16,1.1024647473916604,0.9998153723943116,1.0023512804899162,0.0007009224583049,legacy
combined,full,2018-12-31,20260911,6,1921,1921,16,1.1019228866856152,,,,legacy
combined,full,2018-12-31,20260911,7,1921,1921,16,1.1009038275322027,,,,legacy
combined,full,2018-12-31,20260911,8,1921,1921,16,1.101927633337649,,,,legacy
combined,full,2018-12-31,20260911,9,1921,1921,16,1.1007810035901786,,,,legacy
combined,full,2018-12-31,20260911,10,1921,1921,16,1.100938164097204,0.9976908215503404,1.0004771557529415,0.000700797057196,legacy
combined,full,2018-12-31,20260911,11,1921,1921,16,1.0995823524073969,,,,legacy
combined,full,2018-12-31,20260911,12,1921,1921,16,1.0961788637890348,,,,legacy
combined,full,2018-12-31,20260911,13,1921,1921,16,1.091801097776541,,,,legacy
combined,full,2018-12-31,20260911,14,1921,1921,16,1.086443327107447,,,,legacy
combined,full,2018-12-31,20260911,15,1921,1921,16,1.084587488433987,,,,legacy
combined,full,2018-12-31,20260911,16,1921,1921,16,1.0656407767444276,,,,legacy
combined,full,2018-12-31,20260911,17,1921,1921,16,1.0583721211278023,,,,legacy
combined,full,2018-12-31,20260911,18,1921,1921,16,1.03522713155811,,,,legacy
combined,full,2018-12-31,20260911,19,1921,1921,16,1.0538916355973418,,,,legacy
combined,full,2018-12-31,20260911,20,1921,1921,16,1.032193763880665,0.882040067894393,1.0100207577950628,0.0007722358307438,legacy
combined,full,2018-12-31,20260912,1,1921,1921,16,1.119431470642482,,,,legacy
combined,full,2018-12-31,20260912,2,1921,1921,16,1.1073044517398936,0.9999846143687784,1.0222032871300948,0.0007034385067908,legacy
combined,full,2018-12-31,20260912,3,1921,1921,16,1.104559109068705,,,,legacy
combined,full,2018-12-31,20260912,4,1921,1921,16,1.104588019171461,,,,legacy
combined,full,2018-12-31,20260912,5,1921,1921,16,1.102568379731801,0.9998221517788252,1.0033596036087902,0.0007024253948073,legacy
combined,full,2018-12-31,20260912,6,1921,1921,16,1.1022987557164956,,,,legacy
combined,full,2018-12-31,20260912,7,1921,1921,16,1.102366951621491,,,,legacy
combined,full,2018-12-31,20260912,8,1921,1921,16,1.1022241811526436,,,,legacy
combined,full,2018-12-31,20260912,9,1921,1921,16,1.101322052380742,,,,legacy
combined,full,2018-12-31,20260912,10,1921,1921,16,1.1009765646223102,0.9991423654593508,1.0004902392362072,0.0007061628301709,legacy
combined,full,2018-12-31,20260912,11,1921,1921,16,1.100697445177523,,,,legacy
combined,full,2018-12-31,20260912,12,1921,1921,16,1.1000083280627395,,,,legacy
