method,row_index,date,p_annual,p_add,p_remove,p_both,add_without_remove,add_after_remove,remove_without_add,remove_after_add,nonadditive,add_effect,remove_effect,total_delta,actual_up,head_cutoff,encoder_cutoff,year,case,signed_add_without_remove,signed_add_after_remove,signed_remove_without_add,signed_remove_after_add,signed_nonadditive,signed_add_effect,signed_remove_effect,signed_total_delta,dominant_adverse,arm,history,arm_case
learned_market,3739,2026-06-26,0.5028351367660838,0.49603039475345684,0.5151642884379676,0.5059055916223687,-0.006804742012626874,-0.009258696815598858,0.012329151671883773,0.009875196868911787,-0.0024539548029720026,-0.008031719414112867,0.01110217427039778,0.0030704548562849134,1,2026-03-31,2025-12-31,2026,stable_correct,-0.006804742012626874,-0.009258696815598858,0.012329151671883773,0.009875196868911787,-0.0024539548029720026,-0.008031719414112867,0.01110217427039778,0.0030704548562849134,add,add,fixed_transform_add_only,regression
learned_market,3744,2026-07-03,0.48961299180420353,0.5185200499238659,0.5012973625607589,0.534278680631713,0.028907058119662394,0.03298131807095417,0.011684370756555318,0.015758630707847093,0.004074259951291774,0.030944188095308283,0.013721500732201205,0.04466568882750949,0,2026-06-30,2025-12-31,2026,regression,-0.028907058119662394,-0.03298131807095417,-0.011684370756555318,-0.015758630707847093,-0.004074259951291774,-0.030944188095308283,-0.013721500732201205,-0.04466568882750949,add,add,fixed_transform_add_only,regression
learned_market,3754,2026-07-17,0.48034056980630435,0.5233484954466588,0.46446090964777015,0.5262401036649316,0.04300792564035447,0.061779194017161386,-0.015879660158534165,0.002891608218272742,0.01877126837680691,0.05239355982875793,-0.006494025970130712,0.04589953385862722,1,2026-06-30,2025-12-31,2026,recovery,0.04300792564035447,0.061779194017161386,-0.015879660158534165,0.002891608218272742,0.01877126837680691,0.05239355982875793,-0.006494025970130712,0.04589953385862722,remove,add,fixed_transform_add_only,recovery
learned_market,3759,2026-07-24,0.4855896136257898,0.5417383750812649,0.47619312760068944,0.5504630694990905,0.05614876145547506,0.07426994189840108,-0.009396486025100348,0.008724694417825677,0.018121180442926026,0.06520935167693807,-0.00033589580363733534,0.06487345587330073,0,2026-06-30,2025-12-31,2026,regression,-0.05614876145547506,-0.07426994189840108,0.009396486025100348,-0.008724694417825677,-0.018121180442926026,-0.06520935167693807,0.00033589580363733534,-0.06487345587330073,add,add,fixed_transform_add_only,regression
learned_market,3769,2026-08-07,0.44995772150638885,0.5034539864829813,0.4384450849039216,0.5078856812645399,0.05349626497659249,0.06944059636061829,-0.011512636602467282,0.004431694781558526,0.015944331384025807,0.06146843066860539,-0.0035404709104543777,0.057927959758151015,0,2026-06-30,2025-12-31,2026,regression,-0.05349626497659249,-0.06944059636061829,0.011512636602467282,-0.004431694781558526,-0.015944331384025807,-0.06146843066860539,0.0035404709104543777,-0.057927959758151015,add,add,fixed_transform_add_only,regression
learned_market,3774,2026-08-14,0.48837964453678734,0.5505859232874339,0.48226101764587126,0.5589591274773172,0.062206278750646625,0.07669810983144594,-0.0061186268909160235,0.008373204189883299,0.014491831080799322,0.06945219429104628,0.0011272886494836376,0.07057948294052992,0,2026-06-30,2025-12-31,2026,regression,-0.062206278750646625,-0.07669810983144594,0.0061186268909160235,-0.008373204189883299,-0.014491831080799322,-0.06945219429104628,-0.0011272886494836376,-0.07057948294052992,add,add,fixed_transform_add_only,regression
learned_order_extension,3715,2026-05-22,0.5050517409494192,0.4843012805018974,0.5156024113925631,0.49080932836323327,-0.02075046044752175,-0.024793083029329883,0.010550670443143895,0.00650804786133576,-0.004042622581808116,-0.022771771738425817,0.008529359152239827,-0.01424241258618599,1,2026-03-31,2025-12-31,2026,regression,-0.02075046044752175,-0.024793083029329883,0.010550670443143895,0.00650804786133576,-0.004042622581808116,-0.022771771738425817,0.008529359152239827,-0.01424241258618599,add,add,fixed_transform_add_only,regression
learned_order_extension,3744,2026-07-03,0.49019228952696475,0.5537155508023205,0.5148029867136318,0.5814474209380495,0.06352326127535578,0.06664443422441761,0.02461069718666703,0.027731870135728864,0.0031211729490618345,0.0650838477498867,0.026171283661197947,0.09125513141108464,0,2026-06-30,2025-12-31,2026,regression,-0.06352326127535578,-0.06664443422441761,-0.02461069718666703,-0.027731870135728864,-0.0031211729490618345,-0.0650838477498867,-0.026171283661197947,-0.09125513141108464,add,add,fixed_transform_add_only,regression
learned_order_extension,3749,2026-07-10,0.4838752558028981,0.5437663492314114,0.5094401153828834,0.5757978224530517,0.05989109342851329,0.06635770707016826,0.02556485957998526,0.03203147322164024,0.0064666136416549795,0.06312440024934078,0.028798166400812748,0.09192256665015353,0,2026-06-30,2025-12-31,2026,regression,-0.05989109342851329,-0.06635770707016826,-0.02556485957998526,-0.03203147322164024,-0.0064666136416549795,-0.06312440024934078,-0.028798166400812748,-0.09192256665015353,add,add,fixed_transform_add_only,regression
learned_order_extension,3754,2026-07-17,0.48324475733931876,0.5372033938099988,0.4705568695866829,0.5431614725219555,0.05395863647068009,0.07260460293527256,-0.012687887752635796,0.005958078711956675,0.01864596646459245,0.06328161970297633,-0.0033649045203395602,0.05991671518263677,1,2026-06-30,2025-12-31,2026,recovery,0.05395863647068009,0.07260460293527256,-0.012687887752635796,0.005958078711956675,0.01864596646459245,0.06328161970297633,-0.0033649045203395602,0.05991671518263677,remove,add,fixed_transform_add_only,recovery
learned_order_extension,3759,2026-07-24,0.486574276555423,0.557080033116007,0.4826602769932064,0.5707855771407592,0.070505756560584,0.08812530014755282,-0.003913999562216571,0.01370554402475225,0.017619543586968822,0.07931552835406841,0.0048957722312678404,0.08421130058533625,0,2026-06-30,2025-12-31,2026,regression,-0.070505756560584,-0.08812530014755282,0.003913999562216571,-0.01370554402475225,-0.017619543586968822,-0.07931552835406841,-0.0048957722312678404,-0.08421130058533625,add,add,fixed_transform_add_only,regression
learned_order_extension,3764,2026-07-31,0.42545717214675055,0.5001872964988139,0.4101092774516144,0.49972529987895015,0.07473012435206335,0.08961602242733581,-0.01534789469513618,-0.0004619966198637175,0.014885898075272463,0.08217307338969958,-0.007904945657499949,0.07426812773219964,1,2026-06-30,2025-12-31,2026,stable_wrong,0.07473012435206335,0.08961602242733581,-0.01534789469513618,-0.0004619966198637175,0.014885898075272463,0.08217307338969958,-0.007904945657499949,0.07426812773219964,remove,add,fixed_transform_add_only,recovery
learned_order_extension,3769,2026-08-07,0.4240773181549858,0.5082662901274569,0.42772757245769016,0.5282070763250396,0.08418897197247104,0.10047950386734938,0.0036502543027043624,0.019940786197582716,0.016290531894878352,0.0923342379199102,0.01179552025014354,0.10412975817005375,0,2026-06-30,2025-12-31,2026,regression,-0.08418897197247104,-0.10047950386734938,-0.0036502543027043624,-0.019940786197582716,-0.016290531894878352,-0.0923342379199102,-0.01179552025014354,-0.10412975817005375,add,add,fixed_transform_add_only,regression
learned_order_extension,3774,2026-08-14,0.47911008879014627,0.5353750742201228,0.4749557445243486,0.5433653158218154,0.056264985429976544,0.06840957129746687,-0.004154344265797731,0.007990241601692594,0.012144585867490324,0.06233727836372171,0.0019179486679474316,0.06425522703166914,0,2026-06-30,2025-12-31,2026,regression,-0.056264985429976544,-0.06840957129746687,0.004154344265797731,-0.007990241601692594,-0.012144585867490324,-0.06233727836372171,-0.0019179486679474316,-0.06425522703166914,add,add,fixed_transform_add_only,regression
learned_order_offset,3715,2026-05-22,0.5050438655177666,0.4842542207852063,0.5154787623450173,0.49055945694006137,-0.020789644732560286,-0.024919305404955867,0.01043489682725072,0.006305236154855139,-0.0041296606723956,-0.022854475068758078,0.00837006649105293,-0.014484408577705147,1,2026-03-31,2025-12-31,2026,regression,-0.020789644732560286,-0.024919305404955867,0.01043489682725072,0.006305236154855139,-0.0041296606723956,-0.022854475068758078,0.00837006649105293,-0.014484408577705147,add,add,fixed_transform_add_only,regression
learned_order_offset,3744,2026-07-03,0.4899947842704179,0.5538062556344908,0.5148088443690032,0.5834131298394063,0.06381147136407295,0.06860428547040305,0.02481406009858537,0.02960687420491548,0.004792814106330108,0.066207878417238,0.027210467151750423,0.09341834556898843,0,2026-06-30,2025-12-31,2026,regression,-0.06381147136407295,-0.06860428547040305,-0.02481406009858537,-0.02960687420491548,-0.004792814106330108,-0.066207878417238,-0.027210467151750423,-0.09341834556898843,add,add,fixed_transform_add_only,regression
learned_order_offset,3749,2026-07-10,0.48332989719207314,0.54278058240684,0.5085512460235876,0.5766364686230562,0.05945068521476682,0.06808522259946849,0.025221348831514518,0.03385588621621619,0.008634537384701676,0.06376795390711766,0.029538617523865357,0.09330657143098302,0,2026-06-30,2025-12-31,2026,regression,-0.05945068521476682,-0.06808522259946849,-0.025221348831514518,-0.03385588621621619,-0.008634537384701676,-0.06376795390711766,-0.029538617523865357,-0.09330657143098302,add,add,fixed_transform_add_only,regression
learned_order_offset,3754,2026-07-17,0.4828431648821933,0.537331023500825,0.4701292336754627,0.5465206396388221,0.054487858618631646,0.07639140596335942,-0.012713931206730552,0.009189616137997217,0.02190354734472777,0.06543963229099553,-0.0017621575343666669,0.06367747475662887,1,2026-06-30,2025-12-31,2026,recovery,0.054487858618631646,0.07639140596335942,-0.012713931206730552,0.009189616137997217,0.02190354734472777,0.06543963229099553,-0.0017621575343666669,0.06367747475662887,remove,add,fixed_transform_add_only,recovery
learned_order_offset,3759,2026-07-24,0.48604553906921294,0.5565072215870298,0.4825964703695919,0.5735621531004286,0.07046168251781675,0.0909656827308366,-0.0034490686996211015,0.017054931513398763,0.020504000213019864,0.08071368262432667,0.006802931406888831,0.08751661403121551,0,2026-06-30,2025-12-31,2026,regression,-0.07046168251781675,-0.0909656827308366,0.0034490686996211015,-0.017054931513398763,-0.020504000213019864,-0.08071368262432667,-0.006802931406888831,-0.08751661403121551,add,add,fixed_transform_add_only,regression
learned_order_offset,3764,2026-07-31,0.4256339199295458,0.5022992623944602,0.4110456127533649,0.5064514471163372,0.07666534246491441,0.09540583436297233,-0.014588307176180981,0.004152184721876932,0.018740491898057914,0.08603558841394336,-0.005218061227152025,0.08081752718679135,1,2026-06-30,2025-12-31,2026,recovery,0.07666534246491441,0.09540583436297233,-0.014588307176180981,0.004152184721876932,0.018740491898057914,0.08603558841394336,-0.005218061227152025,0.08081752718679135,remove,add,fixed_transform_add_only,recovery
learned_order_offset,3769,2026-08-07,0.423905703819994,0.5094720980729958,0.42777327490889044,0.5322778088602489,0.08556639425300178,0.10450453395135846,0.003867571088896441,0.02280571078725313,0.018938139698356688,0.09503546410218011,0.013336640938074787,0.1083721050402549,0,2026-06-30,2025-12-31,2026,regression,-0.08556639425300178,-0.10450453395135846,-0.003867571088896441,-0.02280571078725313,-0.018938139698356688,-0.09503546410218011,-0.013336640938074787,-0.1083721050402549,add,add,fixed_transform_add_only,regression
