method,row_index,date,p_annual,p_add,p_remove,p_both,add_without_remove,add_after_remove,remove_without_add,remove_after_add,nonadditive,add_effect,remove_effect,total_delta,actual_up,head_cutoff,encoder_cutoff,year,case,signed_add_without_remove,signed_add_after_remove,signed_remove_without_add,signed_remove_after_add,signed_nonadditive,signed_add_effect,signed_remove_effect,signed_total_delta,dominant_adverse
learned_market,3705,2026-05-08,0.5509925651699675,0.5265215434755951,0.5694300418692445,0.5422904802176556,-0.024471021694372503,-0.027139561651588946,0.01843747669927694,0.015768936742060497,-0.0026685399572164425,-0.025805291672980724,0.01710320672066872,-0.008702084952312006,0,2026-03-31,2025-12-31,2026,stable_wrong,0.024471021694372503,0.027139561651588946,-0.01843747669927694,-0.015768936742060497,0.0026685399572164425,0.025805291672980724,-0.01710320672066872,0.008702084952312006,remove
learned_market,3710,2026-05-15,0.6068105774736267,0.5894377685006962,0.6212040159251888,0.600101440252253,-0.01737280897293046,-0.021102575672935813,0.014393438451562157,0.010663671751556802,-0.0037297667000053547,-0.019237692322933136,0.01252855510155948,-0.006709137221373655,1,2026-03-31,2025-12-31,2026,stable_correct,-0.01737280897293046,-0.021102575672935813,0.014393438451562157,0.010663671751556802,-0.0037297667000053547,-0.019237692322933136,0.01252855510155948,-0.006709137221373655,add
learned_market,3715,2026-05-22,0.47476764013923195,0.45819954107328975,0.486168468061216,0.4657831212310324,-0.016568099065942216,-0.020385346830183615,0.011400827921984066,0.007583580157742668,-0.0038172477642413973,-0.018476722948062917,0.009492204039863367,-0.008984518908199549,1,2026-03-31,2025-12-31,2026,stable_wrong,-0.016568099065942216,-0.020385346830183615,0.011400827921984066,0.007583580157742668,-0.0038172477642413973,-0.018476722948062917,0.009492204039863367,-0.008984518908199549,add
learned_market,3720,2026-05-29,0.47069934366443983,0.45905586734482723,0.4891808369267201,0.473675465273151,-0.011643476319612675,-0.015505371653569114,0.01848149326228027,0.014619597928323827,-0.003861895333956441,-0.013574423986590894,0.016550545595302047,0.002976121608711154,0,2026-03-31,2025-12-31,2026,stable_correct,0.011643476319612675,0.015505371653569114,-0.01848149326228027,-0.014619597928323827,0.003861895333956441,0.013574423986590894,-0.016550545595302047,-0.002976121608711154,remove
learned_market,3725,2026-06-05,0.43343257781621963,0.4393062235724294,0.4677003013303753,0.4696042623762635,0.005873645756209726,0.0019039610458881733,0.03426772351415569,0.030298038803834138,-0.003969684710321553,0.0038888034010489494,0.032282881158994914,0.03617168456004386,1,2026-03-31,2025-12-31,2026,stable_wrong,0.005873645756209726,0.0019039610458881733,0.03426772351415569,0.030298038803834138,-0.003969684710321553,0.0038888034010489494,0.032282881158994914,0.03617168456004386,none
learned_market,3730,2026-06-12,0.3946021727356898,0.39262000571673666,0.42516559428822426,0.41911569345789507,-0.0019821670189531146,-0.0060499008303292095,0.030563421552534425,0.02649568774115833,-0.004067733811376095,-0.004016033924641162,0.028529554646846377,0.024513520722205213,1,2026-03-31,2025-12-31,2026,stable_wrong,-0.0019821670189531146,-0.0060499008303292095,0.030563421552534425,0.02649568774115833,-0.004067733811376095,-0.004016033924641162,0.028529554646846377,0.024513520722205213,add
learned_market,3739,2026-06-26,0.5028351367660838,0.49603039475345684,0.5151642884379676,0.5059055916223687,-0.006804742012626874,-0.009258696815598858,0.012329151671883773,0.009875196868911787,-0.0024539548029720026,-0.008031719414112867,0.01110217427039778,0.0030704548562849134,1,2026-03-31,2025-12-31,2026,stable_correct,-0.006804742012626874,-0.009258696815598858,0.012329151671883773,0.009875196868911787,-0.0024539548029720026,-0.008031719414112867,0.01110217427039778,0.0030704548562849134,add
learned_market,3744,2026-07-03,0.48961299180420353,0.5185200499238659,0.5012973625607589,0.534278680631713,0.028907058119662394,0.03298131807095417,0.011684370756555318,0.015758630707847093,0.004074259951291774,0.030944188095308283,0.013721500732201205,0.04466568882750949,0,2026-06-30,2025-12-31,2026,regression,-0.028907058119662394,-0.03298131807095417,-0.011684370756555318,-0.015758630707847093,-0.004074259951291774,-0.030944188095308283,-0.013721500732201205,-0.04466568882750949,add
learned_market,3749,2026-07-10,0.5112169662397662,0.5424792109914379,0.5234621012970272,0.561606870263513,0.03126224475167172,0.0381447689664858,0.012245135057260955,0.01912765927207503,0.006882524214814075,0.034703506859078755,0.015686397164667992,0.05038990402374675,0,2026-06-30,2025-12-31,2026,stable_wrong,-0.03126224475167172,-0.0381447689664858,-0.012245135057260955,-0.01912765927207503,-0.006882524214814075,-0.034703506859078755,-0.015686397164667992,-0.05038990402374675,add
learned_market,3754,2026-07-17,0.48034056980630435,0.5233484954466588,0.46446090964777015,0.5262401036649316,0.04300792564035447,0.061779194017161386,-0.015879660158534165,0.002891608218272742,0.01877126837680691,0.05239355982875793,-0.006494025970130712,0.04589953385862722,1,2026-06-30,2025-12-31,2026,recovery,0.04300792564035447,0.061779194017161386,-0.015879660158534165,0.002891608218272742,0.01877126837680691,0.05239355982875793,-0.006494025970130712,0.04589953385862722,remove
