period,method,case,n,annual_correct,both_correct,mean_add_without_remove,mean_add_after_remove,mean_remove_without_add,mean_remove_after_add,mean_nonadditive,mean_add_effect,mean_remove_effect,mean_total_delta,mean_signed_add_without_remove,mean_signed_add_after_remove,mean_signed_remove_without_add,mean_signed_remove_after_add,mean_signed_nonadditive,mean_signed_add_effect,mean_signed_remove_effect,mean_signed_total_delta,dominant_add,dominant_remove,dominant_tie,dominant_none
extension_2021_2023,learned_order_offset,all,147,68,63,-0.006505985265568194,-0.0062492179376674745,0.0007050953231045132,0.0009618626510052325,0.00025676732790071995,-0.006377601601617833,0.0008334789870548728,-0.005544122614562962,0.0019929267237757046,0.0016983871648233765,-0.00013361534043196806,-0.0004281548993842963,-0.0002945395589523284,0.0018456569442995411,-0.0002808851199081323,0.0015647718243914077,42,37,0,68
extension_2021_2023,learned_order_offset,regression,14,14,0,0.01900330868135339,0.02287597478878232,0.00972905310582517,0.013601719213254102,0.003872666107428933,0.020939641735067856,0.011665386159539635,0.032605027894607494,-0.03762803399254764,-0.040977843071891236,-0.023350168552825408,-0.026699977632169004,-0.0033498090793435986,-0.03930293853221943,-0.02502507309249721,-0.06432801162471664,9,5,0,0
extension_2021_2023,learned_order_offset,recovery,9,0,9,-0.002947092900341286,-0.0035420060873921277,0.0027498063520928298,0.00215489316504198,-0.0005949131870508515,-0.003244549493866706,0.002452349758567412,-0.000792199735299301,0.0663347989247289,0.06767205014937447,0.04767670239896817,0.04901395362361374,0.0013372512246455658,0.0670034245370517,0.04834532801129096,0.11534875254834263,0,0,0,9
extension_2021_2023,learned_order_offset,stable_correct,54,54,54,-0.002816994179750293,-0.002434083072542161,-0.002932524189752567,-0.0025496130825444353,0.00038291110720813174,-0.0026255386261462284,-0.0027410686361485008,-0.00536660726229473,-0.018631589721731956,-0.020290521386078512,-9.428354119719423e-05,-0.001753215205543746,-0.0016589316643465522,-0.019461055553905232,-0.0009237493733704703,-0.0203848049272757,26,8,0,20
extension_2021_2023,learned_order_offset,stable_wrong,70,0,0,-0.014911209053826924,-0.015365430616803786,0.0014435759727516313,0.0009893544097747638,-0.0004542215629768671,-0.015138319835315356,0.0012164651912631975,-0.013921854644052158,0.017554933699166584,0.018714177424848318,-0.001667687223857267,-0.0005084434981755258,0.0011592437256817403,0.01813455556200745,-0.0010880653610163965,0.017046490200991058,7,24,0,39
extension_2021_2023,learned_vol_interaction,all,147,71,68,-0.002826128355106401,-0.0026739472612173107,0.0014221245671189866,0.0015743056610080775,0.00015218109388909077,-0.002750037808161856,0.0014982151140635323,-0.001251822694098325,-0.0005974089493281261,-0.0008280916523101238,-0.00021566230415570546,-0.0004463450071377038,-0.0002306827029819983,-0.0007127503008191252,-0.0003310036556467047,-0.0010437539564658305,43,35,0,69
extension_2021_2023,learned_vol_interaction,regression,10,10,0,0.009812147644531047,0.012103177312383664,0.005580729281817212,0.007871758949669828,0.0022910296678526156,0.010957662478457357,0.006726244115743521,0.017683906594200875,-0.027453759075762807,-0.029845340390098573,-0.0188739197463625,-0.02126550106069827,-0.0023915813143357686,-0.02864954973293069,-0.020069710403530384,-0.04871926013646107,6,4,0,0
extension_2021_2023,learned_vol_interaction,recovery,7,0,7,0.006465602906970768,0.005445952498322389,0.00709067950653039,0.006071029097882012,-0.0010196504086483814,0.00595577770264658,0.006580854302206202,0.012536632004852777,0.02725764613367824,0.02687382373043851,0.03378950493298923,0.03340568252974949,-0.00038382240323973715,0.027065734932058372,0.03359759373136936,0.06066332866342773,0,1,0,6
extension_2021_2023,learned_vol_interaction,stable_correct,61,61,61,0.002203392978518227,0.0028378088836358635,0.0005436406911750251,0.0011780565962926626,0.0006344159051176375,0.002520600931077045,0.0008608486437338435,0.003381449574810889,-0.01584805351155622,-0.016982375980251433,-0.002262040822344712,-0.003396363291039922,-0.00113432246869521,-0.016415214745903822,-0.002829202056692318,-0.019244416802596146,27,11,0,23
extension_2021_2023,learned_vol_interaction,stable_wrong,69,0,0,-0.010046790386729836,-0.010512029419026462,0.0010209881136366613,0.0005557490813400377,-0.00046523903229662376,-0.010279409902878149,0.0007883685974883501,-0.009491041305389799,0.013951394441675003,0.01484829129990819,0.0008477506432585384,0.0017446475014917242,0.000896896858233187,0.014399842870791596,0.0012961990723751315,0.015696041943166726,10,19,0,40
recent_2024_2026,learned_market,all,125,69,63,0.005066653462405837,0.007964900759790913,-0.010863444075992611,-0.007965196778607533,0.002898247297385076,0.006515777111098375,-0.009414320427300069,-0.0028985433162016963,0.0006686047721239614,0.0010998307901717937,-0.0035980301932364294,-0.0031668041751885985,0.00043122601804783156,0.0008842177811478776,-0.003382417184212513,-0.0024981994030646368,28,45,0,52
recent_2024_2026,learned_market,regression,10,10,0,0.021833564631516405,0.029868371664190745,-0.010577991715247282,-0.0025431846825729352,0.008034807032674342,0.025850968147853575,-0.006560588198910108,0.01929037994894347,-0.03329512290246214,-0.04275436251004025,0.0006838714248461273,-0.008775368182731984,-0.009459239607578118,-0.0380247427062512,-0.004045748378942929,-0.04207049108519413,7,3,0,0
recent_2024_2026,learned_market,recovery,4,0,4,-0.0020514795487102545,0.001253869978436949,-0.03140624057784776,-0.028100891050700558,0.003305349527147191,-0.00039880478513665274,-0.02975356581427416,-0.03015237059941081,0.023555442368887493,0.029635727030143742,0.023466410498580677,0.029546695159836926,0.006080284661256263,0.026595584699515618,0.026506552829208805,0.05310213752872442,0,1,0,3
recent_2024_2026,learned_market,stable_correct,59,59,59,0.0011902611351953423,0.002880830654097375,-0.008183008124674157,-0.006492438605772125,0.0016905695189020319,0.0020355458946463584,-0.007337723365223141,-0.005302177470576782,0.0038142050520480293,0.005012820602625365,-0.0017784363236306904,-0.0005798207730533534,0.0011986155505773366,0.004413512827336696,-0.0011791285483420213,0.003234384278994674,10,15,0,34
recent_2024_2026,learned_market,stable_wrong,52,0,0,0.0067880105327669474,0.01003739211204738,-0.012379387513066092,-0.009130005933785663,0.003249381579280431,0.008412701322407162,-0.01075469672342588,-0.0023419954010187177,0.0018705184229564032,0.002898522119161637,-0.008567892063521671,-0.0075398883673164375,0.001028003696205234,0.0023845202710590205,-0.008053890215419055,-0.005669369944360036,11,26,0,15
recent_2024_2026,learned_order_extension,all,125,72,65,0.00610714547335825,0.010432273769498615,-0.013528379288094574,-0.009203250991954216,0.004325128296140364,0.008269709621428431,-0.011365815140024393,-0.0030961055185959653,0.0005319964267746074,0.0014593427936196114,-0.004288438374194988,-0.0033610920073499835,0.0009273463668450035,0.0009956696101971094,-0.003824765190772485,-0.0028290955805753753,32,41,0,52
recent_2024_2026,learned_order_extension,regression,12,12,0,0.019435388672534516,0.022861804185154374,0.004240089813975422,0.007666505326595272,0.0034264155126198514,0.021148596428844448,0.005953297570285346,0.02710189399912979,-0.03691333620912693,-0.04476898199585091,-0.005267205708667882,-0.013122851495391857,-0.007855645786723977,-0.040841159102488915,-0.00919502860202987,-0.050036187704518786,11,1,0,0
recent_2024_2026,learned_order_extension,recovery,5,0,5,-0.004742369995901078,-0.003979419840866694,-0.026139412214199086,-0.0253764620591647,0.000762950155034392,-0.004360894918383887,-0.02575793713668189,-0.030118832055065776,0.026325824584173114,0.03302126101497572,0.021064257113144767,0.02775969354394737,0.006695436430802589,0.029673542799574414,0.024411975328546068,0.05408551812812048,0,1,0,4
recent_2024_2026,learned_order_extension,stable_correct,60,60,60,0.0028573126471871813,0.007800793658949601,-0.015673856648746574,-0.010730375636984153,0.00494348101176242,0.0053290531530683916,-0.013202116142865365,-0.007873062989796972,0.00292386274769667,0.004714074579952424,-0.003171441475683846,-0.001381229643428092,0.001790211832255754,0.0038189686638245486,-0.0022763355595559693,0.001542633104268578,13,14,0,33
recent_2024_2026,learned_order_extension,stable_wrong,48,0,0,0.007967533567659201,0.012115459388183992,-0.013975000599661197,-0.009827074779136403,0.0041479258205247916,0.010041496477921597,-0.0119010376893988,-0.001859541211477203,0.0042166395848684006,0.005660309443346632,-0.008080898443646916,-0.006637228585168686,0.0014436698584782287,0.004938474514107516,-0.0073590635144078,-0.0024205890003002844,8,25,0,15
recent_2024_2026,learned_order_offset,all,125,71,67,0.0064060334765693745,0.010687738057771927,-0.013605367378522203,-0.00932366279731965,0.0042817045812025565,0.008546885767170654,-0.011464515087920924,-0.002917629320750273,0.00044996250331479315,0.0012108831178845162,-0.004197866778198983,-0.003436946163629259,0.0007609206145697211,0.0008304228105996549,-0.0038174064709141213,-0.002986983660314466,32,42,0,51
recent_2024_2026,learned_order_offset,regression,11,11,0,0.021444000639206703,0.02642131041705871,0.00437054740970599,0.009347857187557996,0.0049773097778520025,0.023932655528132705,0.006859202298631992,0.0307918578267647,-0.039859541897692634,-0.048715650294784196,-0.007691694427689649,-0.01654780282478122,-0.008856108397091575,-0.04428759609623841,-0.012119748626235433,-0.05640734472247386,10,1,0,0
recent_2024_2026,learned_order_offset,recovery,7,0,7,0.013896480481826873,0.021682131067262245,-0.027403791457946833,-0.01961814087251146,0.007785650585435384,0.017789305774544555,-0.02351096616522914,-0.005721660390684585,0.035946644196868945,0.04748946901381238,0.008151785283615,0.019694610100558424,0.01154282481694342,0.04171805660534066,0.013923197692086714,0.05564125429742738,0,3,0,4
recent_2024_2026,learned_order_offset,stable_correct,60,60,60,0.002588178514870777,0.006574506221282418,-0.014710703415454511,-0.010724375709042873,0.00398632770641164,0.004581342368076598,-0.012717539562248694,-0.008136197194172095,0.001739751449171937,0.002702136345523959,-0.001780668091453435,-0.0008182831951014125,0.0009623848963520212,0.0022209438973479476,-0.0012994756432774233,0.0009214682540705242,15,14,0,31
recent_2024_2026,learned_order_offset,stable_wrong,47,0,0,0.006644768154784326,0.010618884082682233,-0.014346344652960483,-0.01037222872506258,0.003974115927897904,0.008631826118733279,-0.01235928668901153,-0.0037274605702782536,0.0029508229246929616,0.004099533598937585,-0.008305257873795437,-0.007156547199550814,0.0011487106742446233,0.0035251782618152734,-0.007730902536673127,-0.004205724274857854,7,24,0,16
recent_2024_2026,learned_vol_interaction,all,125,68,65,0.005689857041422829,0.009925435790221381,-0.013167760905983799,-0.008932182157185246,0.004235578748798552,0.007807646415822105,-0.01104997153158452,-0.0032423251157624143,0.0001965797714551003,0.0007925744547803632,-0.0038400052628501974,-0.0032440105795249344,0.000595994683325262,0.0004945771131177314,-0.003542007921187566,-0.0030474308080698344,33,42,0,50
recent_2024_2026,learned_vol_interaction,regression,7,7,0,0.014910669328265003,0.021716492444368993,-0.008700165514124213,-0.0018943423980202205,0.006805823116103993,0.018313580886317,-0.005297253956072215,0.013016326930244784,-0.03479250854908471,-0.04602177079522073,0.0004919433356675544,-0.01073731891046847,-0.011229262246136022,-0.04040713967215271,-0.005122687787400457,-0.045529827459553175,6,1,0,0
