cutoff,encoder_cutoff,annual_n,both_n,retained_n,added_n,removed_n,annual_up_fraction,both_up_fraction,added_up_fraction,removed_up_fraction,retained_up_fraction
2020-12-31,2020-12-31,1212,1212,1212,0,0,0.5577557755775577,0.5577557755775577,,,0.5577557755775577
2021-03-31,2020-12-31,1212,1211,1153,58,59,0.5577557755775577,0.5540875309661437,0.46551724137931033,0.5423728813559322,0.5585429314830876
2021-06-30,2020-12-31,1212,1210,1092,118,120,0.5577557755775577,0.5537190082644629,0.5,0.5416666666666666,0.5595238095238095
2021-09-30,2020-12-31,1212,1210,1028,182,184,0.5577557755775577,0.5512396694214876,0.4835164835164835,0.5271739130434783,0.5632295719844358
2021-12-31,2021-12-31,1211,1211,1211,0,0,0.5458298926507019,0.5458298926507019,,,0.5458298926507019
2022-03-31,2021-12-31,1211,1210,1152,58,59,0.5458298926507019,0.5264462809917355,0.2413793103448276,0.6440677966101694,0.5407986111111112
2022-06-30,2021-12-31,1211,1209,1092,117,119,0.5458298926507019,0.5318444995864351,0.4188034188034188,0.5630252100840336,0.5439560439560439
2022-09-30,2021-12-31,1211,1209,1027,182,184,0.5458298926507019,0.5119933829611248,0.3516483516483517,0.5760869565217391,0.5404089581304771
2022-12-31,2022-12-31,1209,1209,1209,0,0,0.5028949545078577,0.5028949545078577,,,0.5028949545078577
2023-03-31,2022-12-31,1209,1209,1150,59,59,0.5028949545078577,0.5062034739454094,0.5932203389830508,0.5254237288135594,0.5017391304347826
2023-06-30,2022-12-31,1209,1208,1090,118,119,0.5028949545078577,0.5132450331125827,0.5338983050847458,0.42857142857142855,0.5110091743119266
2023-09-30,2022-12-31,1209,1208,1026,182,183,0.5028949545078577,0.5082781456953642,0.489010989010989,0.453551912568306,0.5116959064327485
2023-12-31,2023-12-31,1208,1208,1208,0,0,0.5024834437086093,0.5024834437086093,,,0.5024834437086093
2024-03-31,2023-12-31,1208,1208,1150,58,58,0.5024834437086093,0.4900662251655629,0.5689655172413793,0.8275862068965517,0.4860869565217391
2024-06-30,2023-12-31,1208,1207,1090,117,118,0.5024834437086093,0.48384424192212094,0.48717948717948717,0.6779661016949152,0.4834862385321101
2024-09-30,2023-12-31,1208,1206,1025,181,183,0.5024834437086093,0.472636815920398,0.430939226519337,0.6284153005464481,0.48
2024-12-31,2024-12-31,1206,1206,1206,0,0,0.472636815920398,0.472636815920398,,,0.472636815920398
2025-03-31,2024-12-31,1206,1205,1148,57,58,0.472636815920398,0.4738589211618257,0.5789473684210527,0.5517241379310345,0.4686411149825784
2025-06-30,2024-12-31,1206,1206,1089,117,117,0.472636815920398,0.4701492537313433,0.5811965811965812,0.6068376068376068,0.45821854912764004
2025-09-30,2024-12-31,1206,1206,1023,183,183,0.472636815920398,0.48258706467661694,0.6502732240437158,0.5846994535519126,0.4525904203323558
2025-12-31,2025-12-31,1206,1206,1206,0,0,0.4792703150912106,0.4792703150912106,,,0.4792703150912106
2026-03-31,2025-12-31,1206,1204,1148,56,58,0.4792703150912106,0.4792358803986711,0.44642857142857145,0.4482758620689655,0.4808362369337979
2026-06-30,2025-12-31,1206,1204,1088,116,118,0.4792703150912106,0.4908637873754153,0.5862068965517241,0.4661016949152542,0.4806985294117647
