arm,job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
remove,remove_learned_vol_interaction_2021-06-30_20260912,L-BFGS-B,True,73,8.83109599891796e-08,2.4424906541753444e-15,7.647422298499504e-09,
remove,remove_learned_order_extension_2021-06-30_20260912,L-BFGS-B,True,73,5.631732769018072e-08,2.1094237467877974e-15,5.324788720627999e-09,
remove,remove_learned_order_offset_2021-06-30_20260912,brentq,True,10,,0.0,6.071532165918825e-18,0.0
add,add_learned_market_2021-09-30_20260910,L-BFGS-B,True,76,7.239297405980949e-08,1.887379141862766e-15,7.47765255531413e-09,
add,add_learned_vol_interaction_2021-09-30_20260910,L-BFGS-B,True,81,7.833730814033046e-08,2.1094237467877974e-15,8.019018012225994e-09,
add,add_learned_order_extension_2021-09-30_20260910,L-BFGS-B,True,82,1.0935904237729943e-07,5.440092820663267e-15,1.1775524109351298e-08,
add,add_learned_order_offset_2021-09-30_20260910,brentq,True,11,,0.0,3.7947076036992655e-18,5.502907157728387e-13
remove,remove_learned_market_2021-09-30_20260910,L-BFGS-B,True,75,1.3335805759684405e-07,5.10702591327572e-15,2.090083330149803e-08,
remove,remove_learned_vol_interaction_2021-09-30_20260910,L-BFGS-B,True,82,3.603464221457742e-08,5.551115123125783e-16,4.5655414093390134e-09,
remove,remove_learned_order_extension_2021-09-30_20260910,L-BFGS-B,True,78,4.1178904064409494e-08,7.771561172376096e-16,3.0265229046880227e-09,
remove,remove_learned_order_offset_2021-09-30_20260910,brentq,True,10,,1.1102230246251565e-16,9.486769009248164e-18,4.692080057822068e-14
add,add_learned_market_2021-09-30_20260911,L-BFGS-B,True,86,7.140735391875097e-08,2.4424906541753444e-15,5.3780242587845445e-09,
add,add_learned_vol_interaction_2021-09-30_20260911,L-BFGS-B,True,88,7.123302625533512e-08,2.3314683517128287e-15,7.580075917857157e-09,
add,add_learned_order_extension_2021-09-30_20260911,L-BFGS-B,True,79,1.5188416058187215e-07,8.881784197001252e-15,2.6266132650831775e-08,
add,add_learned_order_offset_2021-09-30_20260911,brentq,True,11,,0.0,2.7962658230573645e-15,1.2614909117303341e-14
remove,remove_learned_market_2021-09-30_20260911,L-BFGS-B,True,84,9.355978153324784e-08,2.4424906541753444e-15,1.511808011287266e-08,
remove,remove_learned_vol_interaction_2021-09-30_20260911,L-BFGS-B,True,80,7.599157303417314e-08,2.220446049250313e-15,5.915191632734421e-09,
remove,remove_learned_order_extension_2021-09-30_20260911,L-BFGS-B,True,83,6.217734038749256e-08,2.886579864025407e-15,6.890000500692217e-09,
remove,remove_learned_order_offset_2021-09-30_20260911,brentq,True,9,,0.0,1.5178830414797062e-18,2.7755575615628914e-17
add,add_learned_market_2021-09-30_20260912,L-BFGS-B,True,71,8.368744197628786e-08,1.887379141862766e-15,1.5010724033117512e-08,
add,add_learned_vol_interaction_2021-09-30_20260912,L-BFGS-B,True,71,9.425030045306926e-08,3.774758283725532e-15,2.0061974232159392e-08,
add,add_learned_order_extension_2021-09-30_20260912,L-BFGS-B,True,69,6.871025293175848e-08,2.886579864025407e-15,7.3784421810232925e-09,
add,add_learned_order_offset_2021-09-30_20260912,brentq,True,9,,0.0,2.956077223281728e-15,7.312110986146259e-13
remove,remove_learned_market_2021-09-30_20260912,L-BFGS-B,True,71,7.95879313564285e-08,2.220446049250313e-15,8.222905278128939e-09,
remove,remove_learned_vol_interaction_2021-09-30_20260912,L-BFGS-B,True,67,6.597724189205678e-08,1.4432899320127035e-15,9.471389221527016e-09,
remove,remove_learned_order_extension_2021-09-30_20260912,L-BFGS-B,True,68,5.910303751965884e-08,9.992007221626409e-16,7.0866881690147265e-09,
remove,remove_learned_order_offset_2021-09-30_20260912,brentq,True,10,,0.0,2.032879073410321e-18,1.3473337029390464e-13
add,add_learned_market_2022-03-31_20260910,L-BFGS-B,True,83,7.364958198863292e-08,2.3314683517128287e-15,5.862203916197871e-09,
add,add_learned_vol_interaction_2022-03-31_20260910,L-BFGS-B,True,83,8.5809009342519e-08,1.887379141862766e-15,6.469382505234784e-09,
add,add_learned_order_extension_2022-03-31_20260910,L-BFGS-B,True,73,1.2506997659755825e-07,7.216449660063518e-15,9.15455234317894e-09,
add,add_learned_order_offset_2022-03-31_20260910,brentq,True,12,,0.0,7.589415207398531e-18,6.938893903907228e-16
remove,remove_learned_market_2022-03-31_20260910,L-BFGS-B,True,77,1.0233260661074439e-07,3.4416913763379853e-15,6.597813838118429e-09,
remove,remove_learned_vol_interaction_2022-03-31_20260910,L-BFGS-B,True,81,4.5036775864204515e-08,1.2212453270876722e-15,4.3368545694748295e-09,
remove,remove_learned_order_extension_2022-03-31_20260910,L-BFGS-B,True,73,1.4177888707500585e-07,8.104628079763643e-15,1.7474703822850657e-08,
