cutoff,arm,train_n,all_mature,no_test_overlap,bank_complete
2020-12-31,annual,1212,True,True,True
2020-12-31,add,1212,True,True,True
2020-12-31,remove,1212,True,True,True
2020-12-31,both,1212,True,True,True
2021-03-31,annual,1212,True,True,True
2021-03-31,add,1270,True,True,True
2021-03-31,remove,1153,True,True,True
2021-03-31,both,1211,True,True,True
2021-06-30,annual,1212,True,True,True
2021-06-30,add,1330,True,True,True
2021-06-30,remove,1092,True,True,True
2021-06-30,both,1210,True,True,True
2021-09-30,annual,1212,True,True,True
2021-09-30,add,1394,True,True,True
2021-09-30,remove,1028,True,True,True
2021-09-30,both,1210,True,True,True
2021-12-31,annual,1211,True,True,True
2021-12-31,add,1211,True,True,True
2021-12-31,remove,1211,True,True,True
2021-12-31,both,1211,True,True,True
2022-03-31,annual,1211,True,True,True
2022-03-31,add,1269,True,True,True
2022-03-31,remove,1152,True,True,True
2022-03-31,both,1210,True,True,True
2022-06-30,annual,1211,True,True,True
2022-06-30,add,1328,True,True,True
2022-06-30,remove,1092,True,True,True
2022-06-30,both,1209,True,True,True
2022-09-30,annual,1211,True,True,True
2022-09-30,add,1393,True,True,True
2022-09-30,remove,1027,True,True,True
2022-09-30,both,1209,True,True,True
2022-12-31,annual,1209,True,True,True
2022-12-31,add,1209,True,True,True
2022-12-31,remove,1209,True,True,True
2022-12-31,both,1209,True,True,True
2023-03-31,annual,1209,True,True,True
2023-03-31,add,1268,True,True,True
2023-03-31,remove,1150,True,True,True
2023-03-31,both,1209,True,True,True
2023-06-30,annual,1209,True,True,True
2023-06-30,add,1327,True,True,True
2023-06-30,remove,1090,True,True,True
2023-06-30,both,1208,True,True,True
2023-09-30,annual,1209,True,True,True
2023-09-30,add,1391,True,True,True
2023-09-30,remove,1026,True,True,True
2023-09-30,both,1208,True,True,True
2023-12-31,annual,1208,True,True,True
2023-12-31,add,1208,True,True,True
2023-12-31,remove,1208,True,True,True
2023-12-31,both,1208,True,True,True
2024-03-31,annual,1208,True,True,True
2024-03-31,add,1266,True,True,True
2024-03-31,remove,1150,True,True,True
2024-03-31,both,1208,True,True,True
2024-06-30,annual,1208,True,True,True
2024-06-30,add,1325,True,True,True
2024-06-30,remove,1090,True,True,True
2024-06-30,both,1207,True,True,True
2024-09-30,annual,1208,True,True,True
2024-09-30,add,1389,True,True,True
2024-09-30,remove,1025,True,True,True
2024-09-30,both,1206,True,True,True
2024-12-31,annual,1206,True,True,True
2024-12-31,add,1206,True,True,True
2024-12-31,remove,1206,True,True,True
2024-12-31,both,1206,True,True,True
2025-03-31,annual,1206,True,True,True
2025-03-31,add,1263,True,True,True
2025-03-31,remove,1148,True,True,True
2025-03-31,both,1205,True,True,True
2025-06-30,annual,1206,True,True,True
2025-06-30,add,1323,True,True,True
2025-06-30,remove,1089,True,True,True
2025-06-30,both,1206,True,True,True
2025-09-30,annual,1206,True,True,True
2025-09-30,add,1389,True,True,True
2025-09-30,remove,1023,True,True,True
2025-09-30,both,1206,True,True,True
2025-12-31,annual,1206,True,True,True
2025-12-31,add,1206,True,True,True
2025-12-31,remove,1206,True,True,True
2025-12-31,both,1206,True,True,True
2026-03-31,annual,1206,True,True,True
2026-03-31,add,1262,True,True,True
2026-03-31,remove,1148,True,True,True
2026-03-31,both,1204,True,True,True
2026-06-30,annual,1206,True,True,True
2026-06-30,add,1322,True,True,True
2026-06-30,remove,1088,True,True,True
2026-06-30,both,1204,True,True,True
