arm,history,cutoff,encoder_cutoff,train_n,minimum_date,maximum_date,maximum_maturity,up_fraction,new_fit
annual,rolling5_annual20,2020-12-31,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
add,fixed_transform_add_only,2020-12-31,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
remove,fixed_transform_remove_only,2020-12-31,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
both,fixed_transform_step100,2020-12-31,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
annual,rolling5_annual20,2021-03-31,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
add,fixed_transform_add_only,2021-03-31,2020-12-31,1270,2016-01-04,2021-03-23,2021-03-31,0.5535433070866141,True
remove,fixed_transform_remove_only,2021-03-31,2020-12-31,1153,2016-04-01,2020-12-23,2020-12-31,0.5585429314830876,True
both,fixed_transform_step100,2021-03-31,2020-12-31,1211,2016-04-01,2021-03-23,2021-03-31,0.5540875309661437,False
annual,rolling5_annual20,2021-06-30,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
add,fixed_transform_add_only,2021-06-30,2020-12-31,1330,2016-01-04,2021-06-22,2021-06-30,0.5526315789473685,True
remove,fixed_transform_remove_only,2021-06-30,2020-12-31,1092,2016-07-01,2020-12-23,2020-12-31,0.5595238095238095,True
both,fixed_transform_step100,2021-06-30,2020-12-31,1210,2016-07-01,2021-06-22,2021-06-30,0.5537190082644629,False
annual,rolling5_annual20,2021-09-30,2020-12-31,1212,2016-01-04,2020-12-23,2020-12-31,0.5577557755775577,False
add,fixed_transform_add_only,2021-09-30,2020-12-31,1394,2016-01-04,2021-09-22,2021-09-30,0.5480631276901005,True
remove,fixed_transform_remove_only,2021-09-30,2020-12-31,1028,2016-10-10,2020-12-23,2020-12-31,0.5632295719844358,True
both,fixed_transform_step100,2021-09-30,2020-12-31,1210,2016-10-10,2021-09-22,2021-09-30,0.5512396694214876,False
annual,rolling5_annual20,2021-12-31,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
add,fixed_transform_add_only,2021-12-31,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
remove,fixed_transform_remove_only,2021-12-31,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
both,fixed_transform_step100,2021-12-31,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
annual,rolling5_annual20,2022-03-31,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
add,fixed_transform_add_only,2022-03-31,2021-12-31,1269,2017-01-03,2022-03-23,2022-03-31,0.5319148936170213,True
remove,fixed_transform_remove_only,2022-03-31,2021-12-31,1152,2017-04-05,2021-12-23,2021-12-31,0.5407986111111112,True
both,fixed_transform_step100,2022-03-31,2021-12-31,1210,2017-04-05,2022-03-23,2022-03-31,0.5264462809917355,False
annual,rolling5_annual20,2022-06-30,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
add,fixed_transform_add_only,2022-06-30,2021-12-31,1328,2017-01-03,2022-06-22,2022-06-30,0.5346385542168675,True
remove,fixed_transform_remove_only,2022-06-30,2021-12-31,1092,2017-07-03,2021-12-23,2021-12-31,0.5439560439560439,True
both,fixed_transform_step100,2022-06-30,2021-12-31,1209,2017-07-03,2022-06-22,2022-06-30,0.5318444995864351,False
annual,rolling5_annual20,2022-09-30,2021-12-31,1211,2017-01-03,2021-12-23,2021-12-31,0.5458298926507019,False
add,fixed_transform_add_only,2022-09-30,2021-12-31,1393,2017-01-03,2022-09-22,2022-09-30,0.5204594400574301,True
remove,fixed_transform_remove_only,2022-09-30,2021-12-31,1027,2017-10-09,2021-12-23,2021-12-31,0.5404089581304771,True
both,fixed_transform_step100,2022-09-30,2021-12-31,1209,2017-10-09,2022-09-22,2022-09-30,0.5119933829611248,False
annual,rolling5_annual20,2022-12-31,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
add,fixed_transform_add_only,2022-12-31,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
remove,fixed_transform_remove_only,2022-12-31,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
both,fixed_transform_step100,2022-12-31,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
annual,rolling5_annual20,2023-03-31,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
add,fixed_transform_add_only,2023-03-31,2022-12-31,1268,2018-01-02,2023-03-23,2023-03-31,0.5070977917981072,True
remove,fixed_transform_remove_only,2023-03-31,2022-12-31,1150,2018-04-02,2022-12-22,2022-12-30,0.5017391304347826,True
both,fixed_transform_step100,2023-03-31,2022-12-31,1209,2018-04-02,2023-03-23,2023-03-31,0.5062034739454094,False
annual,rolling5_annual20,2023-06-30,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
add,fixed_transform_add_only,2023-06-30,2022-12-31,1327,2018-01-02,2023-06-21,2023-06-30,0.5056518462697814,True
remove,fixed_transform_remove_only,2023-06-30,2022-12-31,1090,2018-07-02,2022-12-22,2022-12-30,0.5110091743119266,True
both,fixed_transform_step100,2023-06-30,2022-12-31,1208,2018-07-02,2023-06-21,2023-06-30,0.5132450331125827,False
annual,rolling5_annual20,2023-09-30,2022-12-31,1209,2018-01-02,2022-12-22,2022-12-30,0.5028949545078577,False
add,fixed_transform_add_only,2023-09-30,2022-12-31,1391,2018-01-02,2023-09-20,2023-09-28,0.501078360891445,True
remove,fixed_transform_remove_only,2023-09-30,2022-12-31,1026,2018-10-08,2022-12-22,2022-12-30,0.5116959064327485,True
both,fixed_transform_step100,2023-09-30,2022-12-31,1208,2018-10-08,2023-09-20,2023-09-28,0.5082781456953642,False
annual,rolling5_annual20,2023-12-31,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
add,fixed_transform_add_only,2023-12-31,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
remove,fixed_transform_remove_only,2023-12-31,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
both,fixed_transform_step100,2023-12-31,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
annual,rolling5_annual20,2024-03-31,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
add,fixed_transform_add_only,2024-03-31,2023-12-31,1266,2019-01-02,2024-03-21,2024-03-29,0.5055292259083728,True
remove,fixed_transform_remove_only,2024-03-31,2023-12-31,1150,2019-04-01,2023-12-21,2023-12-29,0.4860869565217391,True
both,fixed_transform_step100,2024-03-31,2023-12-31,1208,2019-04-01,2024-03-21,2024-03-29,0.4900662251655629,False
annual,rolling5_annual20,2024-06-30,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
add,fixed_transform_add_only,2024-06-30,2023-12-31,1325,2019-01-02,2024-06-20,2024-06-28,0.5011320754716981,True
remove,fixed_transform_remove_only,2024-06-30,2023-12-31,1090,2019-07-01,2023-12-21,2023-12-29,0.4834862385321101,True
both,fixed_transform_step100,2024-06-30,2023-12-31,1207,2019-07-01,2024-06-20,2024-06-28,0.48384424192212094,False
annual,rolling5_annual20,2024-09-30,2023-12-31,1208,2019-01-02,2023-12-21,2023-12-29,0.5024834437086093,False
add,fixed_transform_add_only,2024-09-30,2023-12-31,1389,2019-01-02,2024-09-20,2024-09-30,0.4931605471562275,True
remove,fixed_transform_remove_only,2024-09-30,2023-12-31,1025,2019-10-08,2023-12-21,2023-12-29,0.48,True
both,fixed_transform_step100,2024-09-30,2023-12-31,1206,2019-10-08,2024-09-20,2024-09-30,0.472636815920398,False
annual,rolling5_annual20,2024-12-31,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
add,fixed_transform_add_only,2024-12-31,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
remove,fixed_transform_remove_only,2024-12-31,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
both,fixed_transform_step100,2024-12-31,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
annual,rolling5_annual20,2025-03-31,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
add,fixed_transform_add_only,2025-03-31,2024-12-31,1263,2020-01-02,2025-03-21,2025-03-31,0.47743467933491684,True
remove,fixed_transform_remove_only,2025-03-31,2024-12-31,1148,2020-04-01,2024-12-23,2024-12-31,0.4686411149825784,True
both,fixed_transform_step100,2025-03-31,2024-12-31,1205,2020-04-01,2025-03-21,2025-03-31,0.4738589211618257,False
annual,rolling5_annual20,2025-06-30,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
add,fixed_transform_add_only,2025-06-30,2024-12-31,1323,2020-01-02,2025-06-20,2025-06-30,0.48223733938019653,True
remove,fixed_transform_remove_only,2025-06-30,2024-12-31,1089,2020-07-01,2024-12-23,2024-12-31,0.45821854912764004,True
both,fixed_transform_step100,2025-06-30,2024-12-31,1206,2020-07-01,2025-06-20,2025-06-30,0.4701492537313433,False
annual,rolling5_annual20,2025-09-30,2024-12-31,1206,2020-01-02,2024-12-23,2024-12-31,0.472636815920398,False
add,fixed_transform_add_only,2025-09-30,2024-12-31,1389,2020-01-02,2025-09-22,2025-09-30,0.49604031677465804,True
remove,fixed_transform_remove_only,2025-09-30,2024-12-31,1023,2020-10-09,2024-12-23,2024-12-31,0.4525904203323558,True
both,fixed_transform_step100,2025-09-30,2024-12-31,1206,2020-10-09,2025-09-22,2025-09-30,0.48258706467661694,False
annual,rolling5_annual20,2025-12-31,2025-12-31,1206,2021-01-04,2025-12-23,2025-12-31,0.4792703150912106,False
add,fixed_transform_add_only,2025-12-31,2025-12-31,1206,2021-01-04,2025-12-23,2025-12-31,0.4792703150912106,False
remove,fixed_transform_remove_only,2025-12-31,2025-12-31,1206,2021-01-04,2025-12-23,2025-12-31,0.4792703150912106,False
both,fixed_transform_step100,2025-12-31,2025-12-31,1206,2021-01-04,2025-12-23,2025-12-31,0.4792703150912106,False
annual,rolling5_annual20,2026-03-31,2025-12-31,1206,2021-01-04,2025-12-23,2025-12-31,0.4792703150912106,False
add,fixed_transform_add_only,2026-03-31,2025-12-31,1262,2021-01-04,2026-03-23,2026-03-31,0.47781299524564186,True
remove,fixed_transform_remove_only,2026-03-31,2025-12-31,1148,2021-04-01,2025-12-23,2025-12-31,0.4808362369337979,True
both,fixed_transform_step100,2026-03-31,2025-12-31,1204,2021-04-01,2026-03-23,2026-03-31,0.4792358803986711,False
annual,rolling5_annual20,2026-06-30,2025-12-31,1206,2021-01-04,2025-12-23,2025-12-31,0.4792703150912106,False
add,fixed_transform_add_only,2026-06-30,2025-12-31,1322,2021-01-04,2026-06-22,2026-06-30,0.4886535552193646,True
remove,fixed_transform_remove_only,2026-06-30,2025-12-31,1088,2021-07-01,2025-12-23,2025-12-31,0.4806985294117647,True
both,fixed_transform_step100,2026-06-30,2025-12-31,1204,2021-07-01,2026-06-22,2026-06-30,0.4908637873754153,False
