method,seed,row_index,date,p_annual,p_add,p_remove,p_both,add_without_remove,add_after_remove,remove_without_add,remove_after_add,nonadditive,add_effect,remove_effect,total_delta
learned_market,20260910,2418,2021-01-08,0.5528369602637446,0.5528369602637446,0.5528369602637446,0.5528369602637446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2423,2021-01-15,0.49674166213102977,0.49674166213102977,0.49674166213102977,0.49674166213102977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2428,2021-01-22,0.3933637003220593,0.3933637003220593,0.3933637003220593,0.3933637003220593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2433,2021-01-29,0.4313547922375263,0.4313547922375263,0.4313547922375263,0.4313547922375263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2438,2021-02-05,0.40357928349119826,0.40357928349119826,0.40357928349119826,0.40357928349119826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2443,2021-02-19,0.49513830982070434,0.49513830982070434,0.49513830982070434,0.49513830982070434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2448,2021-02-26,0.43315180971386896,0.43315180971386896,0.43315180971386896,0.43315180971386896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2453,2021-03-05,0.40131415281599914,0.40131415281599914,0.40131415281599914,0.40131415281599914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2458,2021-03-12,0.47295990993929365,0.47295990993929365,0.47295990993929365,0.47295990993929365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2463,2021-03-19,0.6783048076904669,0.6783048076904669,0.6783048076904669,0.6783048076904669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2468,2021-03-26,0.6020041018019381,0.6020041018019381,0.6020041018019381,0.6020041018019381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2473,2021-04-02,0.5183679897795258,0.5014394638443062,0.5094498470233462,0.49093779178423463,-0.01692852593521965,-0.018512055239111536,-0.008918142756179637,-0.01050167206007152,-0.0015835293038918286,-0.017720290587165594,-0.009709907408125579,-0.027430197995291172
learned_market,20260910,2477,2021-04-09,0.6850249402938339,0.6672200859345472,0.6697364783609657,0.6492815384708123,-0.017804854359286693,-0.020454939890153456,-0.015288461932868147,-0.01793854746373491,-0.0026500855308667637,-0.019129897124720074,-0.01661350469830153,-0.0357434018230216
learned_market,20260910,2482,2021-04-16,0.609924220475271,0.5848347576736527,0.6107632773806394,0.5837474525302944,-0.02508946280161828,-0.027015824850345038,0.0008390569053684516,-0.001087305143358308,-0.0019263620487267596,-0.02605264382598166,-0.00012412411899492826,-0.026176767944976587
learned_market,20260910,2487,2021-04-23,0.6788658728472401,0.6643662003187122,0.6635026261187973,0.6474081952369751,-0.014499672528527907,-0.016094430881822164,-0.015363246728442803,-0.01695800508173706,-0.0015947583532942566,-0.015297051705175035,-0.01616062590508993,-0.03145767761026497
learned_market,20260910,2492,2021-04-30,0.6869387015648898,0.6856310171495894,0.6575823856597725,0.6535249795021311,-0.0013076844153003808,-0.004057406157641386,-0.029356315905117336,-0.03210603764745834,-0.0027497217423410047,-0.002682545286470883,-0.03073117677628784,-0.03341372206275872
learned_market,20260910,2494,2021-05-07,0.707143295820497,0.702818652559402,0.6726287134704403,0.6652747662370352,-0.00432464326109494,-0.0073539472334051,-0.034514582350056666,-0.037543886322366826,-0.00302930397231016,-0.00583929524725002,-0.036029234336211746,-0.04186852958346177
learned_market,20260910,2499,2021-05-14,0.6297830216175037,0.6182242676237376,0.6314723368136016,0.6181313644468432,-0.011558753993766047,-0.013340972366758352,0.0016893151960979402,-9.290317689436556e-05,-0.0017822183729923058,-0.0124498631802622,0.0007982060096017873,-0.011651657170660412
learned_market,20260910,2504,2021-05-21,0.6135561076345685,0.5909435350861713,0.6074504954363664,0.5837439641645689,-0.022612572548397214,-0.02370653127179756,-0.006105612198202048,-0.007199570921602394,-0.0010939587234003456,-0.023159551910097387,-0.006652591559902221,-0.029812143469999608
learned_market,20260910,2509,2021-05-28,0.5954545940650008,0.6065594979489681,0.5398439635656047,0.5494547963018047,0.011104903883967343,0.009610832736200003,-0.055610630499396074,-0.057104701647163414,-0.0014940711477673396,0.010357868310083673,-0.056357666073279744,-0.04599979776319607
learned_market,20260910,2514,2021-06-04,0.5021950734156202,0.5213196759935572,0.47010336558308513,0.4892786442234336,0.019124602577937022,0.01917527864034846,-0.032091707832535066,-0.03204103177012363,5.067606241149214e-05,0.01914994060914274,-0.03206636980132935,-0.012916429192186607
learned_market,20260910,2519,2021-06-11,0.35343278398049977,0.3532338506238243,0.3496763064706489,0.34965396384269226,-0.00019893335667547918,-2.234262795663966e-05,-0.003756477509850864,-0.0035798867811320245,0.00017659072871883952,-0.00011063799231605942,-0.0036681821454914443,-0.0037788201378075037
learned_market,20260910,2523,2021-06-18,0.3221586033468014,0.32578781264100826,0.32380082924238013,0.3274053260373562,0.0036292092942068477,0.0036044967949760975,0.0016422258955787195,0.0016175133963479693,-2.471249923075014e-05,0.0036168530445914726,0.0016298696459633444,0.005246722690554817
learned_market,20260910,2528,2021-06-25,0.4336393441432385,0.44467798449997975,0.4254837690618245,0.43732458546857134,0.011038640356741236,0.011840816406746835,-0.008155575081414013,-0.007353399031408414,0.0008021760500055986,0.011439728381744035,-0.007754487056411213,0.003685241325332822
learned_market,20260910,2533,2021-07-02,0.3704733615248586,0.38753120044558126,0.3755534071096444,0.40010295456536477,0.017057838920722657,0.024549547455720355,0.005080045584785808,0.012571754119783507,0.007491708534997699,0.020803693188221506,0.008825899852284658,0.029629593040506164
learned_market,20260910,2538,2021-07-09,0.38743639841929484,0.3994318957673859,0.41347655441429243,0.4382183837495892,0.011995497348091078,0.024741829335296783,0.026040155994997594,0.0387864879822033,0.012746331987205706,0.01836866334169393,0.032413321988600446,0.05078198533029438
learned_market,20260910,2543,2021-07-16,0.3392496570286791,0.3705663514147057,0.3662919540962429,0.4163770723952873,0.03131669438602658,0.05008511829904444,0.02704229706756378,0.04581072098058164,0.018768423913017862,0.04070090634253551,0.03642650902407271,0.07712741536660822
learned_market,20260910,2548,2021-07-23,0.4242757327433418,0.4546090939166661,0.47622853839494156,0.523119239893999,0.030333361173324302,0.04689070149905744,0.051952805651599765,0.0685101459773329,0.01655734032573314,0.03861203133619087,0.060231475814466334,0.0988435071506572
learned_market,20260910,2553,2021-07-30,0.44622832370349025,0.4780973257881654,0.4833353624609849,0.5250995514537122,0.031869002084675135,0.041764188992727325,0.03710703875749466,0.04700222566554685,0.00989518690805219,0.03681659553870123,0.042054632211520754,0.07887122775022198
learned_market,20260910,2558,2021-08-06,0.40768230665718896,0.4351364355358816,0.434802188788531,0.47232268331579735,0.02745412887869264,0.03752049452726636,0.027119882131342032,0.03718624777991575,0.010066365648573716,0.0324873117029795,0.03215306495562889,0.06464037665860839
learned_market,20260910,2563,2021-08-13,0.4025918663246775,0.4161750602741105,0.3951042594664546,0.4106777607721026,0.01358319394943297,0.015573501305647997,-0.007487606858222917,-0.005497299502007891,0.0019903073562150264,0.014578347627540483,-0.006492453180115404,0.00808589444742508
learned_market,20260910,2568,2021-08-20,0.5581931205458567,0.5057084244297313,0.5010016522442675,0.435888345983336,-0.052484696116125384,-0.06511330626093154,-0.057191468301589166,-0.06982007844639532,-0.012628610144806207,-0.05879900118852846,-0.06350577337399224,-0.1223047745625207
learned_market,20260910,2573,2021-08-27,0.5652685808405962,0.5804904990488623,0.5422109594062475,0.5477852731108758,0.015221918208266128,0.005574313704628242,-0.02305762143434864,-0.032705225937986526,-0.009647604503637885,0.010398115956447185,-0.027881423686167583,-0.0174833077297204
learned_market,20260910,2578,2021-09-03,0.7414364016645572,0.6878118544112263,0.7009933806920329,0.6348113763332219,-0.05362454725333088,-0.06618200435881094,-0.04044302097252428,-0.05300047807800434,-0.012557457105480063,-0.05990327580607091,-0.04672174952526431,-0.10662502533133522
learned_market,20260910,2583,2021-09-10,0.7365374093158319,0.686403571489687,0.7154435449423763,0.6555573392093986,-0.05013383782614489,-0.05988620573297765,-0.021093864373455617,-0.030846232280288377,-0.00975236790683276,-0.05501002177956127,-0.025970048326871997,-0.08098007010643327
learned_market,20260910,2588,2021-09-17,0.7129908769856873,0.7162199784885009,0.6674918267082196,0.6657045949397847,0.003229101502813636,-0.0017872317684348715,-0.0454990502774677,-0.05051538354871621,-0.005016333271248508,0.0007209348671893823,-0.048007216913091955,-0.04728628204590257
learned_market,20260910,2591,2021-09-24,0.7494998617287155,0.7503269453832967,0.7084636859491548,0.7039892179934065,0.0008270836545811733,-0.00447446795574824,-0.04103617577956076,-0.04633772738989017,-0.005301551610329414,-0.0018236921505835335,-0.043686951584725464,-0.045510643735309
learned_market,20260910,2596,2021-10-08,0.7103284017268151,0.7096192712287992,0.6718250444992874,0.6734618529244621,-0.0007091304980159086,0.0016368084251747739,-0.038503357227527735,-0.03615741830433705,0.0023459389231906824,0.00046383896357943266,-0.037330387765932393,-0.03686654880235296
learned_market,20260910,2601,2021-10-15,0.7054426847772952,0.6961580903877692,0.6764336831101941,0.668405520562507,-0.009284594389526002,-0.008028162547687123,-0.029009001667101075,-0.027752569825262197,0.0012564318418388787,-0.008656378468606563,-0.028380785746181636,-0.0370371642147882
learned_market,20260910,2606,2021-10-22,0.561668990030631,0.6081268639064128,0.5626384629870158,0.6163952744152067,0.04645787387578182,0.05375681142819089,0.0009694729563848314,0.0082684105087939,0.007298937552409068,0.05010734265198635,0.004618941732589366,0.05472628438457572
learned_market,20260910,2611,2021-10-29,0.5778524508006477,0.6336409093971682,0.583683937335014,0.6574153939570418,0.055788458596520485,0.07373145662202785,0.00583148653436627,0.023774484559873632,0.017942998025507362,0.06475995760927417,0.014802985547119951,0.07956294315639412
learned_market,20260910,2616,2021-11-05,0.6566176820686879,0.7142533926782547,0.6474680928191809,0.7230626149265208,0.05763571060956685,0.07559452210733986,-0.009149589249506929,0.00880922224826608,0.01795881149777301,0.06661511635845335,-0.00017018350062042442,0.06644493285783293
learned_market,20260910,2621,2021-11-12,0.7459419474434704,0.7509116756835412,0.7296644147899141,0.7398042389014736,0.004969728240070803,0.010139824111559559,-0.01627753265355636,-0.011107436782067603,0.005170095871488756,0.007554776175815181,-0.013692484717811981,-0.0061377085419968
learned_market,20260910,2626,2021-11-19,0.7859013728177604,0.7663408081688322,0.7939071007559688,0.7798222172064574,-0.01956056464892819,-0.014084883549511429,0.008005727938208418,0.01348140903762518,0.005475681099416763,-0.01682272409921981,0.0107435684879168,-0.006079155611303011
learned_market,20260910,2631,2021-11-26,0.679954560670936,0.7104276136478426,0.672933895012168,0.7187699580495193,0.03047305297690661,0.045836063037351216,-0.007020665658767911,0.008342344401676693,0.015363010060444604,0.038154558007128914,0.0006608393714543914,0.038815397378583305
learned_market,20260910,2636,2021-12-03,0.6823399841098169,0.7158433704984987,0.6803713024711492,0.7264251192115574,0.03350338638868178,0.046053816740408204,-0.001968681638667702,0.010581748713058725,0.012550430351726427,0.03977860156454499,0.004306533537195512,0.0440851351017405
learned_market,20260910,2641,2021-12-10,0.6068383170365979,0.6437377102357268,0.6080269659975394,0.659213350095346,0.03689939319912894,0.051186384097806625,0.0011886489609415074,0.015475639859619195,0.014286990898677687,0.04404288864846778,0.008332144410280351,0.05237503305874813
learned_market,20260910,2646,2021-12-17,0.7177286585161153,0.7005439666673603,0.7185040590144058,0.7066884391697401,-0.01718469184875504,-0.011815619844665726,0.0007754004982905016,0.006144472502379816,0.005369072004089315,-0.014500155846710383,0.003459936500335159,-0.011040219346375224
learned_market,20260910,2651,2021-12-24,0.7527245234710195,0.7604160427235721,0.772521648266392,0.7856646863728569,0.0076915192525526255,0.013143038106464888,0.019797124795372545,0.025248643649284808,0.005451518853912263,0.010417278679508757,0.022522884222328676,0.03294016290183743
learned_market,20260910,2656,2021-12-31,0.7407762805267725,0.7486969733960036,0.7372065476664659,0.7518525058973548,0.007920692869231138,0.014645958230888878,-0.003569732860306596,0.0031555325013511437,0.00672526536165774,0.011283325550060008,-0.00020710017947772608,0.011076225370582282
learned_market,20260910,2660,2022-01-07,0.5688001187262542,0.5688001187262542,0.5688001187262542,0.5688001187262542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2665,2022-01-14,0.6536697221556952,0.6536697221556952,0.6536697221556952,0.6536697221556952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2670,2022-01-21,0.667180452286777,0.667180452286777,0.667180452286777,0.667180452286777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2675,2022-01-28,0.6821990081341186,0.6821990081341186,0.6821990081341186,0.6821990081341186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2680,2022-02-11,0.6685932622029157,0.6685932622029157,0.6685932622029157,0.6685932622029157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2685,2022-02-18,0.721020181747073,0.721020181747073,0.721020181747073,0.721020181747073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2690,2022-02-25,0.6720256213340763,0.6720256213340763,0.6720256213340763,0.6720256213340763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2695,2022-03-04,0.6491632424244927,0.6491632424244927,0.6491632424244927,0.6491632424244927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2700,2022-03-11,0.7072260560701839,0.7072260560701839,0.7072260560701839,0.7072260560701839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2705,2022-03-18,0.680562718896786,0.680562718896786,0.680562718896786,0.680562718896786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2710,2022-03-25,0.7149297850291989,0.7149297850291989,0.7149297850291989,0.7149297850291989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,20260910,2715,2022-04-01,0.699650234779605,0.6264697367964885,0.7345621734985174,0.6633826478019678,-0.07318049798311643,-0.07117952569654962,0.034911938718912405,0.03691291100547922,0.0020009722865668156,-0.07218001183983302,0.03591242486219581,-0.03626758697763721
