representation,variant,label_kind,seed,step,return_mse,auxiliary_mse
raw,return_zero,real,20260910,0,0.9999999403953552,
raw,return_zero,real,20260910,1,0.9998000860214233,
raw,return_zero,real,20260910,2,0.9992921948432922,
raw,return_zero,real,20260910,5,0.9948970675468445,
raw,return_zero,real,20260910,10,0.9613562226295471,
raw,return_zero,real,20260910,25,0.5787402391433716,
raw,return_zero,real,20260910,50,0.08966131508350372,
raw,return_zero,real,20260910,100,0.004499791190028191,
raw,return_zero,real,20260910,200,2.999084358634718e-07,
raw,return_zero,real,20260910,400,0.00011088991595897824,
raw,return_zero,real,20260911,0,0.9999999403953552,
raw,return_zero,real,20260911,1,0.9998354315757751,
raw,return_zero,real,20260911,2,0.9994190335273743,
raw,return_zero,real,20260911,5,0.9957847595214844,
raw,return_zero,real,20260911,10,0.9688637256622314,
raw,return_zero,real,20260911,25,0.6634361147880554,
raw,return_zero,real,20260911,50,0.2635177969932556,
raw,return_zero,real,20260911,100,0.004175669979304075,
raw,return_zero,real,20260911,200,2.0245593077561352e-06,
raw,return_zero,real,20260911,400,2.329820364410651e-13,
raw,return_zero,real,20260912,0,0.9999999403953552,
raw,return_zero,real,20260912,1,0.9998906254768372,
raw,return_zero,real,20260912,2,0.9996883869171143,
raw,return_zero,real,20260912,5,0.9967024326324463,
raw,return_zero,real,20260912,10,0.9717124104499817,
raw,return_zero,real,20260912,25,0.613848865032196,
raw,return_zero,real,20260912,50,0.18526092171669006,
raw,return_zero,real,20260912,100,0.04573167487978935,
raw,return_zero,real,20260912,200,2.6053097826661542e-05,
raw,return_zero,real,20260912,400,7.320575241465122e-05,
raw,return_nonzero,real,20260910,0,1.0140539407730103,
raw,return_nonzero,real,20260910,1,1.0426015853881836,
raw,return_nonzero,real,20260910,2,1.0293052196502686,
raw,return_nonzero,real,20260910,5,1.006605625152588,
raw,return_nonzero,real,20260910,10,0.9830243587493896,
raw,return_nonzero,real,20260910,25,0.6236395835876465,
raw,return_nonzero,real,20260910,50,0.11258980631828308,
raw,return_nonzero,real,20260910,100,0.0012885930482298136,
raw,return_nonzero,real,20260910,200,3.5605872028554586e-08,
raw,return_nonzero,real,20260910,400,7.209873809088663e-10,
raw,return_nonzero,real,20260911,0,1.0099589824676514,
raw,return_nonzero,real,20260911,1,1.038182258605957,
raw,return_nonzero,real,20260911,2,1.026418685913086,
raw,return_nonzero,real,20260911,5,1.0059255361557007,
raw,return_nonzero,real,20260911,10,0.9869076609611511,
raw,return_nonzero,real,20260911,25,0.7395340800285339,
raw,return_nonzero,real,20260911,50,0.02492196299135685,
raw,return_nonzero,real,20260911,100,0.0001846337108872831,
raw,return_nonzero,real,20260911,200,5.028646832272443e-09,
raw,return_nonzero,real,20260911,400,1.4944101511815688e-10,
raw,return_nonzero,real,20260912,0,1.0026273727416992,
raw,return_nonzero,real,20260912,1,1.063415765762329,
raw,return_nonzero,real,20260912,2,1.0114673376083374,
raw,return_nonzero,real,20260912,5,1.0019450187683105,
raw,return_nonzero,real,20260912,10,0.982681155204773,
raw,return_nonzero,real,20260912,25,0.7191052436828613,
raw,return_nonzero,real,20260912,50,0.1838884800672531,
raw,return_nonzero,real,20260912,100,0.0009398773545399308,
raw,return_nonzero,real,20260912,200,1.1387228369130753e-05,
raw,return_nonzero,real,20260912,400,1.6966332339052315e-08,
raw,joint_ohlcv,real,20260910,0,0.9999999403953552,1.378671407699585
raw,joint_ohlcv,real,20260910,1,0.9998011589050293,1.1547290086746216
raw,joint_ohlcv,real,20260910,2,0.9996125102043152,1.0923476219177246
raw,joint_ohlcv,real,20260910,5,0.998878002166748,1.0744996070861816
raw,joint_ohlcv,real,20260910,10,0.9960709810256958,1.0466673374176025
raw,joint_ohlcv,real,20260910,25,0.8348530530929565,1.050709843635559
raw,joint_ohlcv,real,20260910,50,0.06589808315038681,1.3313758373260498
raw,joint_ohlcv,real,20260910,100,0.00174167740624398,0.9869981408119202
raw,joint_ohlcv,real,20260910,200,0.00027981403400190175,0.7086831331253052
raw,joint_ohlcv,real,20260910,400,0.0008042817935347557,0.13095258176326752
raw,joint_ohlcv,real,20260911,0,0.9999999403953552,1.44545316696167
raw,joint_ohlcv,real,20260911,1,0.9998282194137573,1.1730972528457642
raw,joint_ohlcv,real,20260911,2,0.9996494650840759,1.1115237474441528
raw,joint_ohlcv,real,20260911,5,0.9988936185836792,1.0534073114395142
raw,joint_ohlcv,real,20260911,10,0.9961628913879395,1.0317294597625732
raw,joint_ohlcv,real,20260911,25,0.8777327537536621,0.9922933578491211
raw,joint_ohlcv,real,20260911,50,0.1420092135667801,1.207920789718628
raw,joint_ohlcv,real,20260911,100,0.002582572866231203,0.7625740170478821
raw,joint_ohlcv,real,20260911,200,0.0004615075304172933,0.2771005630493164
raw,joint_ohlcv,real,20260911,400,0.0005147095071151853,0.08909127861261368
raw,joint_ohlcv,real,20260912,0,0.9999999403953552,1.4062821865081787
raw,joint_ohlcv,real,20260912,1,0.999893307685852,1.1412688493728638
raw,joint_ohlcv,real,20260912,2,0.9997419714927673,1.0689029693603516
raw,joint_ohlcv,real,20260912,5,0.9993270635604858,1.0764573812484741
raw,joint_ohlcv,real,20260912,10,0.997531533241272,1.0362417697906494
