representation,variant,label_kind,runs,passes,minimum_final_mse,median_final_mse,maximum_final_mse
bits,joint_ohlcv,real,3,3,4.848211757096238e-05,0.00014237240198898028,0.0003428121918823846
bits,mlp,permuted,3,3,6.522560269672795e-16,1.9307472287621863e-15,2.34708086299662e-15
bits,mlp,real,3,3,2.4789198471708573e-15,3.524958103184872e-15,4.6091602756703764e-15
bits,return_nonzero,real,3,3,2.990836744931613e-14,8.503614479238308e-14,6.216072795384164e-12
bits,return_zero,real,3,3,1.6816409376119168e-14,1.8449513032661735e-06,0.0003177974777930012
continuous,joint_ohlcv,real,3,3,2.97171149535036e-05,9.102227155263418e-05,0.002227015315351744
continuous,mlp,permuted,3,3,9.731798700229888e-16,4.220582217051572e-15,5.113964807179627e-15
continuous,mlp,real,3,3,7.632783294297951e-16,8.708311849403572e-16,1.3270634591222574e-15
continuous,return_nonzero,real,3,3,1.1965261212387723e-09,1.2262131587892355e-09,1.3711552275530448e-09
continuous,return_zero,real,3,3,1.981921571303502e-14,5.121771062821523e-14,1.8444239191506284e-12
raw,joint_ohlcv,real,3,3,0.0005147094966964291,0.0008042817705715549,0.0019715443246636714
raw,mlp,permuted,3,3,1.1735768433440708e-09,3.3105499036567565e-09,2.247543283549064e-05
raw,mlp,real,3,3,5.464378949326942e-15,7.741479020481612e-05,0.0002617812567245405
raw,return_nonzero,real,3,3,1.494410220570508e-10,7.209874156033358e-10,1.6966333293150226e-08
raw,return_zero,real,3,3,2.329820364410651e-13,7.320574644055153e-05,0.00011088991312496396
