job,iteration,objective,gradient_inf,last_step,last_backtracks,gamma,gradient,hessian
learned_market_2021-03-31_20260910,0,0.6872847937021498,0.09848928089304579,0.0,0.0,,,
learned_market_2021-03-31_20260910,1,0.6578075039003555,0.003534727248834489,1.0,0.0,,,
learned_market_2021-03-31_20260910,2,0.6577479330290678,2.848551312582522e-05,1.0,0.0,,,
learned_market_2021-03-31_20260910,3,0.6577479292777172,1.9860288530924863e-09,1.0,0.0,,,
learned_market_2021-03-31_20260910,4,0.6577479292777171,4.1145472445824893e-17,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260910,0,0.6872847937021498,0.09848928089304579,0.0,0.0,,,
learned_vol_interaction_2021-03-31_20260910,1,0.6498400695183738,0.005322768502068828,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260910,2,0.6496484706997182,9.249432399873912e-05,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260910,3,0.6496484160458127,2.9410826258777223e-08,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260910,4,0.6496484160458074,2.911950194861568e-15,1.0,0.0,,,
learned_order_extension_2021-03-31_20260910,0,0.6872847937021498,0.09848928089304579,0.0,0.0,,,
learned_order_extension_2021-03-31_20260910,1,0.6498305960975413,0.0053307334055007665,1.0,0.0,,,
learned_order_extension_2021-03-31_20260910,2,0.6496384584526682,9.289922287636994e-05,1.0,0.0,,,
learned_order_extension_2021-03-31_20260910,3,0.6496384032890531,2.9739287765251712e-08,1.0,0.0,,,
learned_order_extension_2021-03-31_20260910,4,0.6496384032890478,2.987193825632062e-15,1.0,0.0,,,
learned_order_offset_2021-03-31_20260910,0,0.6468507604605213,,,,0.0,0.002122682723824855,0.22524306436047495
learned_order_offset_2021-03-31_20260910,1,0.6468407596598797,,,,-0.009423964861478494,-3.874251947742546e-07,0.22532176561010886
learned_order_offset_2021-03-31_20260910,2,0.6468407596595467,,,,-0.009422245430629347,-1.068410767843253e-14,0.22532175317957026
learned_market_2021-03-31_20260911,0,0.6872847937021498,0.09599487869356353,0.0,0.0,,,
learned_market_2021-03-31_20260911,1,0.642507803003212,0.005512606916364388,1.0,0.0,,,
learned_market_2021-03-31_20260911,2,0.6422948421473988,8.80086873736685e-05,1.0,0.0,,,
learned_market_2021-03-31_20260911,3,0.6422947921643529,2.3098236072308445e-08,1.0,0.0,,,
learned_market_2021-03-31_20260911,4,0.6422947921643497,1.566672139241554e-15,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260911,0,0.6872847937021498,0.09599487869356353,0.0,0.0,,,
learned_vol_interaction_2021-03-31_20260911,1,0.6423919131793328,0.005514060576480968,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260911,2,0.6421718400206096,9.045926226528163e-05,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260911,3,0.6421717825918242,2.6186450964886185e-08,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260911,4,0.6421717825918193,2.2536226357283695e-15,1.0,0.0,,,
learned_order_extension_2021-03-31_20260911,0,0.6872847937021498,0.09599487869356353,0.0,0.0,,,
learned_order_extension_2021-03-31_20260911,1,0.6414105633066853,0.0060260017380885265,1.0,0.0,,,
learned_order_extension_2021-03-31_20260911,2,0.6411237975385832,0.00013200421532977172,1.0,0.0,,,
learned_order_extension_2021-03-31_20260911,3,0.64112364098462,9.619398684069039e-08,1.0,0.0,,,
learned_order_extension_2021-03-31_20260911,4,0.6411236409845519,4.6374362683287984e-14,1.0,0.0,,,
learned_order_offset_2021-03-31_20260911,0,0.6383855345353592,,,,0.0,0.021035651896551356,0.21243639481390347
learned_order_offset_2021-03-31_20260911,1,0.6373409941237934,,,,-0.09902094184463453,9.770712690902522e-05,0.21025906828169805
learned_order_offset_2021-03-31_20260911,2,0.637340971421135,,,,-0.09948564059797496,3.025080187648438e-09,0.2102460445701238
learned_order_offset_2021-03-31_20260911,3,0.6373409714211348,,,,-0.09948565498626082,8.239936510889834e-18,0.2102460441664875
learned_market_2021-03-31_20260912,0,0.6872847937021498,0.09111119454195389,0.0,0.0,,,
learned_market_2021-03-31_20260912,1,0.6390635701599899,0.007708484439953287,1.0,0.0,,,
learned_market_2021-03-31_20260912,2,0.6384921050130699,0.00026471659538194504,1.0,0.0,,,
learned_market_2021-03-31_20260912,3,0.638491430827868,3.463404065818555e-07,1.0,0.0,,,
learned_market_2021-03-31_20260912,4,0.6384914308267703,5.761871015030895e-13,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260912,0,0.6872847937021498,0.09111119454195389,0.0,0.0,,,
learned_vol_interaction_2021-03-31_20260912,1,0.6390090451743581,0.0076039133127501525,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260912,2,0.6384532154372577,0.00026286671034483466,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260912,3,0.6384524896712556,3.8624408161972226e-07,1.0,0.0,,,
learned_vol_interaction_2021-03-31_20260912,4,0.6384524896694725,9.485949352405765e-13,1.0,0.0,,,
learned_order_extension_2021-03-31_20260912,0,0.6872847937021498,0.09111119454195389,0.0,0.0,,,
learned_order_extension_2021-03-31_20260912,1,0.6386664625433122,0.007647918355617156,1.0,0.0,,,
learned_order_extension_2021-03-31_20260912,2,0.6380981463992558,0.0002769045555696325,1.0,0.0,,,
learned_order_extension_2021-03-31_20260912,3,0.6380973724018757,4.303840130011338e-07,1.0,0.0,,,
learned_order_extension_2021-03-31_20260912,4,0.63809737239981,1.1567396346334746e-12,1.0,0.0,,,
learned_order_offset_2021-03-31_20260912,0,0.6361424871790635,,,,0.0,0.011914695917518,0.20212994058765968
learned_order_offset_2021-03-31_20260912,1,0.6357897490823565,,,,-0.05894572512552061,8.04716936743657e-05,0.19939153823828007
learned_order_offset_2021-03-31_20260912,2,0.6357897328432093,,,,-0.059349311428055676,3.7964162603529306e-09,0.19937272508525344
learned_order_offset_2021-03-31_20260912,3,0.6357897328432093,,,,-0.059349330469859206,1.0625181290357943e-17,0.19937272419765664
learned_market_2021-06-30_20260910,0,0.6873645620127283,0.09875510885030987,0.0,0.0,,,
learned_market_2021-06-30_20260910,1,0.6566451787784418,0.0033523215759825985,1.0,0.0,,,
learned_market_2021-06-30_20260910,2,0.6565898061537409,2.3349269430650882e-05,1.0,0.0,,,
