window,history,method,bin_index,n,mean_probability,observed_up
extension_2021_2023,annual_net_quarter_head,learned_market,0,0,,
extension_2021_2023,annual_net_quarter_head,learned_market,1,14,0.36780051666690344,0.5
extension_2021_2023,annual_net_quarter_head,learned_market,2,88,0.5074623122572082,0.4318181818181818
extension_2021_2023,annual_net_quarter_head,learned_market,3,45,0.6473404821822913,0.37777777777777777
extension_2021_2023,annual_net_quarter_head,learned_market,4,0,,
extension_2021_2023,annual_net_quarter_head,learned_order_extension,0,0,,
extension_2021_2023,annual_net_quarter_head,learned_order_extension,1,14,0.3588326477194904,0.5
extension_2021_2023,annual_net_quarter_head,learned_order_extension,2,92,0.5109050625404903,0.41304347826086957
extension_2021_2023,annual_net_quarter_head,learned_order_extension,3,41,0.6581252339533048,0.4146341463414634
extension_2021_2023,annual_net_quarter_head,learned_order_extension,4,0,,
extension_2021_2023,annual_net_quarter_head,learned_order_offset,0,0,,
extension_2021_2023,annual_net_quarter_head,learned_order_offset,1,13,0.3560272322020221,0.46153846153846156
extension_2021_2023,annual_net_quarter_head,learned_order_offset,2,93,0.5100338641623609,0.41935483870967744
extension_2021_2023,annual_net_quarter_head,learned_order_offset,3,41,0.6577781367326477,0.4146341463414634
extension_2021_2023,annual_net_quarter_head,learned_order_offset,4,0,,
extension_2021_2023,annual_net_quarter_head,learned_vol_interaction,0,0,,
extension_2021_2023,annual_net_quarter_head,learned_vol_interaction,1,12,0.3537702108832934,0.5833333333333334
extension_2021_2023,annual_net_quarter_head,learned_vol_interaction,2,88,0.5048406588390753,0.42045454545454547
extension_2021_2023,annual_net_quarter_head,learned_vol_interaction,3,47,0.6523934124698768,0.3829787234042553
extension_2021_2023,annual_net_quarter_head,learned_vol_interaction,4,0,,
extension_2021_2023,annual_net_quarter_head,training_frequency,0,0,,
extension_2021_2023,annual_net_quarter_head,training_frequency,1,0,,
extension_2021_2023,annual_net_quarter_head,training_frequency,2,147,0.5304870837535175,0.4217687074829932
extension_2021_2023,annual_net_quarter_head,training_frequency,3,0,,
extension_2021_2023,annual_net_quarter_head,training_frequency,4,0,,
extension_2021_2023,annual_quarter_half,learned_market,0,0,,
extension_2021_2023,annual_quarter_half,learned_market,1,11,0.3707472789964349,0.5454545454545454
extension_2021_2023,annual_quarter_half,learned_market,2,92,0.4997125049608108,0.43478260869565216
extension_2021_2023,annual_quarter_half,learned_market,3,44,0.6501722663505148,0.36363636363636365
extension_2021_2023,annual_quarter_half,learned_market,4,0,,
extension_2021_2023,annual_quarter_half,learned_order_extension,0,0,,
extension_2021_2023,annual_quarter_half,learned_order_extension,1,13,0.3690632586142616,0.46153846153846156
extension_2021_2023,annual_quarter_half,learned_order_extension,2,92,0.5002950330048765,0.41304347826086957
extension_2021_2023,annual_quarter_half,learned_order_extension,3,42,0.6582196644159788,0.42857142857142855
extension_2021_2023,annual_quarter_half,learned_order_extension,4,0,,
extension_2021_2023,annual_quarter_half,learned_order_offset,0,0,,
extension_2021_2023,annual_quarter_half,learned_order_offset,1,12,0.36738630872455774,0.4166666666666667
extension_2021_2023,annual_quarter_half,learned_order_offset,2,95,0.5016868764989284,0.43157894736842106
extension_2021_2023,annual_quarter_half,learned_order_offset,3,40,0.6603343196034888,0.4
extension_2021_2023,annual_quarter_half,learned_order_offset,4,0,,
extension_2021_2023,annual_quarter_half,learned_vol_interaction,0,0,,
extension_2021_2023,annual_quarter_half,learned_vol_interaction,1,12,0.3689137991130866,0.5
extension_2021_2023,annual_quarter_half,learned_vol_interaction,2,91,0.5006489380955677,0.42857142857142855
extension_2021_2023,annual_quarter_half,learned_vol_interaction,3,44,0.6518867124035927,0.38636363636363635
extension_2021_2023,annual_quarter_half,learned_vol_interaction,4,0,,
