encoder_cutoff,seed,new_rows,source_features_exact,new_features_exact,network_unchanged
2020-12-31,20260910,146,True,True,True
2020-12-31,20260911,146,True,True,True
2020-12-31,20260912,146,True,True,True
2021-12-31,20260910,147,True,True,True
2021-12-31,20260911,147,True,True,True
2021-12-31,20260912,147,True,True,True
2022-12-31,20260910,147,True,True,True
2022-12-31,20260911,147,True,True,True
2022-12-31,20260912,147,True,True,True
2023-12-31,20260910,147,True,True,True
2023-12-31,20260911,147,True,True,True
2023-12-31,20260912,147,True,True,True
2024-12-31,20260910,148,True,True,True
2024-12-31,20260911,148,True,True,True
2024-12-31,20260912,148,True,True,True
2025-12-31,20260910,95,True,True,True
2025-12-31,20260911,95,True,True,True
2025-12-31,20260912,95,True,True,True
