job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
learned_market_2021-03-31_20260910,L-BFGS-B,True,77,8.03247227620929e-08,2.3314683517128287e-15,8.914419649067723e-09,
learned_vol_interaction_2021-03-31_20260910,L-BFGS-B,True,84,9.741347450908933e-08,2.7755575615628914e-15,1.7466634778936715e-08,
learned_order_extension_2021-03-31_20260910,L-BFGS-B,True,83,1.6135165303854393e-07,9.2148511043888e-15,3.466014417662089e-08,
learned_order_offset_2021-03-31_20260910,brentq,True,8,,0.0,1.2160004990782736e-15,5.278590065049826e-14
learned_market_2021-03-31_20260911,L-BFGS-B,True,81,1.5385930696165673e-07,4.9960036108132044e-15,7.346140239736579e-09,
learned_vol_interaction_2021-03-31_20260911,L-BFGS-B,True,79,1.3823982969451976e-07,8.881784197001252e-15,3.53085588487281e-08,
learned_order_extension_2021-03-31_20260911,L-BFGS-B,True,80,8.126474437819553e-08,5.10702591327572e-15,1.4773229104012714e-08,
learned_order_offset_2021-03-31_20260911,brentq,True,11,,0.0,4.336808689942018e-19,4.163336342344337e-17
learned_market_2021-03-31_20260912,L-BFGS-B,True,72,7.08209850763808e-08,2.1094237467877974e-15,7.407555353399625e-09,
learned_vol_interaction_2021-03-31_20260912,L-BFGS-B,True,70,7.08795193649081e-08,2.220446049250313e-15,6.168647750590117e-09,
learned_order_extension_2021-03-31_20260912,L-BFGS-B,True,74,6.885944581203063e-08,1.4432899320127035e-15,6.911351372117751e-09,
learned_order_offset_2021-03-31_20260912,brentq,True,10,,1.1102230246251565e-16,1.9212062496443139e-16,1.0130785099704553e-15
learned_market_2021-06-30_20260910,L-BFGS-B,True,80,7.352620501333007e-08,1.9984014443252818e-15,1.431546315955887e-08,
learned_vol_interaction_2021-06-30_20260910,L-BFGS-B,True,83,8.449249011555082e-08,3.552713678800501e-15,7.170948238151547e-09,
learned_order_extension_2021-06-30_20260910,L-BFGS-B,True,78,3.487473004826214e-08,6.661338147750939e-16,4.681194817630213e-09,
learned_order_offset_2021-06-30_20260910,brentq,True,9,,0.0,1.8973538018496328e-19,1.0323339405537979e-13
learned_market_2021-06-30_20260911,L-BFGS-B,True,83,5.7088564042739876e-08,9.992007221626409e-16,9.697063380249317e-09,
learned_vol_interaction_2021-06-30_20260911,L-BFGS-B,True,87,7.312441563378513e-08,2.7755575615628914e-15,7.715686140127506e-09,
learned_order_extension_2021-06-30_20260911,L-BFGS-B,True,82,6.085954346035649e-08,1.4432899320127035e-15,8.43979239967263e-09,
learned_order_offset_2021-06-30_20260911,brentq,True,11,,1.1102230246251565e-16,1.8214596497756474e-17,1.6653345369377348e-16
learned_market_2021-06-30_20260912,L-BFGS-B,True,75,7.632874032825754e-08,2.3314683517128287e-15,4.6777105301189226e-09,
