cutoff,iteration,log_likelihood,mean_negative_log_likelihood,gradient_inf,variance0,variance1,stay0,stay1
2014-12-31,0,3506.3087818862336,-2.895382974307377,0.04702853195913432,9.284151897534255e-05,0.0003713660759013702,0.97,0.97
2014-12-31,1,3516.6932222511127,-2.9039580695715217,0.0165436194184343,0.0001070487934169429,0.0003111043282421269,0.9726700355475775,0.9568936519874394
2014-12-31,2,3517.5140189028693,-2.904635853759595,0.008438955691599657,0.00011268212365117836,0.0003093168882422728,0.9731749282351609,0.9549494459645651
2014-12-31,3,3517.8629974765245,-2.904924027643703,0.005714153173033101,0.00011561943151901254,0.0003143683929150287,0.9743224904046909,0.9532539607813039
2014-12-31,4,3518.1062995758175,-2.905124937717438,0.004471650215650552,0.00011760668351764973,0.00032076222093842445,0.9753715361545593,0.9515789130829698
2014-12-31,5,3518.289332712173,-2.9052760798614146,0.0036995155638488058,0.00011915297596168025,0.00032719103397675474,0.9762050945433424,0.9498679056454186
2014-12-31,6,3518.4298476175936,-2.9053921119881037,0.0031143685434930116,0.0001204243078435789,0.0003333117755625126,0.976838160946374,0.9481143080635769
2014-12-31,7,3518.538884235768,-2.905482150483706,0.0026309776042097695,0.00012148840919746346,0.0003390279495119772,0.9773065963242803,0.9463339797928041
2014-12-31,8,3518.6240237822963,-2.905552455641863,0.0022195420928096277,0.00012238278008431586,0.0003443073163617993,0.977643546198624,0.9445502007654389
2014-12-31,9,3518.6907784236346,-2.905607579210268,0.0018665904650810468,0.00012313393704648635,0.0003491395455996666,0.9778757770165153,0.9427856472951723
2014-12-31,10,3518.7433423557923,-2.9056509846042875,0.0015639727870685267,0.0001237631994407382,0.00035352830450225824,0.9780242957532418,0.9410585977289246
2014-12-31,11,3518.7849895100576,-2.9056853753179666,0.001305521924636123,0.00012428866150589044,0.00035748944041508147,0.9781055966704941,0.9393817080183668
2014-12-31,12,3518.8182904091273,-2.9057128739959763,0.0011195065906716521,0.00012472598871357763,0.00036104882615640104,0.97813274394668,0.9377622560285442
2014-12-31,13,3518.8452494341045,-2.905735135783736,0.0009787936466786747,0.0001250888043702248,0.0003642393550070549,0.9781161838426485,0.9362030812467114
2014-12-31,14,3518.8674104151855,-2.9057534355203845,0.0008593820334609401,0.00012538892167893078,0.0003670977722606942,0.9780643316681353,0.9347037177770604
2014-12-31,15,3518.8859474331052,-2.905768742719327,0.0007586265743158246,0.0001256365200410092,0.00036966193298158725,0.9779839974158135,0.9332614442842019
2014-12-31,16,3518.901744129766,-2.9057817870600875,0.0006739785544738106,0.00012584030526677098,0.0003719687501133108,0.9778807014976503,0.9318721353313492
2014-12-31,17,3518.9154610074393,-2.905793113961552,0.0006030882420931359,0.00012600766688876684,0.00037405284839563027,0.977758916029149,0.9305308939345834
2014-12-31,18,3518.927590354752,-2.905803129937863,0.0005438574283285617,0.00012614483377339518,0.0003759458118378246,0.9776222544988027,0.9292324909305196
2014-12-31,19,3518.9384995032533,-2.905812138318128,0.0004944553959630414,0.00012625702472281172,0.00037767587336862244,0.9774736242004076,0.9279716519860578
2014-12-31,20,3518.948463924618,-2.9058203665768936,0.00045331148673942337,0.00012634859004536034,0.0003792679041049282,0.9773153505770722,0.9267432327097198
2014-12-31,21,3518.957692006025,-2.9058279867927537,0.0004190945646238479,0.00012642314098731668,0.0003807435875215839,0.9771492795290856,0.9255423156916149
2014-12-31,22,3518.9663433065202,-2.9058351307237986,0.000390686481932304,0.0001264836652761523,0.00038212169464683807,0.976976861925494,0.924364255314787
2014-12-31,23,3518.974541869018,-2.9058419008001803,0.0003671540230718394,0.0001265326282651717,0.00038341840319611626,0.9767992234776443,0.923204688992388
2014-12-31,24,3518.9823858682958,-2.905848378091078,0.0003477219028428544,0.00012657206009224735,0.0003846476242288179,0.9766172224533245,0.922059527768611
2014-12-31,25,3518.9899545878807,-2.9058546280659625,0.00033174813759611406,0.00012660362985474077,0.0003858213147293444,0.97643149724932,0.9209249349790102
2014-12-31,26,3518.997313471387,-2.9058607047658027,0.00031870232498734007,0.00012662870811634428,0.0003869497645670751,0.9762425055009262,0.9197972986532331
2014-12-31,27,3519.0045177957622,-2.9058666538363025,0.0003081469112039832,0.00012664841917550167,0.00038804185279251314,0.9760505561393822,0.918673201269101
2014-12-31,28,3519.011615362261,-2.9058725147500093,0.0002997212779287155,0.00012666368450819161,0.0003891052722271171,0.9758558355872679,0.9175493890730738
2014-12-31,29,3519.018648488383,-2.9058783224511835,0.00029312836430563186,0.00012667525870387123,0.00039014672361364005,0.9756584290950431,0.9164227422652278
2014-12-31,30,3519.0256555021233,-2.905884108589697,0.0002881234984818295,0.0001266837590802904,0.0003911720818007602,0.9754583380623526,0.9152902467569655
2014-12-31,31,3519.0326718810998,-2.905889902461684,0.00028450511504475606,0.0001266896900157276,0.0003921865369494393,0.9752554940514063,0.9141489678403748
