job,method,cutoff,seed,split,n,interaction_coefficient,raw_product_coefficient,interaction_feature_mean,interaction_feature_std,refitted_additive_mean,interaction_logit_mean,interaction_logit_std,total_logit_mean
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,training,1077,0.006893672855046585,0.021682637359718062,-4.123390992108288e-19,1.0,-0.038381763345093085,6.4427984251692e-21,0.006893672855046584,-0.038381763345093085
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,validation,22,0.006893672855046585,0.021682637359718062,-0.5381491714896834,0.6311798391596116,0.13511647192582066,-0.0037098243354642397,0.004351147323867284,0.1314066475903564
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,training,1077,-0.013291594899697928,-0.043003473127429366,-1.649356396843315e-17,0.9999999999999999,-0.0320942951103909,2.319407433060912e-19,0.013291594899697926,-0.032094295110390914
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,validation,22,-0.013291594899697928,-0.043003473127429366,-0.7395223395329176,1.0979835564425826,0.2246024148906743,0.009829431356348405,0.014593952638764422,0.2344318462470227
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,training,1077,-0.056840931528854326,-0.19450959304577978,9.896138381059891e-18,1.0,-0.03063489115664302,-7.2159342361895035e-19,0.05684093152885433,-0.030634891156643036
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,validation,22,-0.056840931528854326,-0.19450959304577978,-0.35977156557720114,0.7464102177971745,0.30239695438719033,0.020449750925002418,0.04242665208224644,0.3228467053121928
learned_hmm_interaction_2015-12-31_20260910,learned_hmm_interaction,2015-12-31,20260910,training,1190,0.01710967572889692,0.07694701046340004,-3.284021047630715e-17,1.0,0.01183932489827733,-2.3324013122377237e-19,0.01710967572889692,0.011839324898277317
learned_hmm_interaction_2015-12-31_20260910,learned_hmm_interaction,2015-12-31,20260910,validation,48,0.01710967572889692,0.07694701046340004,-0.4905071330246679,1.545154282102275,-0.14309033968881288,-0.008392417988762972,0.02643708871788644,-0.15148275767757588
learned_hmm_interaction_2015-12-31_20260911,learned_hmm_interaction,2015-12-31,20260911,training,1190,-0.03962185480550521,-0.2088096626871354,-3.582568415597144e-17,1.0,0.018454391145894648,3.7318420995803583e-19,0.03962185480550521,0.01845439114589464
learned_hmm_interaction_2015-12-31_20260911,learned_hmm_interaction,2015-12-31,20260911,validation,48,-0.03962185480550521,-0.2088096626871354,-0.18712405009836805,0.9983857810064213,-0.14806766249893666,0.007414201943615622,0.03955789645491735,-0.14065346055532105
