cutoff,end,train_n,test_n,training_end_anchor,test_end_anchor,daily_training_steps,missing_training,daily_test_steps,missing_test,last_train_date,last_test_date
2014-12-31,2015-12-31,1077,22,1211,1455,1211,0,244,2,2014-12-31,2015-12-31
2015-12-31,2016-12-31,1190,48,1455,1699,1455,2,244,0,2015-12-31,2016-12-30
2016-12-31,2017-12-31,1434,50,1699,1943,1699,2,244,0,2016-12-30,2017-12-29
2017-12-31,2018-12-31,1678,49,1943,2186,1943,2,243,0,2017-12-29,2018-12-28
2018-12-31,2019-12-31,1921,46,2186,2430,2186,2,244,0,2018-12-28,2019-12-31
2019-12-31,2020-12-31,2165,46,2430,2673,2430,2,243,0,2019-12-31,2020-12-31
