window,partition,state,method,sparse,sample_share,brier_difference_vs_frequency,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
early_2015_2017,hmm_bucket,low_probability,native_mse,False,0.7666666666666667,,92,0.4891304347826087,0.5108695652173914,45,0.4817307692307692,0.5543478260869565,0.5652173913043478,28,17,23,24,0.49567307692307694,,,,,,
early_2015_2017,hmm_bucket,low_probability,learned_probe,False,0.7666666666666667,0.009468411779949393,92,0.5217391304347826,0.4782608695652174,48,0.5163461538461538,0.5434782608695652,0.5652173913043478,29,19,21,23,0.520673076923077,0.25882598739892865,0.7112917756464907,0.49815025290894155,0.1197177378293367,-0.06706713839540623,0.0
early_2015_2017,hmm_bucket,low_probability,learned_clip,False,0.7666666666666667,0.010003876027313174,92,0.5217391304347826,0.4782608695652174,48,0.5163461538461538,0.5434782608695652,0.5652173913043478,29,19,21,23,0.5197115384615385,0.25936145164629243,0.7123911379718054,0.4972799390066166,0.12009094325848677,-0.06793745229773118,0.0
early_2015_2017,hmm_bucket,low_probability,raw25_probe,False,0.7666666666666667,0.02777851692311817,92,0.4673913043478261,0.532608695652174,43,0.5230769230769231,0.07608695652173914,0.5652173913043478,5,38,2,47,0.49759615384615385,0.2771360925420974,0.7513524387356394,0.3978804247284868,0.0919675146759411,-0.167336966575861,0.0
early_2015_2017,hmm_bucket,low_probability,raw25_clip,False,0.7666666666666667,0.02450886093998056,92,0.4673913043478261,0.532608695652174,43,0.5230769230769231,0.07608695652173914,0.5652173913043478,5,38,2,47,0.5004807692307692,0.2738664365589598,0.7436405825498958,0.40526768175807254,0.0917077330115276,-0.15994970954627524,0.0
early_2015_2017,hmm_bucket,low_probability,training_frequency,False,0.7666666666666667,0.0,92,0.5652173913043478,0.43478260869565216,52,0.5,1.0,0.5652173913043478,52,0,40,0,0.49423076923076925,0.24935757561897925,0.6918622715833558,0.5053244728853883,0.0017992368503336681,-0.059892918418959495,0.0
early_2015_2017,hmm_bucket,low_probability,neutral_50,False,0.7666666666666667,0.0006424243810207453,92,0.43478260869565216,0.5652173913043478,40,0.5,0.0,0.5652173913043478,0,40,0,52,0.5,0.25,0.6931471805599454,0.5,0.0,-0.06521739130434778,0.0
early_2015_2017,hmm_bucket,low_probability,learned_market,False,0.7666666666666667,0.017712493185699896,92,0.4891304347826087,0.5108695652173914,45,0.5076923076923077,0.358695652173913,0.5652173913043478,19,26,14,33,0.5326923076923077,0.26707006880467915,0.7288839756679978,0.4425186788295133,0.12331282914994933,-0.12269871247483449,0.0
early_2015_2017,hmm_bucket,low_probability,raw_trend,False,0.7666666666666667,0.024857511758165196,92,0.4673913043478261,0.532608695652174,43,0.5086538461538461,0.18478260869565216,0.5652173913043478,10,33,7,42,0.48701923076923076,0.27421508737714445,0.7436475186530082,0.4263510087716394,0.10165869928965922,-0.1388663825327084,0.0
early_2015_2017,hmm_bucket,low_probability,market4,False,0.7666666666666667,0.017162081895515047,92,0.4782608695652174,0.5217391304347826,44,0.5326923076923077,0.08695652173913043,0.5652173913043478,6,38,2,46,0.4427884615384615,0.2665196575144943,0.7269799394921139,0.43816374590425794,0.06270401839513497,-0.12705364540008984,0.0
early_2015_2017,hmm_bucket,low_probability,learned_vol_interaction,False,0.7666666666666667,0.015504973271645905,92,0.45652173913043476,0.5434782608695652,42,0.47307692307692306,0.3695652173913043,0.5652173913043478,18,24,16,34,0.5365384615384615,0.26486254889062516,0.7249637181381823,0.4502780780456558,0.1305309163368868,-0.114939313258692,0.0
early_2015_2017,hmm_bucket,low_probability,raw_vol_interaction,False,0.7666666666666667,0.018014220078807763,92,0.45652173913043476,0.5434782608695652,42,0.49903846153846154,0.17391304347826086,0.5652173913043478,9,33,7,43,0.47836538461538464,0.267371795697787,0.7280498043306337,0.4380880546211285,0.09234673885349144,-0.1271293366832193,0.0
early_2015_2017,hmm_bucket,low_probability,learned_recent_additive,False,0.7666666666666667,0.0030336857571074405,92,0.5434782608695652,0.45652173913043476,50,0.5326923076923077,0.5869565217391305,0.5652173913043478,32,18,22,20,0.5673076923076923,0.2523912613760867,0.7001038243480763,0.515369520638577,0.150451502175648,-0.04984787066577079,0.0
