method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
hmm_only,2015,22,0.5,0.5,11,0.5085470085470085,0.45454545454545453,0.5909090909090909,6,5,4,7,0.6068376068376068,0.24855330409529144,0.6902438800294824,0.49320845913455463,0.021975053916558476,-0.0977006317745363,0.0
hmm_only,2016,48,0.4166666666666667,0.5833333333333334,20,0.44405594405594406,0.16666666666666666,0.5416666666666666,3,17,5,23,0.43356643356643354,0.2549202177778691,0.7031158847549118,0.5066836496194767,0.03410019868626343,-0.03498301704718998,0.0
hmm_only,2017,50,0.56,0.44,28,0.5,1.0,0.56,28,0,22,0,0.45454545454545453,0.24990592143984325,0.6929590316661991,0.5013812493629944,0.0006674962522568101,-0.05861875063700561,0.0
hmm_only,2018,49,0.42857142857142855,0.5714285714285714,21,0.5,1.0,0.42857142857142855,21,0,28,0,0.4574829931972789,0.2551780886395545,0.7035333656134967,0.521403347060433,0.012334042472714461,0.09283191848900446,0.0
hmm_only,2019,46,0.6521739130434783,0.34782608695652173,30,0.5,1.0,0.6521739130434783,30,0,16,0,0.4979166666666667,0.2481972811483016,0.6895441373396148,0.5104328116831481,0.011080125870134898,-0.14174110136033014,0.0
hmm_only,2020,46,0.6086956521739131,0.391304347826087,28,0.5,1.0,0.6086956521739131,28,0,18,0,0.4662698412698413,0.24691648428021945,0.686979483342093,0.5223998324732948,0.011473504451318789,-0.08629581970061828,0.0
learned_clip,2015,22,0.5454545454545454,0.45454545454545453,12,0.5470085470085471,0.5,0.5909090909090909,7,5,4,6,0.41025641025641024,0.2764324281881353,0.7477908555381386,0.48870372579197013,0.0854905541216708,-0.1022053651171208,0.0
learned_clip,2016,48,0.5,0.5,24,0.5,0.5,0.5416666666666666,13,11,11,13,0.506993006993007,0.26169337739409404,0.7166418173975592,0.4855942060101604,0.10915205514698398,-0.05607246065650623,0.0
learned_clip,2017,50,0.54,0.46,27,0.5308441558441558,0.58,0.56,17,10,12,11,0.5113636363636364,0.257472852004824,0.7089548314382309,0.5079447805080918,0.12541654919218861,-0.05205521949190828,0.0
learned_clip,2018,49,0.5918367346938775,0.40816326530612246,29,0.6309523809523809,0.7551020408163265,0.42857142857142855,19,10,18,2,0.6377551020408163,0.2439788112706951,0.6810785399505127,0.5420971227355562,0.07400012938530845,0.11352569416412767,0.0
