job,iteration,objective,gradient_inf,last_step,last_backtracks
learned_hmm_interaction_2017-12-31_20260912,2,0.6424245200106894,0.000418400336215558,1.0,0
learned_hmm_interaction_2017-12-31_20260912,3,0.6424235972180528,1.572823398519321e-06,1.0,0
learned_hmm_interaction_2017-12-31_20260912,4,0.6424235972075907,1.898726965585129e-11,1.0,0
learned_hmm_interaction_2018-12-31_20260910,0,0.6928966339915423,0.11867653738451778,0.0,0
learned_hmm_interaction_2018-12-31_20260910,1,0.6318702537837809,0.010099383415367388,1.0,0
learned_hmm_interaction_2018-12-31_20260910,2,0.631247974054363,0.0002972216110201636,1.0,0
learned_hmm_interaction_2018-12-31_20260910,3,0.6312472620312244,6.299312016832918e-07,1.0,0
learned_hmm_interaction_2018-12-31_20260910,4,0.6312472620290669,3.3744628185478076e-12,1.0,0
learned_hmm_interaction_2018-12-31_20260911,0,0.6928966339915423,0.09205481775256984,0.0,0
learned_hmm_interaction_2018-12-31_20260911,1,0.646616015295743,0.005631592270229143,1.0,0
learned_hmm_interaction_2018-12-31_20260911,2,0.6463892692665484,8.168594950410226e-05,1.0,0
learned_hmm_interaction_2018-12-31_20260911,3,0.6463892156487023,2.0797870277919957e-08,1.0,0
learned_hmm_interaction_2018-12-31_20260911,4,0.6463892156486981,3.5506536946727785e-15,1.0,0
learned_hmm_interaction_2018-12-31_20260912,0,0.6928966339915423,0.10196627937751125,0.0,0
learned_hmm_interaction_2018-12-31_20260912,1,0.6495339940137004,0.005553103580681382,1.0,0
learned_hmm_interaction_2018-12-31_20260912,2,0.6493368151021109,8.115127801568557e-05,1.0,0
learned_hmm_interaction_2018-12-31_20260912,3,0.6493367730814162,1.947468738941298e-08,1.0,0
learned_hmm_interaction_2018-12-31_20260912,4,0.6493367730814139,1.1191134824395377e-15,1.0,0
learned_hmm_interaction_2019-12-31_20260910,0,0.6922242824846752,0.09167190988995952,0.0,0
learned_hmm_interaction_2019-12-31_20260910,1,0.6509340065211889,0.005203141880369821,1.0,0
learned_hmm_interaction_2019-12-31_20260910,2,0.650761038338533,6.642276924517668e-05,1.0,0
learned_hmm_interaction_2019-12-31_20260910,3,0.6507610045288743,2.0662725399504638e-08,1.0,0
