job,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf,alternate_success,alternate_iterations,alternate_message
learned_hmm_interaction_2014-12-31_20260910,1.1102230246251565e-15,4.3220767853568987e-08,4.8939177354698216e-09,True,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2014-12-31_20260911,2.3314683517128287e-15,6.947756719943854e-08,8.696752320461881e-09,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2014-12-31_20260912,1.3322676295501878e-15,6.46146235405709e-08,4.618272363490772e-09,True,58,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2015-12-31_20260910,6.661338147750939e-16,3.45779591626183e-08,3.2660070728614266e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2015-12-31_20260911,2.2648549702353193e-14,1.7339121805015623e-07,1.217216068433516e-08,True,77,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2015-12-31_20260912,2.3314683517128287e-15,9.381733701019357e-08,1.4165780320898186e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2016-12-31_20260910,9.992007221626409e-16,4.51052456496015e-08,6.509768531517968e-09,True,80,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2016-12-31_20260911,2.220446049250313e-15,6.338593228072398e-08,5.1977166946035915e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2016-12-31_20260912,2.1094237467877974e-15,8.182561872516203e-08,1.1776769737138412e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2017-12-31_20260910,1.7763568394002505e-15,8.399953405069382e-08,9.546780801224924e-09,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2017-12-31_20260911,2.55351295663786e-15,1.5611012127436652e-07,1.9495880458115936e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_hmm_interaction_2017-12-31_20260912,1.4432899320127035e-15,6.382589712305986e-08,6.249931233572731e-09,True,82,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
