cutoff,training_steps,heldout_steps,log_likelihood_gap,log_domain_train_probability_gap,log_domain_future_probability_gap,alternate_objective_gap,alternate_gradient_inf,alternate_probability_gap,alternate_success,alternate_iterations,alternate_message,prefix_checks
2014-12-31,1211,244,4.411049303598702e-11,2.9332092310596636e-13,2.9531932455029164e-14,0.0,9.907452002671919e-08,2.9332092310596636e-13,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3
2015-12-31,1455,244,2.6830093702301383e-11,5.730971253115058e-13,5.6288307348495437e-14,2.014832745089734e-12,1.9940307969283982e-08,8.502953042555106e-06,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3
2016-12-31,1699,244,1.0368239600211382e-10,7.462919171530302e-13,5.562217353372034e-14,3.0055957722652238e-12,7.802447172745097e-08,1.2636767848683839e-05,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3
2017-12-31,1943,243,2.0736479200422764e-10,8.095746295566641e-13,6.905587213168474e-14,4.404476783292921e-12,6.943272424159036e-08,2.6446746904218443e-05,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3
2018-12-31,2186,244,1.6279955161735415e-10,6.609157665593557e-13,5.562217353372034e-14,3.913758206408602e-12,1.860918082583002e-08,1.9476863103107256e-05,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3
2019-12-31,2430,243,1.7826096154749393e-10,1.5679679776781086e-12,6.039613253960852e-14,3.155253835984695e-12,5.5217410549331106e-11,2.0063674689319022e-05,True,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3
