inner_cutoff,row_index,date,joint_completed,training_mean,training_sd,source
2014-12-31,1087,2015-01-09,2015-01-19,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1092,2015-01-16,2015-01-26,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1097,2015-01-23,2015-02-02,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1102,2015-01-30,2015-02-09,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1107,2015-02-06,2015-02-16,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1112,2015-02-13,2015-03-02,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1117,2015-02-27,2015-03-09,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1122,2015-03-06,2015-03-16,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1127,2015-03-13,2015-03-23,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1131,2015-09-25,2015-10-12,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1136,2015-10-09,2015-10-19,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1141,2015-10-16,2015-10-26,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1146,2015-10-23,2015-11-02,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1151,2015-10-30,2015-11-09,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1156,2015-11-06,2015-11-16,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1161,2015-11-13,2015-11-23,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1166,2015-11-20,2015-11-30,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1171,2015-11-27,2015-12-07,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1176,2015-12-04,2015-12-14,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1181,2015-12-11,2015-12-21,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1186,2015-12-18,2015-12-28,0.001409087946604964,0.030752641437156635,new_inner_fit
2014-12-31,1191,2015-12-25,2016-01-11,0.001409087946604964,0.030752641437156635,new_inner_fit
2015-12-31,1200,2016-01-08,2016-01-18,0.0025985308636134715,0.0317801454880759,new_inner_fit
2015-12-31,1205,2016-01-15,2016-01-25,0.0025985308636134715,0.0317801454880759,new_inner_fit
2015-12-31,1210,2016-01-22,2016-02-01,0.0025985308636134715,0.0317801454880759,new_inner_fit
2015-12-31,1215,2016-01-29,2016-02-15,0.0025985308636134715,0.0317801454880759,new_inner_fit
2015-12-31,1220,2016-02-05,2016-02-22,0.0025985308636134715,0.0317801454880759,new_inner_fit
2015-12-31,1225,2016-02-19,2016-02-29,0.0025985308636134715,0.0317801454880759,new_inner_fit
2015-12-31,1230,2016-02-26,2016-03-07,0.0025985308636134715,0.0317801454880759,new_inner_fit
