date,inner_cutoff,row_index,joint_completed,training_mean,source,predicted_return,actual
2015-01-09,2014-12-31,1087,2015-01-19,0.0014090879466049,new_inner_fit,0.006130419753378,-0.0332718865301244
2015-01-16,2014-12-31,1092,2015-01-26,0.0014090879466049,new_inner_fit,0.0056659907759365,0.0486553935108566
2015-01-23,2014-12-31,1097,2015-02-02,0.0014090879466049,new_inner_fit,0.0048195159106958,-0.0614309017574828
2015-01-30,2014-12-31,1102,2015-02-09,0.0014090879466049,new_inner_fit,0.004778711548994,-0.0162074168424999
2015-02-06,2014-12-31,1107,2015-02-16,0.0014090879466049,new_inner_fit,0.0041269373040203,0.0506877452181515
2015-02-13,2014-12-31,1112,2015-03-02,0.0014090879466049,new_inner_fit,0.0013200248263975,0.0374745558245928
2015-02-27,2014-12-31,1117,2015-03-09,0.0014090879466049,new_inner_fit,0.0020706943334187,-0.0426674436997877
2015-03-06,2014-12-31,1122,2015-03-16,0.0014090879466049,new_inner_fit,0.0069408181183289,0.0556773052729222
2015-03-13,2014-12-31,1127,2015-03-23,0.0014090879466049,new_inner_fit,0.0062110282362207,0.0772454053935312
2015-09-25,2014-12-31,1131,2015-10-12,0.0014090879466049,new_inner_fit,-0.0038931423811557,0.0385946860637014
2015-10-09,2014-12-31,1136,2015-10-19,0.0014090879466049,new_inner_fit,-0.0030891223081947,0.0590276741646125
2015-10-16,2014-12-31,1141,2015-10-26,0.0014090879466049,new_inner_fit,-0.0032776193729505,0.0185266064610658
2015-10-23,2014-12-31,1146,2015-11-02,0.0014090879466049,new_inner_fit,-0.0036966851117639,-0.0347110410269178
2015-10-30,2014-12-31,1151,2015-11-09,0.0014090879466049,new_inner_fit,-0.0031032467829454,0.0880280176428611
2015-11-06,2014-12-31,1156,2015-11-16,0.0014090879466049,new_inner_fit,-0.003034798275909,-0.0299337790210675
2015-11-13,2014-12-31,1161,2015-11-23,0.0014090879466049,new_inner_fit,0.0030165518001066,0.0248999386326485
2015-11-20,2014-12-31,1166,2015-11-30,0.0014090879466049,new_inner_fit,0.0048430366932852,-0.0581675692288128
2015-11-27,2014-12-31,1171,2015-12-07,0.0014090879466049,new_inner_fit,0.0020017822921191,0.0356382335318392
2015-12-04,2014-12-31,1176,2015-12-14,0.0014090879466049,new_inner_fit,0.0019016679416896,-0.0292537443162989
2015-12-11,2014-12-31,1181,2015-12-21,0.0014090879466049,new_inner_fit,0.0039308677666932,0.0526654504348214
2015-12-18,2014-12-31,1186,2015-12-28,0.0014090879466049,new_inner_fit,0.0016516231719795,0.0227080619866564
2015-12-25,2014-12-31,1191,2016-01-11,0.0014090879466049,new_inner_fit,0.0004768966425458,-0.1414959727409533
2016-01-08,2015-12-31,1200,2016-01-18,0.0025985308636134,new_inner_fit,-0.0033610858023985,-0.0711115551357504
2016-01-15,2015-12-31,1205,2016-01-25,0.0025985308636134,new_inner_fit,0.0041300512810323,0.0198159851119374
2016-01-22,2015-12-31,1210,2016-02-01,0.0025985308636134,new_inner_fit,0.0093455197633078,-0.0607184974257198
2016-01-29,2015-12-31,1215,2016-02-15,0.0025985308636134,new_inner_fit,0.0052637734140527,-0.0172199085415646
2016-02-05,2015-12-31,1220,2016-02-22,0.0025985308636134,new_inner_fit,0.0013173345321813,0.0676838282388703
2016-02-19,2015-12-31,1225,2016-02-29,0.0025985308636134,new_inner_fit,0.0021226538425155,-0.0468071583985368
2016-02-26,2015-12-31,1230,2016-03-07,0.0025985308636134,new_inner_fit,-0.0038476388237373,0.0576340837806761
2016-03-04,2015-12-31,1235,2016-03-14,0.0025985308636134,new_inner_fit,-0.0048296910664548,-0.0223319395303955
2016-03-11,2015-12-31,1240,2016-03-21,0.0025985308636134,new_inner_fit,-0.0052219692862329,0.053862881920798
2016-03-18,2015-12-31,1245,2016-03-28,0.0025985308636134,new_inner_fit,-0.0043492975750355,0.0011425752897802
2016-03-25,2015-12-31,1250,2016-04-05,0.0025985308636134,new_inner_fit,-0.00411200042403,0.0013564290057532
2016-04-01,2015-12-31,1255,2016-04-11,0.0025985308636134,new_inner_fit,-0.0057522330993714,0.0006881948120698
2016-04-08,2015-12-31,1259,2016-04-18,0.0025985308636134,new_inner_fit,-0.0041916027448158,0.0121860520116632
2016-04-15,2015-12-31,1264,2016-04-25,0.0025985308636134,new_inner_fit,-0.0058677970361818,-0.0270331758217096
2016-04-22,2015-12-31,1269,2016-05-03,0.0025985308636134,new_inner_fit,-0.0050850115127799,-0.001554630080196
2016-04-29,2015-12-31,1274,2016-05-09,0.0025985308636134,new_inner_fit,-0.0045751008858312,-0.0140482685722606
2016-05-06,2015-12-31,1278,2016-05-16,0.0025985308636134,new_inner_fit,-0.0035331426151845,-0.0163380335940783
2016-05-13,2015-12-31,1283,2016-05-23,0.0025985308636134,new_inner_fit,-0.0034417026291197,0.0045618740883592
2016-05-20,2015-12-31,1288,2016-05-30,0.0025985308636134,new_inner_fit,0.0050404574038539,-0.0072112807819367
2016-05-27,2015-12-31,1293,2016-06-06,0.0025985308636134,new_inner_fit,0.0048758055866034,0.04465188413479
2016-06-03,2015-12-31,1298,2016-06-20,0.0025985308636134,new_inner_fit,0.0054661713241006,-0.0243894035918542
