method,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,correct_directions,directions_changed_vs_original
archived20,0.0009241108443090148,0.030399191507489386,0.5957446808510638,0.12379524112337024,0.006587837813449679,141,0.5819722335647203,0.624113475177305,0.0112088643707694,0.0061028957704518105,0.14180474637322804,0.023884812476534106,84,0.0
half_shrink,0.0009187719826187969,0.03031125174945431,0.5177304964539007,0.11208890209742164,0.003350237429393666,141,0.4897917517354022,0.7304964539007093,0.016921403235720445,0.0030514478852258914,0.1704152848963173,0.02399615560770521,73,15.0
rolling_shrink,0.0009400892788853956,0.030660875377023986,0.5319148936170213,0.02865220677129647,0.004056760647748876,141,0.49897917517354023,0.7730496453900709,-0.005887931503507637,0.003704427729671424,0.16615854322667534,0.02427935360808791,75,21.0
training_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.0,0.0,1.0,0.024379962798265875,79,
zero_return,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.0006932108329538167,0.0,,0.024455271431369163,62,
