cutoff,row_index,date,joint_completed
2014-12-31,0,2010-07-09,2010-07-19
2014-12-31,1,2010-07-12,2010-07-20
2014-12-31,2,2010-07-20,2010-07-28
2014-12-31,3,2010-07-21,2010-07-29
2014-12-31,4,2010-07-22,2010-07-30
2014-12-31,5,2010-07-23,2010-08-02
2014-12-31,6,2010-07-26,2010-08-03
2014-12-31,7,2010-07-27,2010-08-04
2014-12-31,8,2010-07-28,2010-08-05
2014-12-31,9,2010-07-29,2010-08-06
2014-12-31,10,2010-07-30,2010-08-09
2014-12-31,11,2010-08-02,2010-08-10
2014-12-31,12,2010-08-03,2010-08-11
2014-12-31,13,2010-08-04,2010-08-12
2014-12-31,14,2010-08-05,2010-08-13
2014-12-31,15,2010-08-06,2010-08-16
2014-12-31,16,2010-08-09,2010-08-17
2014-12-31,17,2010-08-10,2010-08-18
2014-12-31,18,2010-08-11,2010-08-19
2014-12-31,19,2010-08-12,2010-08-20
2014-12-31,20,2010-08-13,2010-08-23
2014-12-31,21,2010-08-16,2010-08-24
2014-12-31,22,2010-08-17,2010-08-25
2014-12-31,23,2010-08-18,2010-08-26
2014-12-31,24,2010-08-19,2010-08-27
2014-12-31,25,2010-08-20,2010-08-30
2014-12-31,26,2010-08-23,2010-08-31
2014-12-31,27,2010-08-24,2010-09-01
2014-12-31,28,2010-08-25,2010-09-02
2014-12-31,29,2010-08-26,2010-09-03
2014-12-31,30,2010-08-27,2010-09-06
2014-12-31,31,2010-08-30,2010-09-07
2014-12-31,32,2010-08-31,2010-09-08
2014-12-31,33,2010-09-01,2010-09-09
2014-12-31,34,2010-09-02,2010-09-10
2014-12-31,35,2010-09-03,2010-09-13
2014-12-31,36,2010-09-06,2010-09-14
2014-12-31,37,2010-09-07,2010-09-15
2014-12-31,38,2010-09-08,2010-09-16
2014-12-31,39,2010-09-09,2010-09-17
2014-12-31,40,2010-09-10,2010-09-20
2014-12-31,41,2010-09-13,2010-09-21
2014-12-31,42,2010-09-14,2010-09-27
2014-12-31,43,2010-09-15,2010-09-30
2014-12-31,44,2010-09-16,2010-10-08
2014-12-31,45,2010-09-17,2010-10-11
2014-12-31,46,2010-09-20,2010-09-30
2014-12-31,47,2010-09-21,2010-10-08
2014-12-31,48,2010-09-27,2010-10-12
2014-12-31,49,2010-09-28,2010-10-13
2014-12-31,50,2010-09-29,2010-10-14
