date,inner_cutoff,row_index,joint_completed,training_mean,source,predicted_return,actual
2017-01-06,2016-12-31,1443,2017-01-16,0.0017650689496144,new_inner_fit,-0.0022069257424289,-0.0094448180527534
2017-01-13,2016-12-31,1448,2017-01-23,0.0017650689496144,new_inner_fit,-0.0009724437033694,0.0135479685590573
2017-01-20,2016-12-31,1453,2017-02-06,0.0017650689496144,new_inner_fit,-0.003381836389217,0.0026971911701225
2017-02-03,2016-12-31,1458,2017-02-13,0.0017650689496144,new_inner_fit,-0.0033492460515967,0.0144918069778006
2017-02-10,2016-12-31,1463,2017-02-20,0.0017650689496144,new_inner_fit,-0.0024286291037133,0.0013813609917703
2017-02-17,2016-12-31,1468,2017-02-27,0.0017650689496144,new_inner_fit,0.0008289848531637,0.0144638243649244
2017-02-24,2016-12-31,1473,2017-03-06,0.0017650689496144,new_inner_fit,0.0001250064245812,-0.0126414164839692
2017-03-03,2016-12-31,1478,2017-03-13,0.0017650689496144,new_inner_fit,0.002820110763043,-0.0004610110146618
2017-03-10,2016-12-31,1483,2017-03-20,0.0017650689496144,new_inner_fit,-0.0024384231910423,0.006824942274066
2017-03-17,2016-12-31,1488,2017-03-27,0.0017650689496144,new_inner_fit,-0.0020720689348707,0.011513315260724
2017-03-24,2016-12-31,1493,2017-04-05,0.0017650689496144,new_inner_fit,-0.0018287521329948,-0.0035370733441107
2017-03-31,2016-12-31,1498,2017-04-11,0.0017650689496144,new_inner_fit,-0.0050638526280769,0.0123805524073616
2017-04-07,2016-12-31,1501,2017-04-17,0.0017650689496144,new_inner_fit,-0.0075610800201193,-0.0124223602484472
2017-04-14,2016-12-31,1506,2017-04-24,0.0017650689496144,new_inner_fit,-0.0060969831867274,-0.0050377761282488
2017-04-21,2016-12-31,1511,2017-05-02,0.0017650689496144,new_inner_fit,-0.0070698931172476,-0.0087645992313987
2017-04-28,2016-12-31,1516,2017-05-08,0.0017650689496144,new_inner_fit,-0.003923298896789,-0.0171561763401713
2017-05-05,2016-12-31,1520,2017-05-15,0.0017650689496144,new_inner_fit,-0.0018821941494036,0.0066723852886965
2017-05-12,2016-12-31,1525,2017-05-22,0.0017650689496144,new_inner_fit,0.0012673552820704,0.0026536226371702
2017-05-19,2016-12-31,1530,2017-05-31,0.0017650689496144,new_inner_fit,-0.0012393890213708,0.02778341405462
2017-05-26,2016-12-31,1535,2017-06-06,0.0017650689496144,new_inner_fit,0.000619560720031,-0.0042631478053372
2017-06-02,2016-12-31,1538,2017-06-12,0.0017650689496144,new_inner_fit,0.0070293487444002,0.0258751727645487
2017-06-09,2016-12-31,1543,2017-06-19,0.0017650689496144,new_inner_fit,0.0063541703322995,-0.0140495543691985
2017-06-16,2016-12-31,1548,2017-06-26,0.0017650689496144,new_inner_fit,0.0013192339756739,0.0303858456958119
2017-06-23,2016-12-31,1553,2017-07-03,0.0017650689496144,new_inner_fit,-0.0023420728329387,0.0110862360836168
2017-06-30,2016-12-31,1558,2017-07-10,0.0017650689496144,new_inner_fit,0.0070176945879134,-0.005260100948127
2017-07-07,2016-12-31,1563,2017-07-17,0.0017650689496144,new_inner_fit,0.0037984110141188,0.0144410269905754
2017-07-14,2016-12-31,1568,2017-07-24,0.0017650689496144,new_inner_fit,0.0029744880021494,0.0064205457463883
2017-07-21,2016-12-31,1573,2017-07-31,0.0017650689496144,new_inner_fit,0.0006714790632637,-0.000523577078601
2017-07-28,2016-12-31,1578,2017-08-07,0.0017650689496144,new_inner_fit,0.0032081584137411,-0.0056978908938516
2017-08-04,2016-12-31,1583,2017-08-14,0.0017650689496144,new_inner_fit,-0.000755604659266,-0.0134658301857224
2017-08-11,2016-12-31,1588,2017-08-21,0.0017650689496144,new_inner_fit,0.0033533148490622,0.0220355043846436
2017-08-18,2016-12-31,1593,2017-08-28,0.0017650689496144,new_inner_fit,-0.0008683973290784,0.0197811267364087
2017-08-25,2016-12-31,1598,2017-09-04,0.0017650689496144,new_inner_fit,-0.0050240393297391,0.0060120977701634
2017-09-01,2016-12-31,1603,2017-09-11,0.0017650689496144,new_inner_fit,-0.0044435180743796,-5.223923479968917e-05
2017-09-08,2016-12-31,1608,2017-09-18,0.0017650689496144,new_inner_fit,-0.0046085922148158,0.0012067893656257
