method,cutoff,alpha,training_mean,original_prediction_up_threshold,all_up_due_to_zero_alpha
rolling_shrink,2017-12-31,0.0,0.0021140284328226,,True
rolling_shrink,2018-12-31,0.2669559947854685,0.0011463872665226,-0.0031479057589772065,False
rolling_shrink,2019-12-31,0.9191028107999156,0.0017267351812499,-0.00015198302193684038,False
half_shrink,2017-12-31,0.5,0.0021140284328226,-0.0021140284328226,False
half_shrink,2018-12-31,0.5,0.0011463872665226,-0.0011463872665226,False
half_shrink,2019-12-31,0.5,0.0017267351812499,-0.0017267351812499,False
