method,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,correct_directions,directions_changed_vs_original
archived20,20260910,0.0009339421362610293,0.03056046688552106,0.574468085106383,0.15294171863931796,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292276557,0.00875517656362238,0.18183620241988685,0.023922639826440092,81,0
archived20,20260911,0.00097484525062108,0.03122251192042498,0.5531914893617021,0.013042073858408847,0.0070216694815942934,141,0.5457329522253982,0.5673758865248227,-0.04307654039611464,0.006893030109812145,0.03630504500575349,0.024393319347200813,78,0
archived20,20260912,0.0009515623200011166,0.03084740378056339,0.5815602836879432,0.10281824194894024,0.008507052451696473,141,0.5623723968966925,0.6666666666666666,-0.018163992783166272,0.008234382331034438,0.06307714159982658,0.024088842974981355,82,0
half_shrink,20260910,0.0009112402229000494,0.030186755753145278,0.5673758865248227,0.14479495293105246,0.004889250190520246,141,0.5514495712535729,0.6382978723404256,0.02498032527029015,0.004377588281811169,0.19834906468880553,0.023936577560500053,80,13
half_shrink,20260911,0.0009424454028635234,0.030699273653679877,0.5390070921985816,0.0038211230454819767,0.003543857593841628,141,0.5157207023274806,0.6950354609929078,-0.008408965120160206,0.003446515054906052,0.05418143133932307,0.024234071097066854,76,18
half_shrink,20260912,0.0009246346155818635,0.03040780517534706,0.5460992907801419,0.09418318418509487,0.00430111852830227,141,0.5203144140465497,0.7163120567375887,0.0106484333414405,0.004117191165517197,0.08369671654521027,0.024001102285668627,77,7
rolling_shrink,20260910,0.0009359090609222964,0.030592630827084754,0.5460992907801419,0.0779292136856354,0.0055750090768479435,141,0.518579011841568,0.7304964539007093,-0.001415132063521174,0.004899404739181681,0.22768320667622033,0.024201958596595498,77,26
rolling_shrink,20260911,0.0009515858111105946,0.0308477845413669,0.5319148936170213,-0.01692387976995572,0.004107676531989626,141,0.5007145773785219,0.7588652482269503,-0.018189128080475125,0.004033587333310059,0.035748206244353264,0.02441475247706334,75,27
rolling_shrink,20260912,0.0009587527914221005,0.030963733486485453,0.5460992907801419,-0.003138433475274125,0.005172266773473798,141,0.5133728052266231,0.7730496453900709,-0.0258577390970951,0.00490938190777602,0.09906843682891597,0.024389089144034436,77,15
